"Plot Title: 20181750"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181750, SEN S/N: 20181750)","Coupler Attached (LGR S/N: 20181750)","Host Connected (LGR S/N: 20181750)","Stopped (LGR S/N: 20181750)","End Of File (LGR S/N: 20181750)"
1,08/11/17,12:30:00 PM,77.050,,,,
2,08/11/17,12:35:00 PM,76.006,,,,
3,08/11/17,12:40:00 PM,75.312,,,,
4,08/11/17,12:45:00 PM,75.139,,,,
5,08/11/17,12:50:00 PM,75.139,,,,
6,08/11/17,12:55:00 PM,74.964,,,,
7,08/11/17,01:00:00 PM,75.139,,,,
8,08/11/17,01:05:00 PM,75.312,,,,
9,08/11/17,01:10:00 PM,75.312,,,,
10,08/11/17,01:15:00 PM,79.151,,,,
11,08/11/17,01:20:00 PM,85.374,,,,
12,08/11/17,01:25:00 PM,84.654,,,,
13,08/11/17,01:30:00 PM,83.579,,,,
14,08/11/17,01:35:00 PM,89.017,,,,
15,08/11/17,01:40:00 PM,85.915,,,,
16,08/11/17,01:45:00 PM,84.654,,,,
17,08/11/17,01:50:00 PM,84.474,,,,
18,08/11/17,01:55:00 PM,85.915,,,,
19,08/11/17,02:00:00 PM,75.312,,,,
20,08/11/17,02:05:00 PM,71.512,,,,
21,08/11/17,02:10:00 PM,70.995,,,,
22,08/11/17,02:15:00 PM,70.824,,,,
23,08/11/17,02:20:00 PM,70.824,,,,
24,08/11/17,02:25:00 PM,69.964,,,,
25,08/11/17,02:30:00 PM,69.107,,,,
26,08/11/17,02:35:00 PM,67.735,,,,
27,08/11/17,02:40:00 PM,66.193,,,,
28,08/11/17,02:45:00 PM,66.366,,,,
29,08/11/17,02:50:00 PM,67.050,,,,
30,08/11/17,02:55:00 PM,67.735,,,,
31,08/11/17,03:00:00 PM,68.248,,,,
32,08/11/17,03:05:00 PM,68.421,,,,
33,08/11/17,03:10:00 PM,68.763,,,,
34,08/11/17,03:15:00 PM,68.934,,,,
35,08/11/17,03:20:00 PM,69.278,,,,
36,08/11/17,03:25:00 PM,69.449,,,,
37,08/11/17,03:30:00 PM,68.934,,,,
38,08/11/17,03:35:00 PM,68.421,,,,
39,08/11/17,03:40:00 PM,69.107,,,,
40,08/11/17,03:45:00 PM,70.651,,,,
41,08/11/17,03:50:00 PM,69.107,,,,
42,08/11/17,03:55:00 PM,68.763,,,,
43,08/11/17,04:00:00 PM,68.592,,,,
44,08/11/17,04:05:00 PM,69.449,,,,
45,08/11/17,04:10:00 PM,69.964,,,,
46,08/11/17,04:15:00 PM,70.995,,,,
