"Plot Title: 20181751"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181751, SEN S/N: 20181751)","Coupler Attached (LGR S/N: 20181751)","Host Connected (LGR S/N: 20181751)","Stopped (LGR S/N: 20181751)","End Of File (LGR S/N: 20181751)"
1,08/11/17,12:30:00 PM,78.274,,,,
2,08/11/17,12:35:00 PM,76.703,,,,
3,08/11/17,12:40:00 PM,75.659,,,,
4,08/11/17,12:45:00 PM,75.139,,,,
5,08/11/17,12:50:00 PM,74.964,,,,
6,08/11/17,12:55:00 PM,74.791,,,,
7,08/11/17,01:00:00 PM,74.964,,,,
8,08/11/17,01:05:00 PM,75.312,,,,
9,08/11/17,01:10:00 PM,75.312,,,,
10,08/11/17,01:15:00 PM,78.449,,,,
11,08/11/17,01:20:00 PM,82.864,,,,
12,08/11/17,01:25:00 PM,88.099,,,,
13,08/11/17,01:30:00 PM,88.282,,,,
14,08/11/17,01:35:00 PM,94.633,,,,
15,08/11/17,01:40:00 PM,88.282,,,,
16,08/11/17,01:45:00 PM,84.654,,,,
17,08/11/17,01:50:00 PM,82.686,,,,
18,08/11/17,01:55:00 PM,83.399,,,,
19,08/11/17,02:00:00 PM,75.484,,,,
20,08/11/17,02:05:00 PM,71.339,,,,
21,08/11/17,02:10:00 PM,70.308,,,,
22,08/11/17,02:15:00 PM,65.509,,,,
23,08/11/17,02:20:00 PM,63.111,,,,
24,08/11/17,02:25:00 PM,62.769,,,,
25,08/11/17,02:30:00 PM,61.569,,,,
26,08/11/17,02:35:00 PM,64.652,,,,
27,08/11/17,02:40:00 PM,66.537,,,,
28,08/11/17,02:45:00 PM,67.564,,,,
29,08/11/17,02:50:00 PM,68.592,,,,
30,08/11/17,02:55:00 PM,68.592,,,,
31,08/11/17,03:00:00 PM,69.278,,,,
32,08/11/17,03:05:00 PM,68.934,,,,
33,08/11/17,03:10:00 PM,69.107,,,,
34,08/11/17,03:15:00 PM,69.622,,,,
35,08/11/17,03:20:00 PM,70.137,,,,
36,08/11/17,03:25:00 PM,70.480,,,,
37,08/11/17,03:30:00 PM,71.168,,,,
38,08/11/17,03:35:00 PM,70.824,,,,
39,08/11/17,03:40:00 PM,71.168,,,,
40,08/11/17,03:45:00 PM,70.651,,,,
41,08/11/17,03:50:00 PM,69.107,,,,
42,08/11/17,03:55:00 PM,69.278,,,,
43,08/11/17,04:00:00 PM,69.964,,,,
44,08/11/17,04:05:00 PM,70.480,,,,
45,08/11/17,04:10:00 PM,70.651,,,,
46,08/11/17,04:15:00 PM,71.168,,,,
47,08/11/17,04:20:00 PM,71.168,,,,
48,08/11/17,04:25:00 PM,70.995,,,,
49,08/11/17,04:30:00 PM,70.651,,,,
50,08/11/17,04:35:00 PM,70.651,,,,
51,08/11/17,04:40:00 PM,71.168,,,,
52,08/11/17,04:45:00 PM,71.683,,,,
53,08/11/17,04:50:00 PM,71.683,,,,
54,08/11/17,04:55:00 PM,72.028,,,,
55,08/11/17,05:00:00 PM,71.683,,,,
56,08/11/17,05:05:00 PM,71.683,,,,
57,08/11/17,05:10:00 PM,71.856,,,,
58,08/11/17,05:15:00 PM,71.683,,,,
59,08/11/17,05:20:00 PM,72.028,,,,
60,08/11/17,05:25:00 PM,72.199,,,,
61,08/11/17,05:30:00 PM,72.199,,,,
62,08/11/17,05:35:00 PM,72.199,,,,
63,08/11/17,05:40:00 PM,72.199,,,,
64,08/11/17,05:45:00 PM,72.372,,,,
65,08/11/17,05:50:00 PM,72.545,,,,
66,08/11/17,05:55:00 PM,72.372,,,,
67,08/11/17,06:00:00 PM,72.545,,,,
68,08/11/17,06:05:00 PM,72.372,,,,
69,08/11/17,06:10:00 PM,72.372,,,,
70,08/11/17,06:15:00 PM,72.545,,,,
71,08/11/17,06:20:00 PM,72.545,,,,
72,08/11/17,06:25:00 PM,72.372,,,,
