,ï..Data.Point,Date,Time,Temp.C,DateTime,Temp.F
1,1,6/22/2016,18:00:00,20.138,6/22/2016 18:00,68.2484
2,2,6/22/2016,18:15:00,20.71,6/22/2016 18:15,69.278
3,3,6/22/2016,18:30:00,20.519,6/22/2016 18:30,68.9342
4,4,6/22/2016,18:45:00,20.138,6/22/2016 18:45,68.2484
5,5,6/22/2016,19:00:00,20.138,6/22/2016 19:00,68.2484
6,6,6/22/2016,19:15:00,20.329,6/22/2016 19:15,68.5922
7,7,6/22/2016,19:30:00,20.615,6/22/2016 19:30,69.107
8,8,6/22/2016,19:45:00,20.519,6/22/2016 19:45,68.9342
9,9,6/22/2016,20:00:00,20.424,6/22/2016 20:00,68.7632
10,10,6/22/2016,20:15:00,20.71,6/22/2016 20:15,69.278
11,11,6/22/2016,20:30:00,20.71,6/22/2016 20:30,69.278
12,12,6/22/2016,20:45:00,20.615,6/22/2016 20:45,69.107
13,13,6/22/2016,21:00:00,20.71,6/22/2016 21:00,69.278
14,14,6/22/2016,21:15:00,19.853,6/22/2016 21:15,67.7354
15,15,6/22/2016,21:30:00,19.472,6/22/2016 21:30,67.0496
16,16,6/22/2016,21:45:00,19.662,6/22/2016 21:45,67.3916
17,17,6/22/2016,22:00:00,19.853,6/22/2016 22:00,67.7354
18,18,6/22/2016,22:15:00,20.329,6/22/2016 22:15,68.5922
19,19,6/22/2016,22:30:00,20.519,6/22/2016 22:30,68.9342
20,20,6/22/2016,22:45:00,20.615,6/22/2016 22:45,69.107
21,21,6/22/2016,23:00:00,20.519,6/22/2016 23:00,68.9342
22,22,6/22/2016,23:15:00,20.519,6/22/2016 23:15,68.9342
23,23,6/22/2016,23:30:00,20.329,6/22/2016 23:30,68.5922
24,24,6/22/2016,23:45:00,19.853,6/22/2016 23:45,67.7354
25,25,6/23/2016,0:00:00,19.567,6/23/2016 0:00,67.2206
26,26,6/23/2016,0:15:00,19.187,6/23/2016 0:15,66.5366
27,27,6/23/2016,0:30:00,19.377,6/23/2016 0:30,66.8786
28,28,6/23/2016,0:45:00,20.043,6/23/2016 0:45,68.0774
29,29,6/23/2016,1:00:00,20.234,6/23/2016 1:00,68.4212
30,30,6/23/2016,1:15:00,20.329,6/23/2016 1:15,68.5922
31,31,6/23/2016,1:30:00,20.234,6/23/2016 1:30,68.4212
32,32,6/23/2016,1:45:00,20.138,6/23/2016 1:45,68.2484
