,ï..Data.Point,Date,Time,Temp.C,DateTime
1,1,6/22/2016,18:00:00,20.138,2016-06-22 18:00:00
2,2,6/22/2016,18:15:00,20.71,2016-06-22 18:15:00
3,3,6/22/2016,18:30:00,20.519,2016-06-22 18:30:00
4,4,6/22/2016,18:45:00,20.138,2016-06-22 18:45:00
5,5,6/22/2016,19:00:00,20.138,2016-06-22 19:00:00
6,6,6/22/2016,19:15:00,20.329,2016-06-22 19:15:00
7,7,6/22/2016,19:30:00,20.615,2016-06-22 19:30:00
8,8,6/22/2016,19:45:00,20.519,2016-06-22 19:45:00
9,9,6/22/2016,20:00:00,20.424,2016-06-22 20:00:00
10,10,6/22/2016,20:15:00,20.71,2016-06-22 20:15:00
11,11,6/22/2016,20:30:00,20.71,2016-06-22 20:30:00
12,12,6/22/2016,20:45:00,20.615,2016-06-22 20:45:00
13,13,6/22/2016,21:00:00,20.71,2016-06-22 21:00:00
14,14,6/22/2016,21:15:00,19.853,2016-06-22 21:15:00
15,15,6/22/2016,21:30:00,19.472,2016-06-22 21:30:00
16,16,6/22/2016,21:45:00,19.662,2016-06-22 21:45:00
17,17,6/22/2016,22:00:00,19.853,2016-06-22 22:00:00
18,18,6/22/2016,22:15:00,20.329,2016-06-22 22:15:00
19,19,6/22/2016,22:30:00,20.519,2016-06-22 22:30:00
20,20,6/22/2016,22:45:00,20.615,2016-06-22 22:45:00
21,21,6/22/2016,23:00:00,20.519,2016-06-22 23:00:00
22,22,6/22/2016,23:15:00,20.519,2016-06-22 23:15:00
23,23,6/22/2016,23:30:00,20.329,2016-06-22 23:30:00
24,24,6/22/2016,23:45:00,19.853,2016-06-22 23:45:00
25,25,6/23/2016,0:00:00,19.567,2016-06-23 00:00:00
26,26,6/23/2016,0:15:00,19.187,2016-06-23 00:15:00
27,27,6/23/2016,0:30:00,19.377,2016-06-23 00:30:00
28,28,6/23/2016,0:45:00,20.043,2016-06-23 00:45:00
29,29,6/23/2016,1:00:00,20.234,2016-06-23 01:00:00
30,30,6/23/2016,1:15:00,20.329,2016-06-23 01:15:00
31,31,6/23/2016,1:30:00,20.234,2016-06-23 01:30:00
32,32,6/23/2016,1:45:00,20.138,2016-06-23 01:45:00
33,33,6/23/2016,2:00:00,19.758,2016-06-23 02:00:00
34,34,6/23/2016,2:15:00,19.758,2016-06-23 02:15:00
35,35,6/23/2016,2:30:00,20.138,2016-06-23 02:30:00
36,36,6/23/2016,2:45:00,20.043,2016-06-23 02:45:00
37,37,6/23/2016,3:00:00,20.234,2016-06-23 03:00:00
38,38,6/23/2016,3:15:00,20.234,2016-06-23 03:15:00
39,39,6/23/2016,3:30:00,18.996,2016-06-23 03:30:00
40,40,6/23/2016,3:45:00,19.567,2016-06-23 03:45:00
41,41,6/23/2016,4:00:00,19.758,2016-06-23 04:00:00
42,42,6/23/2016,4:15:00,19.948,2016-06-23 04:15:00
43,43,6/23/2016,4:30:00,20.043,2016-06-23 04:30:00
44,44,6/23/2016,4:45:00,19.758,2016-06-23 04:45:00
45,45,6/23/2016,5:00:00,19.758,2016-06-23 05:00:00
46,46,6/23/2016,5:15:00,19.948,2016-06-23 05:15:00
47,47,6/23/2016,5:30:00,19.853,2016-06-23 05:30:00
48,48,6/23/2016,5:45:00,20.138,2016-06-23 05:45:00
49,49,6/23/2016,6:00:00,20.234,2016-06-23 06:00:00
50,50,6/23/2016,6:15:00,20.234,2016-06-23 06:15:00
51,51,6/23/2016,6:30:00,20.424,2016-06-23 06:30:00
52,52,6/23/2016,6:45:00,20.424,2016-06-23 06:45:00
53,53,6/23/2016,7:00:00,20.424,2016-06-23 07:00:00
54,54,6/23/2016,7:15:00,20.329,2016-06-23 07:15:00
55,55,6/23/2016,7:30:00,20.329,2016-06-23 07:30:00
56,56,6/23/2016,7:45:00,20.329,2016-06-23 07:45:00
57,57,6/23/2016,8:00:00,20.424,2016-06-23 08:00:00
58,58,6/23/2016,8:15:00,20.424,2016-06-23 08:15:00
59,59,6/23/2016,8:30:00,20.329,2016-06-23 08:30:00
60,60,6/23/2016,8:45:00,20.424,2016-06-23 08:45:00
61,61,6/23/2016,9:00:00,20.424,2016-06-23 09:00:00
62,62,6/23/2016,9:15:00,20.329,2016-06-23 09:15:00
63,63,6/23/2016,9:30:00,20.424,2016-06-23 09:30:00
64,64,6/23/2016,9:45:00,20.329,2016-06-23 09:45:00
65,65,6/23/2016,10:00:00,20.329,2016-06-23 10:00:00
66,66,6/23/2016,10:15:00,20.329,2016-06-23 10:15:00
67,67,6/23/2016,10:30:00,20.424,2016-06-23 10:30:00
68,68,6/23/2016,10:45:00,20.615,2016-06-23 10:45:00
69,69,6/23/2016,11:00:00,20.424,2016-06-23 11:00:00
70,70,6/23/2016,11:15:00,20.615,2016-06-23 11:15:00
71,71,6/23/2016,11:30:00,19.948,2016-06-23 11:30:00
72,72,6/23/2016,11:45:00,19.567,2016-06-23 11:45:00
73,73,6/23/2016,12:00:00,18.806,2016-06-23 12:00:00
74,74,6/23/2016,12:15:00,18.711,2016-06-23 12:15:00
75,75,6/23/2016,12:30:00,18.236,2016-06-23 12:30:00
76,76,6/23/2016,12:45:00,19.092,2016-06-23 12:45:00
77,77,6/23/2016,13:00:00,19.472,2016-06-23 13:00:00
78,78,6/23/2016,13:15:00,18.521,2016-06-23 13:15:00
79,79,6/23/2016,13:30:00,20.329,2016-06-23 13:30:00
80,80,6/23/2016,13:45:00,20.615,2016-06-23 13:45:00
81,81,6/23/2016,14:00:00,20.519,2016-06-23 14:00:00
82,82,6/23/2016,14:15:00,20.519,2016-06-23 14:15:00
83,83,6/23/2016,14:30:00,20.519,2016-06-23 14:30:00
84,84,6/23/2016,14:45:00,20.424,2016-06-23 14:45:00
85,85,6/23/2016,15:00:00,20.043,2016-06-23 15:00:00
86,86,6/23/2016,15:15:00,19.948,2016-06-23 15:15:00
87,87,6/23/2016,15:30:00,20.71,2016-06-23 15:30:00
88,88,6/23/2016,15:45:00,20.805,2016-06-23 15:45:00
89,89,6/23/2016,16:00:00,20.901,2016-06-23 16:00:00
90,90,6/23/2016,16:15:00,20.234,2016-06-23 16:15:00
91,91,6/23/2016,16:30:00,18.806,2016-06-23 16:30:00
92,92,6/23/2016,16:45:00,18.996,2016-06-23 16:45:00
93,93,6/23/2016,17:00:00,20.138,2016-06-23 17:00:00
94,94,6/23/2016,17:15:00,20.234,2016-06-23 17:15:00
95,95,6/23/2016,17:30:00,20.901,2016-06-23 17:30:00
96,96,6/23/2016,17:45:00,20.996,2016-06-23 17:45:00
97,97,6/23/2016,18:00:00,20.996,2016-06-23 18:00:00
98,98,6/23/2016,18:15:00,20.805,2016-06-23 18:15:00
99,99,6/23/2016,18:30:00,20.519,2016-06-23 18:30:00
100,100,6/23/2016,18:45:00,20.519,2016-06-23 18:45:00
101,101,6/23/2016,19:00:00,20.519,2016-06-23 19:00:00
102,102,6/23/2016,19:15:00,20.329,2016-06-23 19:15:00
103,103,6/23/2016,19:30:00,20.519,2016-06-23 19:30:00
104,104,6/23/2016,19:45:00,20.519,2016-06-23 19:45:00
105,105,6/23/2016,20:00:00,20.519,2016-06-23 20:00:00
106,106,6/23/2016,20:15:00,20.519,2016-06-23 20:15:00
107,107,6/23/2016,20:30:00,20.519,2016-06-23 20:30:00
108,108,6/23/2016,20:45:00,20.519,2016-06-23 20:45:00
109,109,6/23/2016,21:00:00,20.424,2016-06-23 21:00:00
110,110,6/23/2016,21:15:00,20.329,2016-06-23 21:15:00
111,111,6/23/2016,21:30:00,20.329,2016-06-23 21:30:00
112,112,6/23/2016,21:45:00,20.424,2016-06-23 21:45:00
113,113,6/23/2016,22:00:00,20.519,2016-06-23 22:00:00
114,114,6/23/2016,22:15:00,20.424,2016-06-23 22:15:00
115,115,6/23/2016,22:30:00,20.424,2016-06-23 22:30:00
116,116,6/23/2016,22:45:00,20.424,2016-06-23 22:45:00
117,117,6/23/2016,23:00:00,20.329,2016-06-23 23:00:00
118,118,6/23/2016,23:15:00,20.424,2016-06-23 23:15:00
119,119,6/23/2016,23:30:00,20.329,2016-06-23 23:30:00
120,120,6/23/2016,23:45:00,20.234,2016-06-23 23:45:00
121,121,6/24/2016,0:00:00,20.329,2016-06-24 00:00:00
122,122,6/24/2016,0:15:00,20.424,2016-06-24 00:15:00
123,123,6/24/2016,0:30:00,20.329,2016-06-24 00:30:00
124,124,6/24/2016,0:45:00,20.424,2016-06-24 00:45:00
125,125,6/24/2016,1:00:00,20.329,2016-06-24 01:00:00
126,126,6/24/2016,1:15:00,20.329,2016-06-24 01:15:00
127,127,6/24/2016,1:30:00,20.329,2016-06-24 01:30:00
128,128,6/24/2016,1:45:00,20.329,2016-06-24 01:45:00
129,129,6/24/2016,2:00:00,20.329,2016-06-24 02:00:00
130,130,6/24/2016,2:15:00,20.329,2016-06-24 02:15:00
131,131,6/24/2016,2:30:00,20.329,2016-06-24 02:30:00
132,132,6/24/2016,2:45:00,20.329,2016-06-24 02:45:00
133,133,6/24/2016,3:00:00,20.043,2016-06-24 03:00:00
134,134,6/24/2016,3:15:00,20.234,2016-06-24 03:15:00
135,135,6/24/2016,3:30:00,20.043,2016-06-24 03:30:00
136,136,6/24/2016,3:45:00,19.853,2016-06-24 03:45:00
137,137,6/24/2016,4:00:00,19.853,2016-06-24 04:00:00
