"Plot Title: 20181752"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181752, SEN S/N: 20181752)","Coupler Attached (LGR S/N: 20181752)","Host Connected (LGR S/N: 20181752)","Stopped (LGR S/N: 20181752)","End Of File (LGR S/N: 20181752)"
1,08/08/18,12:00:00 AM,72.718,,,,
2,08/08/18,12:30:00 AM,72.891,,,,
3,08/08/18,01:00:00 AM,72.891,,,,
4,08/08/18,01:30:00 AM,73.062,,,,
5,08/08/18,02:00:00 AM,72.545,,,,
6,08/08/18,02:30:00 AM,73.926,,,,
7,08/08/18,03:00:00 AM,74.271,,,,
8,08/08/18,03:30:00 AM,74.271,,,,
9,08/08/18,04:00:00 AM,73.580,,,,
10,08/08/18,04:30:00 AM,73.926,,,,
11,08/08/18,05:00:00 AM,74.098,,,,
12,08/08/18,05:30:00 AM,74.619,,,,
13,08/08/18,06:00:00 AM,74.791,,,,
14,08/08/18,06:30:00 AM,75.139,,,,
15,08/08/18,07:00:00 AM,75.139,,,,
16,08/08/18,07:30:00 AM,75.312,,,,
17,08/08/18,08:00:00 AM,75.312,,,,
18,08/08/18,08:30:00 AM,75.484,,,,
19,08/08/18,09:00:00 AM,75.659,,,,
20,08/08/18,09:30:00 AM,75.832,,,,
21,08/08/18,10:00:00 AM,76.006,,,,
22,08/08/18,10:30:00 AM,76.006,,,,
23,08/08/18,11:00:00 AM,76.006,,,,
24,08/08/18,11:30:00 AM,76.181,,,,
25,08/08/18,12:00:00 PM,74.098,,,,
26,08/08/18,12:30:00 PM,72.028,,,,
27,08/08/18,01:00:00 PM,68.248,,,,
28,08/08/18,01:30:00 PM,68.421,,,,
29,08/08/18,02:00:00 PM,68.592,,,,
30,08/08/18,02:30:00 PM,68.421,,,,
31,08/08/18,03:00:00 PM,70.137,,,,
32,08/08/18,03:30:00 PM,70.308,,,,
33,08/08/18,04:00:00 PM,68.763,,,,
34,08/08/18,04:30:00 PM,68.592,,,,
35,08/08/18,05:00:00 PM,68.763,,,,
36,08/08/18,05:30:00 PM,68.934,,,,
37,08/08/18,06:00:00 PM,70.480,,,,
38,08/08/18,06:30:00 PM,70.137,,,,
39,08/08/18,07:00:00 PM,71.339,,,,
40,08/08/18,07:30:00 PM,69.793,,,,
41,08/08/18,08:00:00 PM,71.512,,,,
42,08/08/18,08:30:00 PM,73.062,,,,
43,08/08/18,09:00:00 PM,74.446,,,,
44,08/08/18,09:30:00 PM,75.139,,,,
45,08/08/18,10:00:00 PM,75.312,,,,
46,08/08/18,10:30:00 PM,75.659,,,,
47,08/08/18,11:00:00 PM,75.659,,,,
48,08/08/18,11:30:00 PM,76.006,,,,
49,08/09/18,12:00:00 AM,76.181,,,,
50,08/09/18,12:30:00 AM,76.354,,,,
51,08/09/18,01:00:00 AM,76.354,,,,
52,08/09/18,01:30:00 AM,76.354,,,,
53,08/09/18,02:00:00 AM,76.354,,,,
54,08/09/18,02:30:00 AM,76.528,,,,
55,08/09/18,03:00:00 AM,76.528,,,,
56,08/09/18,03:30:00 AM,76.528,,,,
57,08/09/18,04:00:00 AM,76.006,,,,
58,08/09/18,04:30:00 AM,76.006,,,,
59,08/09/18,05:00:00 AM,75.832,,,,
60,08/09/18,05:30:00 AM,75.832,,,,
61,08/09/18,06:00:00 AM,75.832,,,,
62,08/09/18,06:30:00 AM,72.718,,,,
63,08/09/18,07:00:00 AM,71.168,,,,
64,08/09/18,07:30:00 AM,74.446,,,,
65,08/09/18,08:00:00 AM,74.791,,,,
66,08/09/18,08:30:00 AM,75.312,,,,
67,08/09/18,09:00:00 AM,76.006,,,,
68,08/09/18,09:30:00 AM,76.181,,,,
69,08/09/18,10:00:00 AM,75.832,,,,
70,08/09/18,10:30:00 AM,76.181,,,,
71,08/09/18,11:00:00 AM,76.354,,,,
72,08/09/18,11:30:00 AM,76.703,,,,
73,08/09/18,12:00:00 PM,76.876,,,,
74,08/09/18,12:30:00 PM,76.876,,,,
