"Plot Title: 20181765"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181765, SEN S/N: 20181765)","Coupler Attached (LGR S/N: 20181765)","Host Connected (LGR S/N: 20181765)","Stopped (LGR S/N: 20181765)","End Of File (LGR S/N: 20181765)"
1,08/08/18,12:00:00 AM,74.964,,,,
2,08/08/18,12:30:00 AM,73.407,,,,
3,08/08/18,01:00:00 AM,72.891,,,,
4,08/08/18,01:30:00 AM,73.926,,,,
5,08/08/18,02:00:00 AM,70.824,,,,
6,08/08/18,02:30:00 AM,73.407,,,,
7,08/08/18,03:00:00 AM,74.964,,,,
8,08/08/18,03:30:00 AM,74.619,,,,
9,08/08/18,04:00:00 AM,74.446,,,,
10,08/08/18,04:30:00 AM,74.791,,,,
11,08/08/18,05:00:00 AM,74.098,,,,
12,08/08/18,05:30:00 AM,73.753,,,,
13,08/08/18,06:00:00 AM,74.791,,,,
14,08/08/18,06:30:00 AM,75.312,,,,
15,08/08/18,07:00:00 AM,75.139,,,,
16,08/08/18,07:30:00 AM,75.484,,,,
17,08/08/18,08:00:00 AM,75.659,,,,
18,08/08/18,08:30:00 AM,75.832,,,,
19,08/08/18,09:00:00 AM,75.832,,,,
20,08/08/18,09:30:00 AM,76.006,,,,
21,08/08/18,10:00:00 AM,76.006,,,,
22,08/08/18,10:30:00 AM,76.181,,,,
23,08/08/18,11:00:00 AM,76.006,,,,
24,08/08/18,11:30:00 AM,76.181,,,,
25,08/08/18,12:00:00 PM,75.312,,,,
26,08/08/18,12:30:00 PM,72.545,,,,
27,08/08/18,01:00:00 PM,68.934,,,,
28,08/08/18,01:30:00 PM,69.278,,,,
29,08/08/18,02:00:00 PM,68.934,,,,
30,08/08/18,02:30:00 PM,68.763,,,,
31,08/08/18,03:00:00 PM,69.107,,,,
32,08/08/18,03:30:00 PM,71.683,,,,
33,08/08/18,04:00:00 PM,69.449,,,,
34,08/08/18,04:30:00 PM,68.248,,,,
35,08/08/18,05:00:00 PM,69.622,,,,
36,08/08/18,05:30:00 PM,69.622,,,,
37,08/08/18,06:00:00 PM,70.651,,,,
38,08/08/18,06:30:00 PM,71.168,,,,
39,08/08/18,07:00:00 PM,70.824,,,,
40,08/08/18,07:30:00 PM,70.137,,,,
41,08/08/18,08:00:00 PM,72.372,,,,
42,08/08/18,08:30:00 PM,73.926,,,,
43,08/08/18,09:00:00 PM,74.791,,,,
44,08/08/18,09:30:00 PM,75.659,,,,
45,08/08/18,10:00:00 PM,75.484,,,,
46,08/08/18,10:30:00 PM,75.659,,,,
47,08/08/18,11:00:00 PM,75.659,,,,
48,08/08/18,11:30:00 PM,76.181,,,,
49,08/09/18,12:00:00 AM,76.354,,,,
50,08/09/18,12:30:00 AM,76.354,,,,
51,08/09/18,01:00:00 AM,76.528,,,,
52,08/09/18,01:30:00 AM,76.528,,,,
53,08/09/18,02:00:00 AM,76.528,,,,
54,08/09/18,02:30:00 AM,76.528,,,,
55,08/09/18,03:00:00 AM,76.528,,,,
56,08/09/18,03:30:00 AM,76.528,,,,
57,08/09/18,04:00:00 AM,76.006,,,,
58,08/09/18,04:30:00 AM,76.006,,,,
59,08/09/18,05:00:00 AM,76.006,,,,
60,08/09/18,05:30:00 AM,76.006,,,,
61,08/09/18,06:00:00 AM,76.006,,,,
62,08/09/18,06:30:00 AM,71.512,,,,
63,08/09/18,07:00:00 AM,72.028,,,,
64,08/09/18,07:30:00 AM,72.891,,,,
65,08/09/18,08:00:00 AM,75.484,,,,
66,08/09/18,08:30:00 AM,76.181,,,,
67,08/09/18,09:00:00 AM,76.354,,,,
68,08/09/18,09:30:00 AM,75.659,,,,
69,08/09/18,10:00:00 AM,76.006,,,,
70,08/09/18,10:30:00 AM,76.354,,,,
71,08/09/18,11:00:00 AM,76.354,,,,
72,08/09/18,11:30:00 AM,76.703,,,,
73,08/09/18,12:00:00 PM,76.876,,,,
74,08/09/18,12:30:00 PM,77.050,,,,
75,08/09/18,01:00:00 PM,76.528,,,,
76,08/09/18,01:30:00 PM,72.891,,,,
77,08/09/18,02:00:00 PM,75.139,,,,
78,08/09/18,02:30:00 PM,76.703,,,,
79,08/09/18,03:00:00 PM,71.683,,,,
80,08/09/18,03:30:00 PM,72.199,,,,
81,08/09/18,04:00:00 PM,71.683,,,,
82,08/09/18,04:30:00 PM,69.964,,,,
83,08/09/18,05:00:00 PM,71.168,,,,
84,08/09/18,05:30:00 PM,70.995,,,,
85,08/09/18,06:00:00 PM,70.995,,,,
86,08/09/18,06:30:00 PM,69.449,,,,
87,08/09/18,07:00:00 PM,70.651,,,,
88,08/09/18,07:30:00 PM,72.545,,,,
89,08/09/18,08:00:00 PM,74.791,,,,
90,08/09/18,08:30:00 PM,73.926,,,,
91,08/09/18,09:00:00 PM,73.580,,,,
92,08/09/18,09:30:00 PM,73.062,,,,
93,08/09/18,10:00:00 PM,75.139,,,,
94,08/09/18,10:30:00 PM,75.484,,,,
95,08/09/18,11:00:00 PM,75.484,,,,
96,08/09/18,11:30:00 PM,75.659,,,,
97,08/10/18,12:00:00 AM,75.659,,,,
98,08/10/18,12:30:00 AM,75.659,,,,
99,08/10/18,01:00:00 AM,75.659,,,,
100,08/10/18,01:30:00 AM,75.659,,,,
101,08/10/18,02:00:00 AM,75.659,,,,
102,08/10/18,02:30:00 AM,74.446,,,,
103,08/10/18,03:00:00 AM,71.856,,,,
104,08/10/18,03:30:00 AM,74.446,,,,
105,08/10/18,04:00:00 AM,70.308,,,,
106,08/10/18,04:30:00 AM,70.995,,,,
107,08/10/18,05:00:00 AM,69.964,,,,
108,08/10/18,05:30:00 AM,72.028,,,,
109,08/10/18,06:00:00 AM,70.995,,,,
110,08/10/18,06:30:00 AM,71.339,,,,
111,08/10/18,07:00:00 AM,70.651,,,,
112,08/10/18,07:30:00 AM,73.407,,,,
113,08/10/18,08:00:00 AM,72.718,,,,
114,08/10/18,08:30:00 AM,73.580,,,,
115,08/10/18,09:00:00 AM,70.995,,,,
116,08/10/18,09:30:00 AM,71.339,,,,
117,08/10/18,10:00:00 AM,71.512,,,,
118,08/10/18,10:30:00 AM,74.098,,,,
119,08/10/18,11:00:00 AM,72.372,,,,
120,08/10/18,11:30:00 AM,73.753,,,,
121,08/10/18,12:00:00 PM,73.926,,,,
122,08/10/18,12:30:00 PM,74.619,,,,
123,08/10/18,01:00:00 PM,75.484,,,,
124,08/10/18,01:30:00 PM,73.407,,,,
125,08/10/18,02:00:00 PM,71.512,,,,
126,08/10/18,02:30:00 PM,69.793,,,,
127,08/10/18,03:00:00 PM,73.926,,,,
128,08/10/18,03:30:00 PM,72.199,,,,
129,08/10/18,04:00:00 PM,72.028,,,,
130,08/10/18,04:30:00 PM,72.372,,,,
131,08/10/18,05:00:00 PM,72.199,,,,
132,08/10/18,05:30:00 PM,72.199,,,,
133,08/10/18,06:00:00 PM,72.372,,,,
134,08/10/18,06:30:00 PM,72.028,,,,
135,08/10/18,07:00:00 PM,71.683,,,,
136,08/10/18,07:30:00 PM,72.372,,,,
137,08/10/18,08:00:00 PM,70.308,,,,
138,08/10/18,08:30:00 PM,69.964,,,,
139,08/10/18,09:00:00 PM,71.512,,,,
140,08/10/18,09:30:00 PM,73.407,,,,
141,08/10/18,10:00:00 PM,73.580,,,,
142,08/10/18,10:30:00 PM,73.926,,,,
143,08/10/18,11:00:00 PM,73.926,,,,
144,08/10/18,11:30:00 PM,73.062,,,,
145,08/11/18,12:00:00 AM,74.619,,,,
146,08/11/18,12:30:00 AM,74.791,,,,
147,08/11/18,01:00:00 AM,74.791,,,,
148,08/11/18,01:30:00 AM,74.791,,,,
149,08/11/18,02:00:00 AM,74.791,,,,
150,08/11/18,02:30:00 AM,74.791,,,,
151,08/11/18,03:00:00 AM,71.512,,,,
152,08/11/18,03:30:00 AM,74.791,,,,
153,08/11/18,04:00:00 AM,70.308,,,,
154,08/11/18,04:30:00 AM,70.480,,,,
155,08/11/18,05:00:00 AM,71.339,,,,
156,08/11/18,05:30:00 AM,69.278,,,,
157,08/11/18,06:00:00 AM,70.308,,,,
158,08/11/18,06:30:00 AM,71.168,,,,
159,08/11/18,07:00:00 AM,72.718,,,,
160,08/11/18,07:30:00 AM,68.592,,,,
161,08/11/18,08:00:00 AM,68.763,,,,
162,08/11/18,08:30:00 AM,69.622,,,,
163,08/11/18,09:00:00 AM,68.934,,,,
164,08/11/18,09:30:00 AM,72.372,,,,
165,08/11/18,10:00:00 AM,70.308,,,,
166,08/11/18,10:30:00 AM,73.926,,,,
167,08/11/18,11:00:00 AM,72.199,,,,
168,08/11/18,11:30:00 AM,70.995,,,,
169,08/11/18,12:00:00 PM,70.995,,,,
170,08/11/18,12:30:00 PM,71.512,,,,
171,08/11/18,01:00:00 PM,74.619,,,,
172,08/11/18,01:30:00 PM,75.139,,,,
173,08/11/18,02:00:00 PM,73.407,,,,
174,08/11/18,02:30:00 PM,75.139,,,,
175,08/11/18,03:00:00 PM,74.619,,,,
176,08/11/18,03:30:00 PM,73.753,,,,
177,08/11/18,04:00:00 PM,72.372,,,,
178,08/11/18,04:30:00 PM,70.480,,,,
179,08/11/18,05:00:00 PM,75.312,,,,
180,08/11/18,05:30:00 PM,72.199,,,,
181,08/11/18,06:00:00 PM,73.407,,,,
182,08/11/18,06:30:00 PM,71.856,,,,
183,08/11/18,07:00:00 PM,70.651,,,,
184,08/11/18,07:30:00 PM,70.480,,,,
185,08/11/18,08:00:00 PM,72.372,,,,
186,08/11/18,08:30:00 PM,70.480,,,,
187,08/11/18,09:00:00 PM,72.545,,,,
188,08/11/18,09:30:00 PM,73.580,,,,
189,08/11/18,10:00:00 PM,74.446,,,,
190,08/11/18,10:30:00 PM,73.580,,,,
191,08/11/18,11:00:00 PM,74.446,,,,
192,08/11/18,11:30:00 PM,74.619,,,,
193,08/12/18,12:00:00 AM,74.619,,,,
194,08/12/18,12:30:00 AM,74.619,,,,
195,08/12/18,01:00:00 AM,74.964,,,,
196,08/12/18,01:30:00 AM,74.964,,,,
197,08/12/18,02:00:00 AM,74.619,,,,
198,08/12/18,02:30:00 AM,74.446,,,,
199,08/12/18,03:00:00 AM,74.446,,,,
200,08/12/18,03:30:00 AM,73.580,,,,
201,08/12/18,04:00:00 AM,73.926,,,,
202,08/12/18,04:30:00 AM,74.098,,,,
203,08/12/18,05:00:00 AM,73.407,,,,
204,08/12/18,05:30:00 AM,70.137,,,,
205,08/12/18,06:00:00 AM,70.824,,,,
206,08/12/18,06:30:00 AM,72.545,,,,
207,08/12/18,07:00:00 AM,71.856,,,,
208,08/12/18,07:30:00 AM,70.824,,,,
209,08/12/18,08:00:00 AM,69.964,,,,
210,08/12/18,08:30:00 AM,72.372,,,,
211,08/12/18,09:00:00 AM,70.480,,,,
212,08/12/18,09:30:00 AM,70.824,,,,
213,08/12/18,10:00:00 AM,72.545,,,,
214,08/12/18,10:30:00 AM,71.512,,,,
