"Plot Title: 20181764"
"#","Date","Time, GMT-07:00","Temp, °F (LGR S/N: 20181764, SEN S/N: 20181764)","Host Connected (LGR S/N: 20181764)","Coupler Attached (LGR S/N: 20181764)","Stopped (LGR S/N: 20181764)","End Of File (LGR S/N: 20181764)"
1,07/04/18,08:00:00 AM,65.509,,,,
2,07/04/18,08:30:00 AM,67.564,,,,
3,07/04/18,09:00:00 AM,68.421,,,,
4,07/04/18,09:30:00 AM,67.392,,,,
5,07/04/18,10:00:00 AM,67.050,,,,
6,07/04/18,10:30:00 AM,65.851,,,,
7,07/04/18,11:00:00 AM,65.851,,,,
8,07/04/18,11:30:00 AM,64.652,,,,
9,07/04/18,12:00:00 PM,64.139,,,,
10,07/04/18,12:30:00 PM,66.022,,,,
11,07/04/18,01:00:00 PM,65.680,,,,
12,07/04/18,01:30:00 PM,64.481,,,,
13,07/04/18,02:00:00 PM,63.968,,,,
14,07/04/18,02:30:00 PM,64.139,,,,
15,07/04/18,03:00:00 PM,66.708,,,,
16,07/04/18,03:30:00 PM,64.481,,,,
17,07/04/18,04:00:00 PM,64.652,,,,
18,07/04/18,04:30:00 PM,64.481,,,,
19,07/04/18,05:00:00 PM,64.310,,,,
20,07/04/18,05:30:00 PM,63.455,,,,
21,07/04/18,06:00:00 PM,63.282,,,,
22,07/04/18,06:30:00 PM,64.139,,,,
23,07/04/18,07:00:00 PM,64.825,,,,
24,07/04/18,07:30:00 PM,64.310,,,,
25,07/04/18,08:00:00 PM,64.652,,,,
26,07/04/18,08:30:00 PM,64.652,,,,
27,07/04/18,09:00:00 PM,65.851,,,,
28,07/04/18,09:30:00 PM,66.193,,,,
29,07/04/18,10:00:00 PM,66.537,,,,
30,07/04/18,10:30:00 PM,66.879,,,,
31,07/04/18,11:00:00 PM,67.050,,,,
32,07/04/18,11:30:00 PM,67.221,,,,
33,07/05/18,12:00:00 AM,67.221,,,,
34,07/05/18,12:30:00 AM,67.221,,,,
35,07/05/18,01:00:00 AM,67.050,,,,
36,07/05/18,01:30:00 AM,67.050,,,,
37,07/05/18,02:00:00 AM,67.050,,,,
38,07/05/18,02:30:00 AM,67.050,,,,
39,07/05/18,03:00:00 AM,66.879,,,,
40,07/05/18,03:30:00 AM,65.680,,,,
41,07/05/18,04:00:00 AM,65.167,,,,
42,07/05/18,04:30:00 AM,64.825,,,,
43,07/05/18,05:00:00 AM,63.797,,,,
44,07/05/18,05:30:00 AM,63.455,,,,
45,07/05/18,06:00:00 AM,63.282,,,,
46,07/05/18,06:30:00 AM,65.851,,,,
47,07/05/18,07:00:00 AM,66.193,,,,
48,07/05/18,07:30:00 AM,62.769,,,,
49,07/05/18,08:00:00 AM,66.022,,,,
50,07/05/18,08:30:00 AM,66.708,,,,
51,07/05/18,09:00:00 AM,66.879,,,,
52,07/05/18,09:30:00 AM,67.050,,,,
53,07/05/18,10:00:00 AM,67.050,,,,
54,07/05/18,10:30:00 AM,67.050,,,,
55,07/05/18,11:00:00 AM,67.221,,,,
56,07/05/18,11:30:00 AM,67.221,,,,
57,07/05/18,12:00:00 PM,66.366,,,,
58,07/05/18,12:30:00 PM,66.366,,,,
59,07/05/18,01:00:00 PM,66.537,,,,
60,07/05/18,01:30:00 PM,67.221,,,,
61,07/05/18,02:00:00 PM,67.906,,,,
62,07/05/18,02:30:00 PM,68.077,,,,
63,07/05/18,03:00:00 PM,68.248,,,,
64,07/05/18,03:30:00 PM,67.906,,,,
65,07/05/18,04:00:00 PM,68.248,,,,
66,07/05/18,04:30:00 PM,67.906,,,,
67,07/05/18,05:00:00 PM,67.906,,,,
68,07/05/18,05:30:00 PM,67.906,,,,
69,07/05/18,06:00:00 PM,67.221,,,,
70,07/05/18,06:30:00 PM,67.564,,,,
71,07/05/18,07:00:00 PM,67.735,,,,
72,07/05/18,07:30:00 PM,67.564,,,,
73,07/05/18,08:00:00 PM,67.564,,,,
74,07/05/18,08:30:00 PM,67.564,,,,
75,07/05/18,09:00:00 PM,67.564,,,,
76,07/05/18,09:30:00 PM,67.564,,,,
77,07/05/18,10:00:00 PM,67.564,,,,
78,07/05/18,10:30:00 PM,67.735,,,,
79,07/05/18,11:00:00 PM,67.735,,,,
80,07/05/18,11:30:00 PM,67.735,,,,
81,07/06/18,12:00:00 AM,67.735,,,,
82,07/06/18,12:30:00 AM,67.564,,,,
83,07/06/18,01:00:00 AM,67.392,,,,
84,07/06/18,01:30:00 AM,66.879,,,,
85,07/06/18,02:00:00 AM,67.050,,,,
86,07/06/18,02:30:00 AM,67.050,,,,
87,07/06/18,03:00:00 AM,67.221,,,,
88,07/06/18,03:30:00 AM,66.537,,,,
89,07/06/18,04:00:00 AM,66.366,,,,
90,07/06/18,04:30:00 AM,64.652,,,,
91,07/06/18,05:00:00 AM,64.652,,,,
92,07/06/18,05:30:00 AM,65.509,,,,
93,07/06/18,06:00:00 AM,64.310,,,,
94,07/06/18,06:30:00 AM,65.509,,,,
95,07/06/18,07:00:00 AM,66.022,,,,
96,07/06/18,07:30:00 AM,65.167,,,,
97,07/06/18,08:00:00 AM,66.708,,,,
98,07/06/18,08:30:00 AM,67.221,,,,
99,07/06/18,09:00:00 AM,67.392,,,,
100,07/06/18,09:30:00 AM,67.392,,,,
101,07/06/18,10:00:00 AM,67.564,,,,
102,07/06/18,10:30:00 AM,67.735,,,,
103,07/06/18,11:00:00 AM,67.906,,,,
104,07/06/18,11:30:00 AM,67.050,,,,
105,07/06/18,12:00:00 PM,67.221,,,,
106,07/06/18,12:30:00 PM,67.221,,,,
107,07/06/18,01:00:00 PM,67.392,,,,
108,07/06/18,01:30:00 PM,67.392,,,,
109,07/06/18,02:00:00 PM,67.906,,,,
110,07/06/18,02:30:00 PM,67.564,,,,
111,07/06/18,03:00:00 PM,67.392,,,,
112,07/06/18,03:30:00 PM,65.338,,,,
113,07/06/18,04:00:00 PM,66.366,,,,
114,07/06/18,04:30:00 PM,67.564,,,,
115,07/06/18,05:00:00 PM,67.050,,,,
116,07/06/18,05:30:00 PM,66.366,,,,
117,07/06/18,06:00:00 PM,67.050,,,,
118,07/06/18,06:30:00 PM,67.050,,,,
119,07/06/18,07:00:00 PM,67.392,,,,
120,07/06/18,07:30:00 PM,65.680,,,,
121,07/06/18,08:00:00 PM,64.825,,,,
122,07/06/18,08:30:00 PM,66.879,,,,
123,07/06/18,09:00:00 PM,67.050,,,,
124,07/06/18,09:30:00 PM,67.392,,,,
125,07/06/18,10:00:00 PM,68.248,,,,
126,07/06/18,10:30:00 PM,68.421,,,,
127,07/06/18,11:00:00 PM,68.592,,,,
128,07/06/18,11:30:00 PM,68.592,,,,
129,07/07/18,12:00:00 AM,68.592,,,,
130,07/07/18,12:30:00 AM,68.592,,,,
131,07/07/18,01:00:00 AM,68.248,,,,
132,07/07/18,01:30:00 AM,68.077,,,,
133,07/07/18,02:00:00 AM,67.906,,,,
134,07/07/18,02:30:00 AM,67.906,,,,
135,07/07/18,03:00:00 AM,67.906,,,,
136,07/07/18,03:30:00 AM,68.077,,,,
137,07/07/18,04:00:00 AM,67.735,,,,
138,07/07/18,04:30:00 AM,64.139,,,,
139,07/07/18,05:00:00 AM,64.481,,,,
140,07/07/18,05:30:00 AM,64.139,,,,
141,07/07/18,06:00:00 AM,63.111,,,,
142,07/07/18,06:30:00 AM,65.680,,,,
143,07/07/18,07:00:00 AM,63.797,,,,
144,07/07/18,07:30:00 AM,64.996,,,,
145,07/07/18,08:00:00 AM,63.455,,,,
146,07/07/18,08:30:00 AM,63.282,,,,
147,07/07/18,09:00:00 AM,62.425,,,,
148,07/07/18,09:30:00 AM,62.598,,,,
149,07/07/18,10:00:00 AM,67.735,,,,
150,07/07/18,10:30:00 AM,68.592,,,,
151,07/07/18,11:00:00 AM,64.481,,,,
152,07/07/18,11:30:00 AM,63.282,,,,
153,07/07/18,12:00:00 PM,68.077,,,,
154,07/07/18,12:30:00 PM,68.763,,,,
155,07/07/18,01:00:00 PM,67.221,,,,
156,07/07/18,01:30:00 PM,67.564,,,,
157,07/07/18,02:00:00 PM,67.906,,,,
158,07/07/18,02:30:00 PM,67.221,,,,
159,07/07/18,03:00:00 PM,66.537,,,,
160,07/07/18,03:30:00 PM,66.193,,,,
161,07/07/18,04:00:00 PM,64.996,,,,
162,07/07/18,04:30:00 PM,64.825,,,,
163,07/07/18,05:00:00 PM,64.481,,,,
164,07/07/18,05:30:00 PM,64.825,,,,
165,07/07/18,06:00:00 PM,65.338,,,,
166,07/07/18,06:30:00 PM,64.825,,,,
167,07/07/18,07:00:00 PM,65.509,,,,
168,07/07/18,07:30:00 PM,64.825,,,,
169,07/07/18,08:00:00 PM,66.537,,,,
170,07/07/18,08:30:00 PM,65.509,,,,
171,07/07/18,09:00:00 PM,64.481,,,,
172,07/07/18,09:30:00 PM,64.825,,,,
173,07/07/18,10:00:00 PM,67.564,,,,
174,07/07/18,10:30:00 PM,66.879,,,,
175,07/07/18,11:00:00 PM,68.248,,,,
176,07/07/18,11:30:00 PM,68.421,,,,
177,07/08/18,12:00:00 AM,68.934,,,,
178,07/08/18,12:30:00 AM,67.564,,,,
179,07/08/18,01:00:00 AM,67.392,,,,
180,07/08/18,01:30:00 AM,66.366,,,,
181,07/08/18,02:00:00 AM,65.509,,,,
182,07/08/18,02:30:00 AM,65.680,,,,
183,07/08/18,03:00:00 AM,66.366,,,,
184,07/08/18,03:30:00 AM,67.392,,,,
185,07/08/18,04:00:00 AM,66.879,,,,
186,07/08/18,04:30:00 AM,64.310,,,,
187,07/08/18,05:00:00 AM,63.111,,,,
188,07/08/18,05:30:00 AM,62.769,,,,
189,07/08/18,06:00:00 AM,62.425,,,,
190,07/08/18,06:30:00 AM,61.912,,,,
191,07/08/18,07:00:00 AM,62.598,,,,
192,07/08/18,07:30:00 AM,63.797,,,,
193,07/08/18,08:00:00 AM,64.996,,,,
194,07/08/18,08:30:00 AM,65.680,,,,
195,07/08/18,09:00:00 AM,64.996,,,,
196,07/08/18,09:30:00 AM,66.366,,,,
197,07/08/18,10:00:00 AM,66.537,,,,
198,07/08/18,10:30:00 AM,67.221,,,,
199,07/08/18,11:00:00 AM,68.592,,,,
200,07/08/18,11:30:00 AM,69.278,,,,
201,07/08/18,12:00:00 PM,69.278,,,,
202,07/08/18,12:30:00 PM,69.622,,,,
203,07/08/18,01:00:00 PM,69.964,,,,
204,07/08/18,01:30:00 PM,68.248,,,,
205,07/08/18,02:00:00 PM,67.564,,,,
206,07/08/18,02:30:00 PM,67.906,,,,
207,07/08/18,03:00:00 PM,67.050,,,,
208,07/08/18,03:30:00 PM,66.366,,,,
209,07/08/18,04:00:00 PM,66.366,,,,
210,07/08/18,04:30:00 PM,66.708,,,,
211,07/08/18,05:00:00 PM,65.680,,,,
212,07/08/18,05:30:00 PM,65.509,,,,
213,07/08/18,06:00:00 PM,66.193,,,,
214,07/08/18,06:30:00 PM,66.366,,,,
215,07/08/18,07:00:00 PM,63.282,,,,
216,07/08/18,07:30:00 PM,65.167,,,,
217,07/08/18,08:00:00 PM,65.851,,,,
218,07/08/18,08:30:00 PM,66.193,,,,
219,07/08/18,09:00:00 PM,67.735,,,,
220,07/08/18,09:30:00 PM,65.509,,,,
221,07/08/18,10:00:00 PM,66.366,,,,
222,07/08/18,10:30:00 PM,66.366,,,,
223,07/08/18,11:00:00 PM,67.050,,,,
224,07/08/18,11:30:00 PM,67.735,,,,
