Trial,Reef,Treatment,proportion.exposed,movements.min,bites.min,total.dist.moved,courtship.min,density
1,1,Low,0.52,2,0.5,210,0.066666667,9
1,2,Medium,0.451666667,1.433333333,0.366666667,194,0.1,9
1,3,Low,0.788333333,3.333333333,0.6,260,0.066666667,10
1,4,High,0.731666667,1.366666667,0.566666667,103.3333333,0.066666667,9
1,5,Medium,0.561666667,1.533333333,0.7,77.5,0,7
1,6,High,0.62,1.066666667,0.333333333,91.66666667,0.033333333,13
1,7,Medium,0.98,1.333333333,1.866666667,53.33333333,0.066666667,9
1,8,Low,0.863333333,1.333333333,0.866666667,193.3333333,0.2,12
1,9,High,0.913333333,1.066666667,1.266666667,76.66666667,0.066666667,10
1,10,Low,0.55,1.6,0.92,280,0.28,11
1,11,Medium,0.63,1.466666667,0.6,143.3333333,0.266666667,11
1,12,High,0.481666667,0.833333333,0.2,59.16666667,0.3,13
1,13,Low,0.47,0.866666667,0.4,99.16666667,0.066666667,16
1,14,Medium,0.663333333,1.266666667,0.866666667,30,0,10
1,15,High,0.533333333,1.266666667,0.8,103.3333333,0,13
1,16,Low,0.753333333,0.466666667,0.2,73.33333333,0.133333333,13
1,17,Medium,0.79,0.533333333,0.6,153.3333333,0.266666667,12
1,18,High,0.603333333,0.733333333,0.8,198.3333333,0.066666667,11
2,1,Medium,0.706666667,2,0.466666667,216.6666667,0.2,11
2,2,Low,0.86,1.8,1.066666667,141.6666667,0,11
2,3,High,0.123333333,0.466666667,0,60,0,3
2,4,Medium,0.583333333,1.266666667,1,250,0,12
2,5,High,0.56,1,3.133333333,86.66666667,0,8
2,6,Low,0.7175,0.25,0.15,30,0,7
2,7,Medium,0.863333333,0.733333333,1.333333333,126.6666667,0.266666667,11
2,8,Low,0.823333333,1.533333333,0.666666667,173.3333333,0.133333333,11
2,9,High,0.946666667,2,2.466666667,211.6666667,0.066666667,6
2,10,Low,1,0.8,0.666666667,76.66666667,0,8
2,11,High,0.643333333,1.133333333,0.533333333,100,0,1
2,12,Medium,0.99,1.533333333,1.8,100,0.133333333,11
2,13,Low,0.996666667,3.6,0.133333333,37,0.133333333,6
2,14,Medium,0.81,0.866666667,0.066666667,81.66666667,0.066666667,6
2,15,High,0.346666667,0.733333333,0.6,153.3333333,0.066666667,7
2,16,Low,0.206666667,0.2,0.333333333,36.66666667,0,12
2,17,High,0.306666667,0.266666667,0.466666667,36.66666667,0,8
2,18,Medium,0.663333333,0.266666667,0,85,0,2
3,1,Low,0.183333333,0.866666667,0.2,153.3333333,0,6
3,2,High,0.206666667,1.266666667,0.466666667,200,0,6
3,3,Medium,0.71,1.133333333,0.333333333,83.33333333,0.066666667,8
3,4,High,0.176666667,0.6,0.133333333,90,0.133333333,8
3,5,Medium,0.163333333,0.8,0.066666667,125,0.066666667,9
3,6,Low,0.586666667,1.333333333,0.333333333,225,0.333333333,8
3,7,Medium,1,1.6,1.4,223.3333333,0.066666667,16
3,8,High,0.943333333,1.333333333,2.066666667,136.6666667,0,8
3,9,Low,0.986666667,1.133333333,1.066666667,140,0,10
3,10,High,0.696666667,1.333333333,0.866666667,175,0,8
3,11,Low,0.53,1.6,0.6,243.3333333,0.066666667,12
3,12,Medium,0.666666667,1.133333333,0.866666667,233.3333333,0.2,11
3,13,Low,0.906666667,0.4,0,80,0,12
3,14,High,0.466666667,0.933333333,0,200,0.266666667,9
3,15,Low,0.666666667,0.533333333,0.466666667,76.66666667,0.066666667,14
3,16,Medium,0.43,0.666666667,0.333333333,156.6666667,0.266666667,14
3,17,High,0.606666667,1,0.2,116.6666667,0.066666667,12
3,18,Medium,0.476666667,0.266666667,0.333333333,43.33333333,0.2,17
4,1,Low,0.648333333,1.366666667,1.5,150.8333333,0.1,5
4,2,High,0.565,0.9,0.766666667,71.66666667,0,6.5
4,3,Medium,0.741666667,1,1.133333333,115,0.1,9
4,4,High,0.536666667,0.8,1.066666667,52.33333333,0.133333333,4
4,5,Medium,0.496666667,0.466666667,0.2,20,0.066666667,5
4,6,Low,0.794,1.24,0.92,148,0.08,8.2
4,8,High,0.366666667,1.68,0.2,133.3333333,0.233333333,4
4,9,Low,0.881666667,1.7,0.566666667,260,0.133333333,5
4,10,Medium,0.796666667,1.466666667,0.9,46.66666667,0.1,8.5
4,11,Low,0.726666667,1.816666667,0.383333333,132.7272727,0.116666667,10
4,12,High,0.811333333,1.413333333,0.84,181.875,0.066666667,12
4,13,Low,0.775,1.1,0.85,261.25,0.083333333,11.25
4,14,Medium,0.830666667,1.04,0.8,149.1666667,0.08,14
4,15,Low,0.743333333,0.983333333,0.733333333,329.1666667,0.1,8.75
4,16,High,0.603333333,0.866666667,0.616666667,256.6666667,0.05,8.5
4,17,Medium,0.6575,1.2,0.733333333,285,0.083333333,10
4,18,High,0.686666667,1.033333333,1.066666667,156.6666667,0,9.5
5,1,High,0.601666667,1.1,0.633333333,266.6666667,0.233333333,10.5
5,2,Low,0.681666667,1.133333333,0.516666667,208.3333333,0.133333333,8.5
5,3,Medium,0.620833333,0.916666667,0.466666667,268.3333333,0.066666667,9.25
5,4,Low,0.801666667,1.266666667,0.9,428.3333333,0.033333333,9.5
5,5,Medium,0.71,0.966666667,0.75,225,0.083333333,10.25
5,6,High,0.886666667,1.133333333,1.1,301.6666667,0.166666667,10.5
5,7,Medium,0.936666667,1.283333333,0.683333333,325,0.183333333,10.25
5,8,Low,0.885833333,1.383333333,0.9,272.5,0.066666667,10.25
5,9,High,0.693333333,1.1,0.5,260,0,6
5,10,Medium,0.778333333,1.1,0.35,140,0.216666667,8
5,11,Low,0.762727273,1.454545455,0.4,233.1818182,0.145454545,8.727272727
5,12,High,0.718333333,1.733333333,1.6,95,0.3,9.5
5,13,Low,0.928333333,1.633333333,0.8,185,0.166666667,10
5,14,Medium,0.775833333,1.683333333,0.633333333,124.1666667,0.05,9
5,15,High,0.599166667,1.083333333,0.583333333,180,0.083333333,6.75
5,16,Medium,0.705833333,1.15,0.366666667,265,0.3,8.5
5,17,Low,0.796666667,1.416666667,0.566666667,240.8333333,0.133333333,8.5
5,18,High,0.514,1.16,0.58,177.5,0.06,4.6
6,1,Low,0.713333333,1.4,0.733333333,30,0.066666667,7
6,3,Medium,0.44,0.8,0.333333333,13,0,8
6,6,Medium,0.633333333,1.533333333,0,26.66666667,0.2,8
6,7,High,0.543333333,1.533333333,0.733333333,29,0,7
