Trial,Reef,Treatment,proportion.exposed,movements.min,bites.min,total.dist.moved,courtship.min,density,recollection
4,2,High,0.565,0.9,0.766666667,71.66666667,0,6.5,3
4,4,High,0.536666667,0.8,1.066666667,52.33333333,0.133333333,4,1
4,8,High,0.366666667,1.68,0.2,133.3333333,0.233333333,4,3
4,12,High,0.811333333,1.413333333,0.84,181.875,0.066666667,12,13
4,16,High,0.603333333,0.866666667,0.616666667,256.6666667,0.05,8.5,9
4,18,High,0.686666667,1.033333333,1.066666667,156.6666667,0,9.5,5
5,1,High,0.601666667,1.1,0.633333333,266.6666667,0.233333333,10.5,4
5,6,High,0.886666667,1.133333333,1.1,301.6666667,0.166666667,10.5,3
5,9,High,0.693333333,1.1,0.5,260,0,6,3
5,12,High,0.718333333,1.733333333,1.6,95,0.3,9.5,0
5,15,High,0.599166667,1.083333333,0.583333333,180,0.083333333,6.75,10
5,18,High,0.514,1.16,0.58,177.5,0.06,4.6,7
4,1,Low,0.648333333,1.366666667,1.5,150.8333333,0.1,5,1
4,6,Low,0.794,1.24,0.92,148,0.08,8.2,2
4,9,Low,0.881666667,1.7,0.566666667,260,0.133333333,5,2
4,11,Low,0.726666667,1.816666667,0.383333333,132.7272727,0.116666667,10,15
4,13,Low,0.775,1.1,0.85,261.25,0.083333333,11.25,13
4,15,Low,0.743333333,0.983333333,0.733333333,329.1666667,0.1,8.75,9
5,2,Low,0.681666667,1.133333333,0.516666667,208.3333333,0.133333333,8.5,10
5,4,Low,0.801666667,1.266666667,0.9,428.3333333,0.033333333,9.5,5
5,8,Low,0.885833333,1.383333333,0.9,272.5,0.066666667,10.25,7
5,11,Low,0.762727273,1.454545455,0.4,233.1818182,0.145454545,8.727272727,6
5,13,Low,0.928333333,1.633333333,0.8,185,0.166666667,10,0
5,17,Low,0.796666667,1.416666667,0.566666667,240.8333333,0.133333333,8.5,5
4,3,Medium,0.741666667,1,1.133333333,115,0.1,9,2
4,5,Medium,0.496666667,0.466666667,0.2,20,0.066666667,5,2
4,10,Medium,0.796666667,1.466666667,0.9,46.66666667,0.1,8.5,4
4,14,Medium,0.830666667,1.04,0.8,149.1666667,0.08,14,18
4,17,Medium,0.6575,1.2,0.733333333,285,0.083333333,10,17
5,3,Medium,0.620833333,0.916666667,0.466666667,268.3333333,0.066666667,9.25,7
5,5,Medium,0.71,0.966666667,0.75,225,0.083333333,10.25,7
5,7,Medium,0.936666667,1.283333333,0.683333333,325,0.183333333,10.25,9
5,10,Medium,0.778333333,1.1,0.35,140,0.216666667,8,5
5,14,Medium,0.775833333,1.683333333,0.633333333,124.1666667,0.05,9,5
5,16,Medium,0.705833333,1.15,0.366666667,265,0.3,8.5,6
