Year,Trial,Date,Week,Days.after.deployment,Observer,Reef,Treatment,Density,Goby.ID,Nearest.TOL,Starting.location,Starting.position,Total.time.exposed,proportion.exposed,Total.time.hidden,proportion.hidden,num.movement.swims,Distance.moved.review.this.column,corrected.distance.moved,num.bites,num.times.chased,num.times.chaser,area.used.cm
2017,1,6/28/2017,1,2,GJ,1,Low,9,F29,4,rock,exposed,300,1,0,0,13,300,300,10,0,0,30
2017,1,6/28/2017,1,2,GJ,1,Low,9,F25,2,rock,hidden,15,0.05,285,0.95,4,100,100,2,0,0,10
2017,1,6/28/2017,1,2,GJ,1,Low,9,M32,4,sand,exposed,288,0.96,34,0.11,34,700,700,1,0,1,600
2017,1,7/7/2017,2,9,GJ,1,Low,NA,F26,2,rock,exposed,210,0.7,90,0.3,7,100,100,2,0,0,100
2017,1,7/7/2017,2,9,GJ,1,Low,NA,F27,5,rock,exposed,122,0.41,178,0.59,2,60,60,0,1,0,50
2017,1,7/7/2017,2,9,GJ,1,Low,NA,F32,3,tol (3),hidden,0,0,300,1,0,0,0,0,0,0,
2017,1,6/28/2017,1,2,GJ,2,Medium,9,F25,4,rock,exposed,115,0.38,185,0.62,4,120,120,1,1,0,300
2017,1,6/28/2017,1,2,GJ,2,Medium,NA,F26,4,rock,hidden,30,0.1,270,0.9,12,500,500,1,0,0,500
2017,1,6/28/2017,1,2,GJ,2,Medium,9,F26,5,rock,exposed,60,0.2,240,0.8,3,100,100,0,1,0,50
2017,1,7/7/2017,2,9,GJ,2,Medium,9,F28,2 and 3,rock,exposed,285,0.95,15,0.05,8,200,200,9,0,0,100
2017,1,7/7/2017,2,9,GJ,2,Medium,NA,M_ (no size seen),3,rock,exposed,65,0.22,235,0.78,2,50,50,0,0,0,50
2017,1,7/7/2017,2,9,GJ,2,Medium,NA,F26,3,rock,exposed,258,0.86,42,0.14,14,,,0,1,0,300
2017,1,6/28/2017,1,2,GJ,3,Low,10,M28,4,rock,exposed,300,1,0,0,50,500,500,14,0,0,300
2017,1,6/28/2017,1,2,GJ,3,Low,10,F27,2,rock,exposed,235,0.78,65,0.22,22,500,500,1,1,0,300
2017,1,6/28/2017,1,2,GJ,3,Low,NA,M33,4,rock,exposed,238,0.79,62,0.21,9,210,210,0,1,0,300
2017,1,7/7/2017,2,9,GJ,3,Low,10,F27,5,rock,exposed,300,1,0,0,17,300,300,3,0,0,225
2017,1,7/7/2017,2,9,GJ,3,Low,NA,F26,3,rock,exposed,300,1,0,0,0,0,0,0,0,0,0
2017,1,7/7/2017,2,9,GJ,3,Low,NA,M32,2,rock,exposed,49,0.16,251,0.84,2,50,50,0,0,0,100
2017,1,6/28/2017,1,2,GJ,4,High,9,F31,3,rock,exposed,300,1,0,0,12,150,150,9,0,0,100
2017,1,6/28/2017,1,2,GJ,4,High,9,F26,4,rock,exposed,265,0.88,35,0.12,7,125,125,1,0,0,50
2017,1,6/28/2017,1,2,GJ,4,High,9,F32,1,rock,exposed,275,0.92,25,0.08,8,300,300,1,0,1,250
2017,1,7/7/2017,2,9,GJ,4,High,NA,F25,5,rock,exposed,300,1,0,0,11,20,20,5,0,0,25
2017,1,7/7/2017,2,9,GJ,4,High,NA,F32,4,rock,exposed,177,0.59,123,0.41,3,25,25,1,0,1,50
2017,1,7/7/2017,2,9,GJ,4,High,NA,F28,2,rock,hidden,0,0,300,1,0,0,0,0,0,0,0
2017,1,6/28/2017,1,2,GJ,5,Medium,NA,F25,2,rock,exposed,300,1,0,0,20,125,125,10,0,0,100
2017,1,6/28/2017,1,2,GJ,5,Medium,7,F28,5,rock,hidden,300,1,0,0,6,30,30,4,0,0,90
2017,1,6/28/2017,1,2,GJ,5,Medium,7,M32,2,rock,hidden,263,0.88,37,0.12,7,50,50,1,0,0,250
2017,1,7/7/2017,2,9,GJ,5,Medium,NA,F25,5,rock,hidden,116,0.39,184,0.61,6,50,50,5,0,0,40
2017,1,7/7/2017,2,9,GJ,5,Medium,7,F29,5,rock,hidden,29,0.1,271,0.9,5,200,200,1,0,0,80
2017,1,7/7/2017,2,9,GJ,5,Medium,NA,F31,1,rock,hidden,0,0,300,1,2,10,10,0,0,0,20
2017,1,6/28/2017,1,2,GJ,6,High,NA,F27,1,rock,exposed,300,1,0,0,11,125,125,4,1,0,100
2017,1,6/28/2017,1,2,GJ,6,High,13,F25,4,rock,exposed,60,0.2,240,0.8,6,125,125,1,0,0,400
2017,1,6/28/2017,1,2,GJ,6,High,13,M40,5,rock,exposed,298,0.99,2,0.01,2,0,0,0,0,0,10
2017,1,7/7/2017,2,9,GJ,6,High,NA,F27,3,rock,exposed,300,1,0,0,9,150,150,4,0,0,100
2017,1,7/7/2017,2,9,GJ,6,High,NA,F29,2,rock,hidden,132,0.44,168,0.56,2,100,100,1,0,0,100
2017,1,7/7/2017,2,9,GJ,6,High,13,F27,1,rock,hidden,27,0.09,273,0.91,2,50,50,0,0,0,50
2017,1,6/29/2017,1,3,GJ,7,Medium,9,F28,1,rock,exposed,300,1,0,0,4,30,30,14,0,0,100
2017,1,6/29/2017,1,3,GJ,7,Medium,9,F24,3,rock,exposed,283,0.94,17,0.06,8,30,30,7,0,0,100
2017,1,6/29/2017,1,3,GJ,7,Medium,9,M35,4,TOL,exposed,300,1,0,0,8,100,100,7,0,1,500
2017,1,6/29/2017,1,3,GJ,8,Low,12,M38 (must have migrated),2,rock,exposed,300,1,0,0,6,30,30,7,0,0,200
2017,1,6/29/2017,1,3,GJ,8,Low,12,M25,3,rock,exposed,300,1,0,0,5,50,50,5,0,0,50
2017,1,6/29/2017,1,3,GJ,8,Low,12,F28,2,rock,hidden,178,0.59,122,0.41,9,500,500,1,0,3,1000
2017,1,6/29/2017,1,3,GJ,9,High,10,F29,3,rock,exposed,300,1,0,0,7,100,100,13,0,0,100
2017,1,6/29/2017,1,3,GJ,9,High,10,F28,3,rock,exposed,295,0.98,5,0.02,7,30,30,5,0,0,50
2017,1,6/29/2017,1,3,GJ,9,High,10,F31,3,rock,exposed,227,0.76,73,0.24,2,100,100,1,0,1,100
2017,1,6/29/2017,1,3,GJ,10,Low,11,M33,1,rock,exposed,235,0.78,65,0.22,3,300,300,2,0,3,200
2017,1,6/29/2017,1,3,GJ,10,Low,11,F29,5,rock,hidden,10,0.03,290,0.97,1,300,300,0,0,1,800
2017,1,6/29/2017,1,3,GJ,10,Low,11,"M42 (must have migrated, not on R10 initially)",4,TOL,hidden,83,0.28,217,0.72,5,500,500,0,0,3,1000
2017,1,7/8/2017,2,9,GJ,10,Low,NA,F26,4,rock,exposed,300,1,0,0,22,200,200,16,0,0,30
2017,1,7/8/2017,2,9,GJ,10,Low,NA,F28,5,rock,exposed,199,0.66,101,0.34,9,100,100,5,0,0,200
2017,1,6/29/2017,1,3,GJ,11,Medium,11,F26,1,rock,exposed,300,1,0,0,3,10,10,4,0,0,30
2017,1,6/29/2017,1,3,GJ,11,Medium,11,F26,3,rock,exposed,259,0.86,41,0.14,13,350,350,3,3,0,200
2017,1,6/29/2017,1,3,GJ,11,Medium,11,F32,5,rock,hidden,10,0.03,290,0.97,6,70,70,2,0,1,100
2017,1,6/29/2017,1,3,GJ,12,High,NA,F29,1,rock,exposed,121,0.4,179,0.6,4,30,30,0,0,0,100
2017,1,6/29/2017,1,3,GJ,12,High,NA,M29,4,rock,exposed,152,0.51,148,0.49,3,30,30,0,0,0,25
2017,1,6/29/2017,1,3,GJ,12,High,13,F28,3,rock,exposed,146,0.49,154,0.51,4,40,40,0,0,0,100
2017,1,7/8/2017,2,9,GJ,12,High,13,F27,3,rock,hidden,0,0,300,1,7,30,30,4,0,0,50
2017,1,7/8/2017,2,9,GJ,12,High,13,F25,2,rock,exposed,297,0.99,3,0.01,5,100,100,2,7,2,75
2017,1,7/8/2017,2,9,GJ,12,High,NA,F26,4,rock,exposed,150,0.5,150,0.5,2,125,125,0,0,0,75
2017,1,6/30/2017,1,4,GJ,13,Low,16,F29,1,TOL,exposed,300,1,0,0,13,200,200,11,0,0,400
2017,1,6/30/2017,1,4,GJ,13,Low,16,F26,3,rock,hidden,116,0.39,184,0.61,2,150,150,0,2,0,100
2017,1,6/30/2017,1,4,GJ,13,Low,NA,F25 (no sex or size tags seen),2,rock,hidden,85,0.28,215,0.72,2,75,75,0,0,0,50
2017,1,7/8/2017,2,9,GJ,13,Low,16,F27,3,rock,exposed,300,1,0,0,3,70,70,1,0,0,20
2017,1,7/8/2017,2,9,GJ,13,Low,NA,F30? (NTS),1,TOL,hidden,0,0,300,1,0,0,0,0,0,0,5
2017,1,7/8/2017,2,9,GJ,13,Low,NA,F29,2 and 5,rock,exposed,44,0.15,256,0.85,6,100,100,0,0,0,100
2017,1,6/30/2017,1,4,GJ,14,Medium,10,F27,2,rock,exposed,300,1,0,0,8,40,40,7,0,0,100
2017,1,6/30/2017,1,4,GJ,14,Medium,10,"M42? (no size tag, but it was estimated M38, M42 was on reef)",3,rock,exposed,296,0.99,4,0.01,10,50,50,6,0,0,50
2017,1,6/30/2017,1,4,GJ,14,Medium,10,F27,3,rock,hidden,0,0,300,1,1,0,0,0,0,0,0
2017,1,6/30/2017,1,4,GJ,15,High,13,F26,3,rock,exposed,300,1,0,0,9,60,60,9,0,0,100
2017,1,6/30/2017,1,4,GJ,15,High,13,F29,1,rock,hidden,89,0.3,211,0.7,4,100,100,2,0,0,200
2017,1,6/30/2017,1,4,GJ,15,High,13,F26,4,rock,hidden,89,0.3,211,0.7,6,150,150,1,0,0,100
2017,1,6/30/2017,1,4,GJ,16,Low,13,F29,5,rock,exposed,300,1,0,0,3,60,60,3,0,1,150
2017,1,6/30/2017,1,4,GJ,16,Low,13,F31,2,rock,exposed,300,1,0,0,0,10,10,0,0,0,20
2017,1,6/30/2017,1,4,GJ,16,Low,13,F27,5,rock,hidden,78,0.26,222,0.74,4,150,150,0,1,0,250
2017,1,6/30/2017,1,4,GJ,17,Medium,12,M35 (No size tag seen),5,rock,exposed,300,1,0,0,1,200,200,5,0,1,250
2017,1,6/30/2017,1,4,GJ,17,Medium,12,F27,4,rock,exposed,300,1,0,0,4,60,60,4,1,0,100
2017,1,6/30/2017,1,4,GJ,17,Medium,12,F29,2,rock,hidden,111,0.37,189,0.63,3,200,200,0,1,1,500
2017,1,6/30/2017,1,4,GJ,18,High,11,F25,4,rock,exposed,263,0.88,37,0.12,4,175,175,6,0,0,500
2017,1,6/30/2017,1,4,GJ,18,High,11,M30,2,rock,exposed,189,0.63,111,0.37,3,120,120,4,0,0,250
2017,1,6/30/2017,1,4,GJ,18,High,11,F29,2,rock,hidden,90,0.3,210,0.7,4,300,300,2,1,0,1000
2017,2,7/30/2017,1,3,GJ,1,Medium,11,"M31? (no tags seen), had a female 31 on reef 1",2,rock,hidden,232,0.77,68,0.23,8,100,100,7,0,1,50
2017,2,7/30/2017,1,3,GJ,1,Medium,11,F26,5,rock,exposed,186,0.62,114,0.38,13,250,250,0,2,0,100
2017,2,7/30/2017,1,3,GJ,1,Medium,11,M25,3,rock,exposed,218,0.73,82,0.27,9,300,300,0,0,0,125
2017,2,7/30/2017,1,3,GJ,2,Low,11,M31,2,rock,exposed,300,1,0,0,11,100,100,11,0,0,100
2017,2,7/30/2017,1,3,GJ,2,Low,11,F29,1,rock,exposed,246,0.82,54,0.18,13,250,250,5,0,0,125
2017,2,7/30/2017,1,3,GJ,2,Low,11,F35? Sex and size estimate (had a M35 on that reef),5,rock,hidden,228,0.76,72,0.24,3,75,75,0,0,0,50
2017,2,7/30/2017,1,3,GJ,3,High,3,F25,2,rock,hidden,110,0.37,190,0.63,3,50,50,0,0,0,50
2017,2,7/30/2017,1,3,GJ,3,High,3,F27,1,rock,hidden,0,0,300,1,3,100,100,0,0,0,100
2017,2,7/30/2017,1,3,GJ,3,High,3,GF30,5,rock,hidden,0,0,300,1,1,30,30,0,0,0,10
2017,2,7/30/2017,1,3,GJ,4,Medium,12,F23,1,rock,exposed,300,1,0,0,5,300,300,8,0,0,100
