Date,Days.after.deployment,Observer,Reef.num,risk,Density,Time.Start,Time.End,Goby.ID,"Gravid.(0,1,2,3)",Nearest.TOL.num,"Starting.location.(TOL,.rocks,.sand)","Starting.position.(exposed,.hidden)",Total.time.exposed,proportion.exposed,Total.time.hidden,proportion.hidden,num.movement.swims,Distance.moved.(mm),num.bites,num.times.chased,chased.by.size/tag,num.times.chaser,size/tag.chased,area.used.cm.2,predator.size,notes.observer,notes.gj
6/6/2018,6,LS,2,high,6,NA,NA,23,2,2,rock,exposed,180,0.6,120,0.4,1,90,5,0,NA,0,NA,45,,hidden(?),
6/6/2018,6,LS,2,high,,NA,NA,39,1,4.5,rock,exposed,195,0.65,105,0.35,8,200,4,0,NA,0,NA,100,,,not likely a gravid 39
6/6/2018,6,LS,2,high,,NA,NA,NTS,0,1.2,rock,exposed,121,0.4,179,0.6,2,50,3,0,NA,0,NA,25,"JPACL, JSEPU",,
6/6/2018,6,LS,4,high,4,17:07,17:12,26,0,2,rock,exposed,278,0.93,22,0.07,6,4,0,0,NA,0,NA,324,SEPU,big goby TOL 1,
6/6/2018,6,LS,4,high,,17:15,17:20,32,1,5,rock,exposed,151,0.5,149,0.5,1,80,5,0,NA,0,NA,81,,,
6/6/2018,6,LS,4,high,,17:30,17:35,23,0,3,rock,hidden,0,0,300,1,5,100,12,0,NA,0,NA,81,JSEPU,HYRU ate small goby,"unlikely, but could happen, if it did, then the goby was likely messed up to begin with"
6/6/2018,6,GJ,4,high,4,14:10,14:15,23,0,3,rock,hidden,0,0,300,1,5,40,1,3,"30+(likely male, twice).29(g2)",0,NA,100,2xJPACL(10),no gobies in TOLS.acetate sheet #5 was out of the TOL. Saw male jerks from chasing male,
6/6/2018,6,GJ,4,high,,14:16,14:21,26,0,2,rock,exposed,267,0.89,33,0.11,4,30,7,0,NA,0,NA,25,,,
6/6/2018,6,GJ,4,high,,14:23,14:28,31,2,1,rock,exposed,270,0.9,30,0.1,3,60,7,1,41,0,NA,49,FESPU(10),Honker male chasing down plump lady while guarding TOL 1,
6/6/2018,6,GJ,2,high,7,16:47,16:52,29,2,1,rock,exposed,221,0.74,79,0.26,7,50,1,0,NA,0,NA,64,FESPUx2(13) chased,no gobies in TOLS,
6/6/2018,6,GJ,2,high,,16:54,16:59,29,0,4,rock,hidden,0,0,300,1,5,20,2,0,NA,0,NA,25,FHASE(20) chase at 4:50 timing,,
6/6/2018,6,GJ,2,high,,17:01,17:06,30,0,2,rock,exposed,300,1,0,0,4,20,8,0,NA,0,NA,25,"no tag seen, but definitely in the 30/31 range, likely a head tag",,
6/6/2018,6,LS,1,low,3,NA,NA,NTS,0,3,rock,hidden,110,0.37,190,0.63,3,200,0,0,NA,0,NA,81,PACL,big male in TOL 1,
6/6/2018,6,LS,1,low,,NA,NA,NTS,0,1.2,rock,exposed,286,0.95,14,0.05,4,160,16,0,NA,0,NA,80,,,
6/6/2018,6,LS,1,low,,NA,NA,28,1,1.2.5,rock,exposed,189,0.63,111,0.37,7,400,3,0,NA,2,NTS,625,SEPU,SEPU chased 2nd fish observation,
6/6/2018,6,LS,6,low,7,17:47,17:52,27,2,3,rock,exposed,300,1,0,0,8,300,11,0,NA,0,NA,900,,gobies in TOL 1 and 2,
6/6/2018,6,LS,6,low,,18:04,18:09,25,0,2,rock,exposed,300,1,0,0,1,200,5,0,NA,0,NA,400,,,likely moved more than 1 time if it moved a total of 200 mm and used that much area
6/6/2018,6,GJ,6,low,9,10:53,10:58,25,1,2,rock,exposed,292,0.97,8,0.03,4,60,2,0,NA,0,NA,64,,1 male (30+) looking a bit fuzzy at the fins,
