Date,Day,Hours.after.deploy,Trial,Reef,Risk,Adult.BEG.Density,Juv.BEG.density,,
7/14/2018,11,264,5,1,high,0,4,,
7/14/2018,11,264,5,2,low,1,0,,
7/14/2018,11,264,5,3,med,1,0,,>40=adult
7/14/2018,11,264,5,4,low,0,0,,<40=juv
7/14/2018,11,264,5,5,med,4,0,,
7/14/2018,11,264,5,6,high,8,0,,
7/14/2018,10,240,5,7,med,6,6,,
7/14/2018,10,240,5,8,low,3,2,,
7/14/2018,10,240,5,9,high,0,1,,
7/14/2018,10,240,5,10,med,2,1,,
7/14/2018,10,240,5,11,low,3,2,,
7/14/2018,10,240,5,12,high,1,2,,
7/14/2018,10,240,5,13,low,1,0,,
7/14/2018,10,240,5,14,med,2,3,,
7/14/2018,10,240,5,15,high,0,0,,
7/14/2018,10,240,5,16,med,1,0,,
7/14/2018,10,240,5,17,low,0,1,,
7/14/2018,10,240,5,18,high,1,0,,
7/15/2018,11,264,5,1,high,2,4,,
7/15/2018,11,264,5,2,low,1,0,,
7/15/2018,11,264,5,3,med,0,0,,
7/15/2018,11,264,5,4,low,0,0,,
7/15/2018,11,264,5,5,med,4,0,,
7/15/2018,11,264,5,6,high,1,4,,
7/15/2018,10,240,5,7,med,6,8,,
7/15/2018,10,240,5,8,low,2,3,,
7/15/2018,10,240,5,9,high,0,0,,
7/15/2018,10,240,5,10,med,1,3,,
7/15/2018,10,240,5,11,low,3,4,,
7/15/2018,10,240,5,12,high,1,3,,
7/15/2018,10,240,5,13,low,0,2,,
7/15/2018,10,240,5,14,med,2,4,,
7/15/2018,10,240,5,15,high,1,3,,
7/15/2018,10,240,5,16,med,1,0,,
7/15/2018,10,240,5,17,low,0,1,,
7/15/2018,10,240,5,18,high,1,0,,
