Date,Day,Hours.after.deploy,Trial,Reef,Risk,Density,TOL.occupancy,TOL.num,Recruits,Notes,
6/16/2018,16,384,4,1,low,3,0,NA,0,,need to go back and enter these data
6/16/2018,16,384,4,2,high,5,0,NA,1,,
6/16/2018,16,384,4,3,medium,4,1,4,0,,
6/16/2018,16,384,4,4,high,0,0,NA,0,,
6/16/2018,16,384,4,5,medium,1,0,NA,0,,
6/16/2018,16,384,4,6,low,3,0,NA,0,,
6/16/2018,16,384,4,7,medium,2,0,NA,0,,
6/16/2018,16,384,4,8,high,4,0,NA,0,,
6/16/2018,16,384,4,9,low,6,0,NA,0,,
6/16/2018,15,360,4,10,medium,8,0,NA,0,,
6/16/2018,15,360,4,11,low,11,0,NA,0,,
6/16/2018,15,360,4,12,high,9,0,NA,0,,
6/16/2018,15,360,4,13,low,10,0,NA,0,,
6/16/2018,15,360,4,14,medium,12,0,NA,0,,
6/16/2018,15,360,4,15,low,9,0,NA,0,,
6/16/2018,15,360,4,16,high,11,0,NA,0,,
6/16/2018,15,360,4,17,medium,9,0,NA,0,,
6/16/2018,15,360,4,18,high,7,0,NA,1,,
6/17/2018,17,408,4,1,low,0,0,NA,0,,
6/17/2018,17,408,4,2,high,7,0,NA,2,,
6/17/2018,17,408,4,3,medium,3,0,NA,0,,
6/17/2018,17,408,4,4,high,0,0,NA,0,,
6/17/2018,17,408,4,5,medium,3,0,NA,0,octopus,
6/17/2018,17,408,4,6,low,5,1,3,0,,
6/17/2018,17,408,4,7,medium,2,0,NA,0,,
6/17/2018,17,408,4,8,high,6,1,4,0,,
6/17/2018,17,408,4,9,low,4,1,3,0,,
6/17/2018,16,384,4,10,medium,7,0,NA,0,,
6/17/2018,16,384,4,11,low,12,0,NA,0,,
6/17/2018,16,384,4,12,high,11,0,NA,0,,
6/17/2018,16,384,4,13,low,9,0,NA,0,,
6/17/2018,16,384,4,14,medium,12,0,NA,0,,
6/17/2018,16,384,4,15,low,11,0,NA,0,,
6/17/2018,16,384,4,16,high,10,0,NA,0,,
6/17/2018,16,384,4,17,medium,11,0,NA,0,,
6/17/2018,16,384,4,18,high,7,0,NA,1,,
6/20/2018,20,480,4,1,low,1,0,NA,0,,
6/20/2018,20,480,4,2,high,4,0,NA,1,,
