Trial,Date,Week,Day,deployment.day,Reef,Treatment,Density
4,5/31/2018,1,1,A,1,Low,14
4,5/31/2018,1,1,A,2,High,14
4,5/31/2018,1,1,A,3,Medium,11
4,5/31/2018,1,1,A,4,High,15
4,5/31/2018,1,1,A,5,Medium,15
4,5/31/2018,1,1,A,6,Low,17
4,5/31/2018,1,1,A,7,Medium,14
4,5/31/2018,1,1,A,8,High,16
4,5/31/2018,1,1,A,9,Low,11
4,5/31/2018,1,1,B,10,Medium,10
4,5/31/2018,1,1,B,11,Low,11
4,5/31/2018,1,1,B,12,High,12
4,5/31/2018,1,1,B,13,Low,9
4,5/31/2018,1,1,B,14,Medium,15
4,5/31/2018,1,1,B,15,Low,10
4,5/31/2018,1,1,B,16,High,11
4,5/31/2018,1,1,B,17,Medium,8
4,5/31/2018,1,1,B,18,High,10
4,6/5/2018,1,5,A,1,Low,10
4,6/5/2018,1,5,A,2,High,11
4,6/5/2018,1,5,A,3,Medium,11
4,6/5/2018,1,5,A,4,High,8
4,6/5/2018,1,5,A,5,Medium,3
4,6/5/2018,1,5,A,6,Low,12
4,6/5/2018,1,5,A,7,Medium,11
4,6/5/2018,1,5,A,8,High,13
4,6/5/2018,1,5,A,9,Low,13
4,6/5/2018,1,4,B,10,Medium,16
4,6/5/2018,1,4,B,11,Low,14
4,6/5/2018,1,4,B,12,High,18
4,6/5/2018,1,4,B,13,Low,14
4,6/5/2018,1,4,B,14,Medium,16
4,6/5/2018,1,4,B,15,Low,12
4,6/5/2018,1,4,B,16,High,13
4,6/5/2018,1,4,B,17,Medium,10
4,6/5/2018,1,4,B,18,High,10
4,6/6/2018,1,6,A,1,Low,7
4,6/6/2018,1,6,A,2,High,7
4,6/6/2018,1,6,A,3,Medium,11
4,6/6/2018,1,6,A,4,High,4
4,6/6/2018,1,6,A,5,Medium,5
4,6/6/2018,1,6,A,6,Low,9
4,6/6/2018,1,6,A,7,Medium,6
4,6/6/2018,1,6,A,8,High,9
4,6/6/2018,1,6,A,9,Low,9
4,6/6/2018,1,5,B,10,Medium,10
4,6/6/2018,1,5,B,11,Low,11
4,6/6/2018,1,5,B,12,High,15
4,6/6/2018,1,5,B,13,Low,12
4,6/6/2018,1,5,B,14,Medium,11
4,6/6/2018,1,5,B,15,Low,11
4,6/6/2018,1,5,B,16,High,11
4,6/6/2018,1,5,B,17,Medium,11
4,6/6/2018,1,5,B,18,High,9
4,6/7/2018,1,7,A,1,Low,8
4,6/7/2018,1,7,A,2,High,8
4,6/7/2018,1,7,A,3,Medium,8
4,6/7/2018,1,7,A,4,High,4
4,6/7/2018,1,7,A,5,Medium,7
4,6/7/2018,1,7,A,6,Low,9
4,6/7/2018,1,7,A,7,Medium,9
4,6/7/2018,1,7,A,8,High,7
4,6/7/2018,1,7,A,9,Low,11
4,6/7/2018,1,6,B,10,Medium,10
4,6/7/2018,1,6,B,11,Low,15
4,6/7/2018,1,6,B,12,High,14
4,6/7/2018,1,6,B,13,Low,14
4,6/7/2018,1,6,B,14,Medium,18
4,6/7/2018,1,6,B,15,Low,16
4,6/7/2018,1,6,B,16,High,12
4,6/7/2018,1,6,B,17,Medium,13
4,6/7/2018,1,6,B,18,High,16
4,6/11/2018,2,11,A,1,Low,0
4,6/11/2018,2,11,A,2,High,1
4,6/11/2018,2,11,A,3,Medium,6
4,6/11/2018,2,11,A,4,High,3
4,6/11/2018,2,11,A,5,Medium,3
4,6/11/2018,2,11,A,6,Low,5
4,6/11/2018,2,11,A,7,Medium,3
4,6/11/2018,2,11,A,8,High,5
4,6/11/2018,2,11,A,9,Low,5
4,6/11/2018,2,12,B,10,Medium,11
4,6/11/2018,2,12,B,11,Low,14
4,6/11/2018,2,12,B,12,High,12
4,6/11/2018,2,12,B,13,Low,11
4,6/11/2018,2,12,B,14,Medium,13
4,6/11/2018,2,12,B,15,Low,11
4,6/11/2018,2,12,B,16,High,7
4,6/11/2018,2,12,B,17,Medium,6
4,6/11/2018,2,12,B,18,High,12
4,6/12/2018,2,12,A,1,Low,2
4,6/12/2018,2,12,A,2,High,4
4,6/12/2018,2,12,A,3,Medium,3
4,6/12/2018,2,12,A,4,High,1
4,6/12/2018,2,12,A,5,Medium,1
4,6/12/2018,2,12,A,6,Low,3
4,6/12/2018,2,12,A,7,Medium,0
4,6/12/2018,2,12,A,8,High,3
4,6/12/2018,2,12,A,9,Low,4
4,6/12/2018,2,11,B,10,Medium,10
4,6/12/2018,2,11,B,11,Low,11
4,6/12/2018,2,11,B,12,High,15
4,6/12/2018,2,11,B,13,Low,12
4,6/12/2018,2,11,B,14,Medium,14
4,6/12/2018,2,11,B,15,Low,10
4,6/12/2018,2,11,B,16,High,16
4,6/12/2018,2,11,B,17,Medium,17
4,6/12/2018,2,11,B,18,High,18
4,6/13/2018,2,13,A,1,Low,2
4,6/13/2018,2,13,A,2,High,5
4,6/13/2018,2,13,A,3,Medium,7
4,6/13/2018,2,13,A,4,High,1
4,6/13/2018,2,13,A,5,Medium,1
4,6/13/2018,2,13,A,6,Low,3
4,6/13/2018,2,13,A,7,Medium,2
4,6/13/2018,2,13,A,8,High,4
4,6/13/2018,2,13,A,9,Low,5
4,6/13/2018,2,12,B,10,Medium,12
4,6/13/2018,2,12,B,11,Low,15
4,6/13/2018,2,12,B,12,High,11
4,6/13/2018,2,12,B,13,Low,15
4,6/13/2018,2,12,B,14,Medium,20
4,6/13/2018,2,12,B,15,Low,10
4,6/13/2018,2,12,B,16,High,11
4,6/13/2018,2,12,B,17,Medium,10
4,6/13/2018,2,12,B,18,High,10
4,6/14/2018,2,14,A,1,Low,5
4,6/14/2018,2,14,A,2,High,6
4,6/14/2018,2,14,A,3,Medium,7
4,6/14/2018,2,14,A,4,High,1
4,6/14/2018,2,14,A,5,Medium,NA
4,6/14/2018,2,14,A,6,Low,6
4,6/14/2018,2,14,A,7,Medium,2
4,6/14/2018,2,14,A,8,High,3
4,6/14/2018,2,14,A,9,Low,6
4,6/14/2018,2,13,B,10,Medium,11
