Trial,Date,Week,Day,Reef,Treatment,Density,deployment.day,num.tol.occ.,which.tol,Adult.BEG.Density,Juv.BEG.density,notes,,,,,
4,5/31/2018,1,1,1,Low,14,A,,,,,,,,,,
4,5/31/2018,1,1,2,High,14,A,,,,,,,,,,
4,5/31/2018,1,1,3,Medium,11,A,,,,,,,,,,
4,5/31/2018,1,1,4,High,15,A,,,,,,,,,,
4,5/31/2018,1,1,5,Medium,15,A,,,,,,,,,,
4,5/31/2018,1,1,6,Low,17,A,,,,,,,,,,
4,5/31/2018,1,1,7,Medium,14,A,,,,,,,,,,
4,5/31/2018,1,1,8,High,16,A,,,,,,,,,,
4,5/31/2018,1,1,9,Low,11,A,,,,,,,,,,
4,5/31/2018,1,1,10,Medium,10,B,,,,,,,,,,
4,5/31/2018,1,1,11,Low,11,B,,,,,,,,,,
4,5/31/2018,1,1,12,High,12,B,,,,,,,,,,
4,5/31/2018,1,1,13,Low,9,B,,,,,,,,,,
4,5/31/2018,1,1,14,Medium,15,B,,,,,,,,,,
4,5/31/2018,1,1,15,Low,10,B,,,,,,,,,,
4,5/31/2018,1,1,16,High,11,B,,,,,,,,,,
4,5/31/2018,1,1,17,Medium,8,B,,,,,,,,,,
4,5/31/2018,1,1,18,High,10,B,,,,,,,,,,
4,6/5/2018,1,5,1,Low,10,A,,,,,,,,,,
4,6/5/2018,1,5,2,High,11,A,,,,,,,,,,
4,6/5/2018,1,5,3,Medium,11,A,,,,,,,,,,
4,6/5/2018,1,5,4,High,8,A,,,,,,,,,,
4,6/5/2018,1,5,5,Medium,3,A,,,,,,,,,,
4,6/5/2018,1,5,6,Low,12,A,,,,,,,,,,
4,6/5/2018,1,5,7,Medium,11,A,,,,,,,,,,
4,6/5/2018,1,5,8,High,13,A,,,,,,,,,,
4,6/5/2018,1,5,9,Low,13,A,,,,,,,,,,
4,6/5/2018,1,4,10,Medium,16,B,,,,,,,,,,
4,6/5/2018,1,4,11,Low,14,B,,,,,,,,,,
4,6/5/2018,1,4,12,High,18,B,,,,,,,,,,
4,6/5/2018,1,4,13,Low,14,B,,,,,,,,,,
4,6/5/2018,1,4,14,Medium,16,B,,,,,,,,,,
4,6/5/2018,1,4,15,Low,12,B,,,,,,,,,,
4,6/5/2018,1,4,16,High,13,B,,,,,,,,,,
4,6/5/2018,1,4,17,Medium,10,B,,,,,,,,,,
4,6/5/2018,1,4,18,High,10,B,,,,,,,,,,
4,6/6/2018,1,6,1,Low,7,A,,,,,,,,,,
4,6/6/2018,1,6,2,High,7,A,,,,,,,,,,
4,6/6/2018,1,6,3,Medium,11,A,,,,,,,,,,
4,6/6/2018,1,6,4,High,4,A,,,,,,,,,,
4,6/6/2018,1,6,5,Medium,5,A,,,,,,,,,,
4,6/6/2018,1,6,6,Low,9,A,,,,,,,,,,
4,6/6/2018,1,6,7,Medium,6,A,,,,,,,,,,
4,6/6/2018,1,6,8,High,9,A,,,,,,,,,,
4,6/6/2018,1,6,9,Low,9,A,,,,,,,,,,
4,6/6/2018,1,5,10,Medium,10,B,,,,,,,,,,
4,6/6/2018,1,5,11,Low,11,B,,,,,,,,,,
4,6/6/2018,1,5,12,High,15,B,,,,,,,,,,
4,6/6/2018,1,5,13,Low,12,B,,,,,,,,,,
4,6/6/2018,1,5,14,Medium,11,B,,,,,,,,,,
4,6/6/2018,1,5,15,Low,11,B,,,,,,,,,,
4,6/6/2018,1,5,16,High,11,B,,,,,,,,,,
4,6/6/2018,1,5,17,Medium,11,B,,,,,,,,,,
4,6/6/2018,1,5,18,High,9,B,,,,,,,,,,
4,6/7/2018,1,7,1,Low,8,A,,,,,,,,,,
4,6/7/2018,1,7,2,High,8,A,,,,,,,,,,
4,6/7/2018,1,7,3,Medium,8,A,,,,,,,,,,
4,6/7/2018,1,7,4,High,4,A,,,,,,,,,,
4,6/7/2018,1,7,5,Medium,7,A,,,,,,,,,,
4,6/7/2018,1,7,6,Low,9,A,,,,,,,,,,
4,6/7/2018,1,7,7,Medium,9,A,,,,,,,,,,
4,6/7/2018,1,7,8,High,7,A,,,,,,,,,,
4,6/7/2018,1,7,9,Low,11,A,,,,,,,,,,
4,6/7/2018,1,6,10,Medium,10,B,,,,,,,,,,
4,6/7/2018,1,6,11,Low,15,B,,,,,,,,,,
4,6/7/2018,1,6,12,High,14,B,,,,,,,,,,
4,6/7/2018,1,6,13,Low,14,B,,,,,,,,,,
4,6/7/2018,1,6,14,Medium,18,B,,,,,,,,,,
