Trial,Date,Week,Day,Reef,Treatment,T6.comparison,Density,den.max,den.changed,deployment.day
1,6/26/2017,1,1,1,Low,Low,9,9,n,A
1,6/26/2017,1,1,2,Medium,Medium,9,9,n,A
1,6/26/2017,1,1,3,Low,Low,10,10,n,A
1,6/26/2017,1,1,4,High,High,9,9,n,A
1,6/26/2017,1,1,5,Medium,Medium,7,7,n,A
1,6/26/2017,1,1,6,High,High,13,13,n,A
1,6/27/2017,1,1,7,Medium,Medium,9,9,n,B
1,6/27/2017,1,1,8,Low,Low,12,12,n,B
1,6/27/2017,1,1,9,High,High,10,10,n,B
1,6/27/2017,1,1,10,Low,Low,11,11,n,B
1,6/27/2017,1,1,11,Medium,Medium,11,11,n,B
1,6/27/2017,1,1,12,High,High,13,13,n,B
1,6/29/2017,1,1,13,Low,Low,16,16,n,C
1,6/29/2017,1,1,14,Medium,Medium,10,10,n,C
1,6/29/2017,1,1,15,High,High,13,13,n,C
1,6/29/2017,1,1,16,Low,Low,13,13,n,C
1,6/29/2017,1,1,17,Medium,Medium,12,12,n,C
1,6/29/2017,1,1,18,High,High,11,11,n,C
2,7/28/2017,1,1,1,Medium,Medium,16,16,n,A
2,7/29/2017,1,2,1,Medium,Medium,12,12,n,A
2,7/30/2017,1,3,1,Medium,Medium,11,11,n,A
2,8/1/2017,1,5,1,Medium,Medium,3,3,n,A
2,7/28/2017,1,1,2,Low,Low,17,17,n,A
2,7/29/2017,1,2,2,Low,Low,12,12,n,A
2,7/30/2017,1,3,2,Low,Low,11,11,n,A
2,8/1/2017,1,5,2,Low,Low,3,3,n,A
2,7/28/2017,1,1,3,High,High,14,14,n,A
2,7/29/2017,1,2,3,High,High,6,6,n,A
2,7/30/2017,1,3,3,High,High,3,3,n,A
2,8/1/2017,1,5,3,High,High,3,3,n,A
2,7/28/2017,1,1,4,Medium,Medium,18,18,n,A
2,7/29/2017,1,2,4,Medium,Medium,14,14,n,A
2,7/30/2017,1,3,4,Medium,Medium,12,12,n,A
2,8/1/2017,1,5,4,Medium,Medium,5,5,n,A
2,7/28/2017,1,1,5,High,High,16,16,n,A
2,7/29/2017,1,2,5,High,High,15,15,n,A
2,7/30/2017,1,3,5,High,High,8,8,n,A
2,8/1/2017,1,5,5,High,High,4,4,n,A
2,7/28/2017,1,1,6,Low,Low,18,18,n,A
2,7/29/2017,1,2,6,Low,Low,10,10,n,A
2,7/30/2017,1,3,6,Low,Low,7,7,n,A
2,8/1/2017,1,5,6,Low,Low,4,4,n,A
2,7/30/2017,1,1,7,Medium,Medium,14,14,n,B
2,8/1/2017,1,3,7,Medium,Medium,11,11,n,B
2,8/2/2017,1,4,7,Medium,Medium,10,10,n,B
2,8/3/2017,1,5,7,Medium,Medium,2,2,n,B
2,7/30/2017,1,1,8,Low,Low,14,14,n,B
2,8/1/2017,1,3,8,Low,Low,11,11,n,B
2,8/2/2017,1,4,8,Low,Low,9,9,n,B
2,8/3/2017,1,5,8,Low,Low,6,6,n,B
2,7/30/2017,1,1,9,High,High,13,13,n,B
2,8/1/2017,1,3,9,High,High,6,9,y,B
2,8/2/2017,1,4,9,High,High,9,9,n,B
2,8/3/2017,1,5,9,High,High,5,5,n,B
2,7/30/2017,1,1,10,Low,Low,15,15,n,B
2,8/1/2017,1,3,10,Low,Low,8,11,y,B
2,8/2/2017,1,4,10,Low,Low,11,11,n,B
2,8/3/2017,1,5,10,Low,Low,7,7,n,B
2,7/30/2017,1,1,11,High,High,15,15,n,B
2,8/1/2017,1,3,11,High,High,1,6,y,B
