Trial,Date,Week,Day,Reef,Treatment,Density,den.max,den.changed,deployment.day
1,6/26/2017,1,1,1,Low,9,9,n,A
1,6/26/2017,1,1,2,Medium,9,9,n,A
1,6/26/2017,1,1,3,Low,10,10,n,A
1,6/26/2017,1,1,4,High,9,9,n,A
1,6/26/2017,1,1,5,Medium,7,7,n,A
1,6/26/2017,1,1,6,High,13,13,n,A
1,6/27/2017,1,1,7,Medium,9,9,n,B
1,6/27/2017,1,1,8,Low,12,12,n,B
1,6/27/2017,1,1,9,High,10,10,n,B
1,6/27/2017,1,1,10,Low,11,11,n,B
1,6/27/2017,1,1,11,Medium,11,11,n,B
1,6/27/2017,1,1,12,High,13,13,n,B
1,6/29/2017,1,1,13,Low,16,16,n,C
1,6/29/2017,1,1,14,Medium,10,10,n,C
1,6/29/2017,1,1,15,High,13,13,n,C
1,6/29/2017,1,1,16,Low,13,13,n,C
1,6/29/2017,1,1,17,Medium,12,12,n,C
1,6/29/2017,1,1,18,High,11,11,n,C
2,7/28/2017,1,1,1,Medium,16,16,n,A
2,7/29/2017,1,2,1,Medium,12,12,n,A
2,7/30/2017,1,3,1,Medium,11,11,n,A
2,8/1/2017,1,5,1,Medium,3,3,n,A
2,7/28/2017,1,1,2,Low,17,17,n,A
2,7/29/2017,1,2,2,Low,12,12,n,A
2,7/30/2017,1,3,2,Low,11,11,n,A
2,8/1/2017,1,5,2,Low,3,3,n,A
2,7/28/2017,1,1,3,High,14,14,n,A
2,7/29/2017,1,2,3,High,6,6,n,A
2,7/30/2017,1,3,3,High,3,3,n,A
2,8/1/2017,1,5,3,High,3,3,n,A
2,7/28/2017,1,1,4,Medium,18,18,n,A
2,7/29/2017,1,2,4,Medium,14,14,n,A
2,7/30/2017,1,3,4,Medium,12,12,n,A
2,8/1/2017,1,5,4,Medium,5,5,n,A
2,7/28/2017,1,1,5,High,16,16,n,A
2,7/29/2017,1,2,5,High,15,15,n,A
2,7/30/2017,1,3,5,High,8,8,n,A
2,8/1/2017,1,5,5,High,4,4,n,A
2,7/28/2017,1,1,6,Low,18,18,n,A
2,7/29/2017,1,2,6,Low,10,10,n,A
2,7/30/2017,1,3,6,Low,7,7,n,A
2,8/1/2017,1,5,6,Low,4,4,n,A
2,7/30/2017,1,1,7,Medium,14,14,n,B
2,8/1/2017,1,3,7,Medium,11,11,n,B
2,8/2/2017,1,4,7,Medium,10,10,n,B
2,8/3/2017,1,5,7,Medium,2,2,n,B
2,7/30/2017,1,1,8,Low,14,14,n,B
2,8/1/2017,1,3,8,Low,11,11,n,B
2,8/2/2017,1,4,8,Low,9,9,n,B
2,8/3/2017,1,5,8,Low,6,6,n,B
2,7/30/2017,1,1,9,High,13,13,n,B
2,8/1/2017,1,3,9,High,6,9,y,B
2,8/2/2017,1,4,9,High,9,9,n,B
2,8/3/2017,1,5,9,High,5,5,n,B
2,7/30/2017,1,1,10,Low,15,15,n,B
2,8/1/2017,1,3,10,Low,8,11,y,B
2,8/2/2017,1,4,10,Low,11,11,n,B
2,8/3/2017,1,5,10,Low,7,7,n,B
2,7/30/2017,1,1,11,High,15,15,n,B
2,8/1/2017,1,3,11,High,1,6,y,B
2,8/2/2017,1,4,11,High,6,6,n,B
2,8/3/2017,1,5,11,High,4,4,n,B
2,7/30/2017,1,1,12,Medium,14,14,n,B
2,8/1/2017,1,3,12,Medium,11,12,y,B
2,8/2/2017,1,4,12,Medium,12,12,n,B
2,8/3/2017,1,5,12,Medium,10,10,n,B
2,7/31/2017,1,1,13,Low,13,13,n,C
2,8/1/2017,1,2,13,Low,7,7,n,C
2,8/3/2017,1,4,13,Low,5,5,n,C
2,7/31/2017,1,1,14,Medium,16,16,n,C
2,8/1/2017,1,2,14,Medium,9,9,n,C
2,8/3/2017,1,4,14,Medium,2,2,n,C
2,7/31/2017,1,1,15,High,13,13,n,C
2,8/1/2017,1,2,15,High,8,8,n,C
2,8/3/2017,1,4,15,High,5,5,n,C
2,7/31/2017,1,1,16,Low,15,15,n,C
2,8/1/2017,1,2,16,Low,9,9,n,C
2,8/3/2017,1,4,16,Low,5,5,n,C
2,7/31/2017,1,1,17,High,11,11,n,C
2,8/1/2017,1,2,17,High,5,5,n,C
2,8/3/2017,1,4,17,High,1,1,n,C
2,7/31/2017,1,1,18,Medium,4,4,n,C
2,8/1/2017,1,2,18,Medium,3,3,n,C
2,8/3/2017,1,4,18,Medium,2,2,n,C
3,8/17/2017,1,1,1,Low,9,11,y,A
3,8/18/2017,1,2,1,Low,10,11,y,A
3,8/19/2017,1,3,1,Low,11,11,n,A
