week,reef,deployment.day,treatment,egg.count,initial.biomass,final.biomass,change.in.biomass,average.biomass,eggs.initial.biomass,eggs.avg.biomass,nest.count,eggs.per.nest,log.egg,avg.density.week,prop.population.remainiing,average.density.samp.days,avg.egg.density.week,avg.egg.samp.days,eggs.prop.population.remaining,new.clutches,egg.clutch,avg.egg.clutch.den
1,1,A,Low,6254,7.95,0.24,-7.71,4.09,787.0304144,1527.913801,2,3127,8.741136423,9.75,0.4875,9,641.4358974,694.8888889,3048.825,2,3127,320.7179487
1,2,A,High,9561,7.86,1.44,-6.42,4.65,1216.568234,2056.351917,4,2390.25,9.165552189,10,0.5,9.5,956.1,1006.421053,4780.5,4,2390.25,239.025
1,3,A,Medium,4847,7.85,1.25,-6.6,4.55,617.4699208,1065.301055,3,1615.666667,8.486321528,10.25,0.5125,9.5,472.8780488,510.2105263,2484.0875,3,1615.666667,157.6260163
1,4,A,High,5637,8.48,0.64,-7.84,4.56,664.7175944,1236.144489,5,1127.4,8.637284672,7.75,0.3875,6,727.3548387,939.5,2184.3375,5,1127.4,145.4709677
1,5,A,Medium,0,7.7,1.18,-6.52,4.44,0,0,0,0,0,7.5,0.375,5,0,0,0,0,0,0
1,6,A,Low,4709,7.71,1.49,-6.22,4.6,610.6844778,1023.582209,4,1177.25,8.457443187,11.75,0.5875,10.5,400.7659574,448.4761905,2766.5375,4,1177.25,100.1914894
1,7,A,Medium,106,8.03,1.59,-6.44,4.81,13.20432026,22.04274796,1,106,4.672828834,10,0.5,10,10.6,10.6,53,1,106,10.6
1,8,A,High,5669,8.05,1.59,-6.46,4.82,704.2377116,1176.160756,4,1417.25,8.642944397,11.25,0.5625,10,503.9111111,566.9,3188.8125,4,1417.25,125.9777778
1,9,A,Low,9849,8.05,0.99,-7.06,4.52,1222.871014,2178.019195,4,2462.25,9.195226734,11,0.55,12,895.3636364,820.75,5416.95,4,2462.25,223.8409091
1,10,B,Medium,2129,7.8,1.97,-5.83,4.88,273.0559376,435.9606199,2,1064.5,7.663877259,11.5,0.575,13,185.1304348,163.7692308,1224.175,2,1064.5,92.5652174
1,11,B,Low,5904,7.63,9.71,2.08,8.67,773.4916071,680.854182,3,1968,8.683554729,12.75,0.6375,14.5,463.0588235,407.1724138,3763.8,3,1968,154.3529412
1,12,B,High,4861,7.8,6.82,-0.98,7.31,623.0845479,664.9108303,3,1620.333333,8.489205155,14.75,0.7375,16,329.559322,303.8125,3584.9875,3,1620.333333,109.8531073
1,13,B,Low,5081,7.65,6.53,-1.12,7.09,664.0808352,716.5836809,2,2540.5,8.533460164,12.25,0.6125,14,414.7755102,362.9285714,3112.1125,2,2540.5,207.3877551
1,14,B,Medium,6451,7.71,9.46,1.75,8.59,836.5246872,751.3539508,2,3225.5,8.772145439,15,0.75,17,430.0666667,379.4705882,4838.25,2,3225.5,215.0333334
1,15,B,Low,3129,7.99,5.74,-2.25,6.87,391.3807395,455.631862,2,1564.5,8.048788284,12.25,0.6125,14,255.4285714,223.5,1916.5125,2,1564.5,127.7142857
1,16,B,High,5061,7.99,4.59,-3.4,6.29,633.4741188,804.6567591,2,2530.5,8.529516941,11.75,0.5875,12.5,430.7234043,404.88,2973.3375,2,2530.5,215.3617022
1,17,B,Medium,5879,7.89,9.07,1.18,8.48,745.1324538,693.2835169,3,1959.666667,8.679312041,10.5,0.525,11.5,559.9047619,511.2173913,3086.475,3,1959.666667,186.6349206
1,18,B,High,3902,7.73,2.62,-5.11,5.17,505.0225294,754.2728937,3,1300.666667,8.269500767,11.25,0.5625,13,346.8444444,300.1538462,2194.875,3,1300.666667,115.6148148
2,1,A,Low,1189,7.95,0.24,-7.71,4.09,149.6289035,290.4844115,2,594.5,7.081708586,2.25,0.1125,2.5,528.4444444,475.6,133.7625,2,594.5,264.2222222
2,2,A,High,3968,7.86,1.44,-6.42,4.65,504.8993569,853.4258349,5,793.6,8.286269453,4,0.2,3.5,992,1133.714286,793.6,5,793.6,198.4
2,3,A,Medium,1914,7.85,1.25,-6.6,4.55,243.8286421,420.6697379,2,957,7.557472902,5.75,0.2875,6.5,332.8695652,294.4615385,550.275,2,957,166.4347826
2,4,A,High,2198,8.48,0.64,-7.84,4.56,259.189156,482.0020556,2,1099,7.695757991,1.5,0.075,2,1465.333333,1099,164.85,2,1099,732.6666665
2,5,A,Medium,0,7.7,1.18,-6.52,4.44,0,0,0,0,0,1.67,0.0835,3,0,0,0,0,0,0
2,6,A,Low,4560,7.71,1.49,-6.22,4.6,591.361482,991.1944937,3,1520,8.425297177,4.25,0.2125,5.5,1072.941176,829.0909091,969,3,1520,357.6470587
2,7,A,Medium,489,8.03,1.59,-6.44,4.81,60.91426987,101.6877713,1,489,6.194405391,1.75,0.0875,2.5,279.4285714,195.6,42.7875,1,489,279.4285714
2,8,A,High,4417,8.05,1.59,-6.46,4.82,548.7066453,916.4053731,5,883.4,8.393442384,3.75,0.1875,4,1177.866667,1104.25,828.1875,5,883.4,235.5733334
2,9,A,Low,1726,8.05,0.99,-7.06,4.52,214.3035201,381.6896264,2,863,7.454141078,5,0.25,5.5,345.2,313.8181818,431.5,2,863,172.6
2,10,B,Medium,4924,7.8,1.97,-5.83,4.88,631.5300314,1008.299715,3,1641.333333,8.502079554,11,0.55,11,447.6363636,447.6363636,2708.2,3,1641.333333,149.2121212
2,11,B,Low,5585,7.63,9.71,2.08,8.67,731.6989542,644.0668372,4,1396.25,8.628018747,14.5,0.725,16,385.1724138,349.0625,4049.125,4,1396.25,96.29310345
2,12,B,High,8118,7.8,6.82,-0.98,7.31,1040.567858,1110.418869,4,2029.5,9.001962273,12,0.6,11,676.5,738,4870.8,4,2029.5,169.125
2,13,B,Low,11298,7.65,6.53,-1.12,7.09,1476.635559,1593.379734,6,1883,9.332469505,13.75,0.6875,14,821.6727273,807,7767.375,6,1883,136.9454546
2,14,B,Medium,11346,7.71,9.46,1.75,8.59,1471.277182,1321.479139,7,1620.857143,9.336708671,16.25,0.8125,15.5,698.2153846,732,9218.625,7,1620.857143,99.74505494
2,15,B,Low,6769,7.99,5.74,-2.25,6.87,846.6782441,985.6734018,6,1128.166667,8.820256366,11,0.55,12,615.3636364,564.0833333,3722.95,6,1128.166667,102.5606061
2,16,B,High,3576,7.99,4.59,-3.4,6.29,447.5999701,568.5541535,2,1788,8.182279739,11.75,0.5875,10,304.3404255,357.6,2100.9,2,1788,152.1702128
2,17,B,Medium,5299,7.89,9.07,1.18,8.48,671.620492,624.886776,3,1766.333333,8.5754621,11.75,0.5875,10,450.9787234,529.9,3113.1625,3,1766.333333,150.3262411
2,18,B,High,5776,7.73,2.62,-5.11,5.17,747.5679471,1116.524919,3,1925.333333,8.661639796,12.5,0.625,11,462.08,525.0909091,3610,3,1925.333333,154.0266667
3,1,A,Low,909,7.95,0.24,-7.71,4.09,114.3924923,222.0776535,1,909,6.8134446,1,0.05,0,909,NA,45.45,1,909,909
3,2,A,High,1126,7.86,1.44,-6.42,4.65,143.2753719,242.1767868,1,1126,7.027314514,4.75,0.2375,3,237.0526316,375.3333333,267.425,1,1126,237.0526316
3,3,A,Medium,0,7.85,1.25,-6.6,4.55,0,0,0,0,0,3,0.15,3,0,0,0,0,0,0
3,4,A,High,69,8.48,0.64,-7.84,4.56,8.136511268,15.13109274,1,69,4.248495242,0.5,0.025,1,138,69,1.725,1,69,138
3,5,A,Medium,0,7.7,1.18,-6.52,4.44,0,0,0,0,0,2,0.1,3,0,0,0,0,0,0
3,6,A,Low,3293,7.71,1.49,-6.22,4.6,427.0511755,715.7902342,2,1646.5,8.099857911,4.5,0.225,5,731.7777778,658.6,740.925,2,1646.5,365.8888889
3,7,A,Medium,0,8.03,1.59,-6.44,4.81,0,0,0,0,0,2,0.1,2,0,0,0,0,0,0
3,8,A,High,1268,8.05,1.59,-6.46,4.82,157.5186838,263.0749407,1,1268,7.145984468,4,0.2,4,317,317,253.6,1,1268,317
3,9,A,Low,0,8.05,0.99,-7.06,4.52,0,0,0,0,0,3.75,0.1875,3,0,0,0,0,0,0
3,10,B,Medium,3711,7.8,1.97,-5.83,4.88,475.9561223,759.9106907,2,1855.5,8.219326094,8.25,0.4125,9,449.8181818,412.3333333,1530.7875,2,1855.5,224.9090909
3,11,B,Low,4376,7.63,9.71,2.08,8.67,573.3061099,504.6439534,2,2188,8.384118837,12.75,0.6375,14,343.2156863,312.5714286,2789.7,2,2188,171.6078432
3,12,B,High,4011,7.8,6.82,-0.98,7.31,514.1312738,548.6437647,2,2005.5,8.297045149,12.25,0.6125,14,327.4285714,286.5,2456.7375,2,2005.5,163.7142857
