Date,Trial,Position,Reef,Treatment,Density,Day,Hours_after_deploy,Porportion_seen_day_6,Proportion_pop
6/26/2017,1,1,1,Low,9,1,24,NA,0.45
6/26/2017,1,1,2,Medium,9,1,24,NA,0.45
6/26/2017,1,1,3,Low,10,1,24,NA,0.5
6/26/2017,1,1,4,High,9,1,24,NA,0.45
6/26/2017,1,1,5,Medium,7,1,24,NA,0.35
6/26/2017,1,1,6,High,13,1,24,NA,0.65
6/27/2017,1,2,7,Medium,9,1,24,NA,0.45
6/27/2017,1,2,8,Low,12,1,24,NA,0.6
6/27/2017,1,2,9,High,10,1,24,NA,0.5
6/27/2017,1,2,10,Low,11,1,24,NA,0.55
6/27/2017,1,2,11,Medium,11,1,24,NA,0.55
6/27/2017,1,2,12,High,13,1,24,NA,0.65
6/29/2017,1,3,13,Low,16,1,24,NA,0.8
6/29/2017,1,3,14,Medium,10,1,24,NA,0.5
6/29/2017,1,3,15,High,13,1,24,NA,0.65
6/29/2017,1,3,16,Low,13,1,24,NA,0.65
6/29/2017,1,3,17,Medium,12,1,24,NA,0.6
6/29/2017,1,3,18,High,11,1,24,NA,0.55
7/28/2017,2,1,1,Medium,16,1,24,NA,0.8
7/29/2017,2,1,1,Medium,12,2,48,NA,0.6
7/30/2017,2,1,1,Medium,11,3,72,NA,0.55
8/1/2017,2,1,1,Medium,3,5,120,NA,0.15
7/28/2017,2,1,2,Low,17,1,24,NA,0.85
7/29/2017,2,1,2,Low,12,2,48,NA,0.6
7/30/2017,2,1,2,Low,11,3,72,NA,0.55
8/1/2017,2,1,2,Low,3,5,120,NA,0.15
7/28/2017,2,1,3,High,14,1,24,NA,0.7
7/29/2017,2,1,3,High,6,2,48,NA,0.3
7/30/2017,2,1,3,High,3,3,72,NA,0.15
8/1/2017,2,1,3,High,3,5,120,NA,0.15
7/28/2017,2,1,4,Medium,18,1,24,NA,0.9
7/29/2017,2,1,4,Medium,14,2,48,NA,0.7
7/30/2017,2,1,4,Medium,12,3,72,NA,0.6
8/1/2017,2,1,4,Medium,5,5,120,NA,0.25
7/28/2017,2,1,5,High,16,1,24,NA,0.8
7/29/2017,2,1,5,High,15,2,48,NA,0.75
7/30/2017,2,1,5,High,8,3,72,NA,0.4
8/1/2017,2,1,5,High,4,5,120,NA,0.2
7/28/2017,2,1,6,Low,18,1,24,NA,0.9
7/29/2017,2,1,6,Low,10,2,48,NA,0.5
7/30/2017,2,1,6,Low,7,3,72,NA,0.35
8/1/2017,2,1,6,Low,4,5,120,NA,0.2
7/30/2017,2,2,7,Medium,14,1,24,NA,0.7
8/1/2017,2,2,7,Medium,11,3,72,NA,0.55
8/2/2017,2,2,7,Medium,10,4,96,NA,0.5
8/3/2017,2,2,7,Medium,2,5,120,NA,0.1
7/30/2017,2,2,8,Low,14,1,24,NA,0.7
8/1/2017,2,2,8,Low,11,3,72,NA,0.55
8/2/2017,2,2,8,Low,9,4,96,NA,0.45
8/3/2017,2,2,8,Low,6,5,120,NA,0.3
7/30/2017,2,2,9,High,13,1,24,NA,0.65
8/1/2017,2,2,9,High,6,3,72,NA,0.3
8/2/2017,2,2,9,High,9,4,96,NA,0.45
8/3/2017,2,2,9,High,5,5,120,NA,0.25
7/30/2017,2,2,10,Low,15,1,24,NA,0.75
8/1/2017,2,2,10,Low,8,3,72,NA,0.4
8/2/2017,2,2,10,Low,11,4,96,NA,0.55
8/3/2017,2,2,10,Low,7,5,120,NA,0.35
7/30/2017,2,2,11,High,15,1,24,NA,0.75
8/1/2017,2,2,11,High,1,3,72,NA,0.05
8/2/2017,2,2,11,High,6,4,96,NA,0.3
8/3/2017,2,2,11,High,4,5,120,NA,0.2
7/30/2017,2,2,12,Medium,14,1,24,NA,0.7
8/1/2017,2,2,12,Medium,11,3,72,NA,0.55
8/2/2017,2,2,12,Medium,12,4,96,NA,0.6
8/3/2017,2,2,12,Medium,10,5,120,NA,0.5
7/31/2017,2,3,13,Low,13,1,24,NA,0.65
8/1/2017,2,3,13,Low,7,2,48,NA,0.35
8/3/2017,2,3,13,Low,5,4,96,NA,0.25
7/31/2017,2,3,14,Medium,16,1,24,NA,0.8
8/1/2017,2,3,14,Medium,9,2,48,NA,0.45
8/3/2017,2,3,14,Medium,2,4,96,NA,0.1
7/31/2017,2,3,15,High,13,1,24,NA,0.65
8/1/2017,2,3,15,High,8,2,48,NA,0.4
8/3/2017,2,3,15,High,5,4,96,NA,0.25
7/31/2017,2,3,16,Low,15,1,24,NA,0.75
8/1/2017,2,3,16,Low,9,2,48,NA,0.45
8/3/2017,2,3,16,Low,5,4,96,NA,0.25
7/31/2017,2,3,17,High,11,1,24,NA,0.55
8/1/2017,2,3,17,High,5,2,48,NA,0.25
8/3/2017,2,3,17,High,1,4,96,NA,0.05
7/31/2017,2,3,18,Medium,4,1,24,NA,0.2
8/1/2017,2,3,18,Medium,3,2,48,NA,0.15
8/3/2017,2,3,18,Medium,2,4,96,NA,0.1
8/17/2017,3,1,1,Low,9,1,24,NA,0.45
8/18/2017,3,1,1,Low,10,2,48,NA,0.5
8/19/2017,3,1,1,Low,11,3,72,NA,0.55
8/21/2017,3,1,1,Low,6,5,120,NA,0.3
8/22/2017,3,1,1,Low,5,6,144,0.25,0.25
8/17/2017,3,1,2,High,12,1,24,NA,0.6
8/18/2017,3,1,2,High,9,2,48,NA,0.45
8/19/2017,3,1,2,High,3,3,72,NA,0.15
8/21/2017,3,1,2,High,6,5,120,NA,0.3
8/22/2017,3,1,2,High,6,6,144,0.3,0.3
8/17/2017,3,1,3,Medium,11,1,24,NA,0.55
8/18/2017,3,1,3,Medium,16,2,48,NA,0.8
8/19/2017,3,1,3,Medium,15,3,72,NA,0.75
8/21/2017,3,1,3,Medium,8,5,120,NA,0.4
8/22/2017,3,1,3,Medium,6,6,144,0.3,0.3
8/17/2017,3,1,4,High,12,1,24,NA,0.6
8/18/2017,3,1,4,High,13,2,48,NA,0.65
8/19/2017,3,1,4,High,10,3,72,NA,0.5
8/21/2017,3,1,4,High,8,5,120,NA,0.4
8/22/2017,3,1,4,High,4,6,144,0.2,0.2
8/17/2017,3,1,5,Medium,13,1,24,NA,0.65
8/18/2017,3,1,5,Medium,11,2,48,NA,0.55
8/19/2017,3,1,5,Medium,12,3,72,NA,0.6
8/21/2017,3,1,5,Medium,9,5,120,NA,0.45
8/22/2017,3,1,5,Medium,9,6,144,0.45,0.45
8/17/2017,3,1,6,Low,12,1,24,NA,0.6
8/18/2017,3,1,6,Low,14,2,48,NA,0.7
8/19/2017,3,1,6,Low,9,3,72,NA,0.45
8/21/2017,3,1,6,Low,8,5,120,NA,0.4
8/22/2017,3,1,6,Low,6,6,144,0.3,0.3
8/16/2017,3,2,7,Medium,14,1,24,NA,0.7
8/17/2017,3,2,7,Medium,15,2,48,NA,0.75
8/18/2017,3,2,7,Medium,16,3,72,NA,0.8
8/19/2017,3,2,7,Medium,9,4,96,NA,0.45
8/21/2017,3,2,7,Medium,12,6,144,0.6,0.6
8/16/2017,3,2,8,High,14,1,24,NA,0.7
8/17/2017,3,2,8,High,7,2,48,NA,0.35
8/18/2017,3,2,8,High,8,3,72,NA,0.4
8/19/2017,3,2,8,High,6,4,96,NA,0.3
8/21/2017,3,2,8,High,4,6,144,0.2,0.2
8/16/2017,3,2,9,Low,15,1,24,NA,0.75
8/17/2017,3,2,9,Low,11,2,48,NA,0.55
8/18/2017,3,2,9,Low,10,3,72,NA,0.5
8/19/2017,3,2,9,Low,10,4,96,NA,0.5
8/21/2017,3,2,9,Low,8,6,144,0.4,0.4
8/16/2017,3,2,10,High,16,1,24,NA,0.8
8/17/2017,3,2,10,High,4,2,48,NA,0.2
8/18/2017,3,2,10,High,8,3,72,NA,0.4
8/19/2017,3,2,10,High,7,4,96,NA,0.35
8/21/2017,3,2,10,High,4,6,144,0.2,0.2
8/16/2017,3,2,11,Low,13,1,24,NA,0.65
8/17/2017,3,2,11,Low,11,2,48,NA,0.55
8/18/2017,3,2,11,Low,12,3,72,NA,0.6
8/19/2017,3,2,11,Low,10,4,96,NA,0.5
8/21/2017,3,2,11,Low,3,6,144,0.15,0.15
8/16/2017,3,2,12,Medium,12,1,24,NA,0.6
8/17/2017,3,2,12,Medium,12,2,48,NA,0.6
8/18/2017,3,2,12,Medium,11,3,72,NA,0.55
8/19/2017,3,2,12,Medium,7,4,96,NA,0.35
8/21/2017,3,2,12,Medium,2,6,144,0.1,0.1
8/16/2017,3,3,13,Low,12,1,24,NA,0.6
8/17/2017,3,3,13,Low,12,2,48,NA,0.6
8/18/2017,3,3,13,Low,10,3,72,NA,0.5
8/19/2017,3,3,13,Low,9,4,96,NA,0.45
8/21/2017,3,3,13,Low,6,6,144,0.3,0.3
8/16/2017,3,3,14,High,13,1,24,NA,0.65
8/17/2017,3,3,14,High,9,2,48,NA,0.45
8/18/2017,3,3,14,High,10,3,72,NA,0.5
8/19/2017,3,3,14,High,6,4,96,NA,0.3
8/21/2017,3,3,14,High,8,6,144,0.4,0.4
8/16/2017,3,3,15,Low,14,1,24,NA,0.7
8/17/2017,3,3,15,Low,14,2,48,NA,0.7
8/18/2017,3,3,15,Low,14,3,72,NA,0.7
8/19/2017,3,3,15,Low,9,4,96,NA,0.45
8/21/2017,3,3,15,Low,6,6,144,0.3,0.3
8/16/2017,3,3,16,Medium,14,1,24,NA,0.7
8/17/2017,3,3,16,Medium,14,2,48,NA,0.7
8/18/2017,3,3,16,Medium,15,3,72,NA,0.75
8/19/2017,3,3,16,Medium,5,4,96,NA,0.25
8/21/2017,3,3,16,Medium,4,6,144,0.2,0.2
8/16/2017,3,3,17,High,13,1,24,NA,0.65
8/17/2017,3,3,17,High,12,2,48,NA,0.6
8/18/2017,3,3,17,High,4,3,72,NA,0.2
8/19/2017,3,3,17,High,3,4,96,NA,0.15
8/21/2017,3,3,17,High,2,6,144,0.1,0.1
8/16/2017,3,3,18,Medium,14,1,24,NA,0.7
8/17/2017,3,3,18,Medium,17,2,48,NA,0.85
8/18/2017,3,3,18,Medium,11,3,72,NA,0.55
8/19/2017,3,3,18,Medium,10,4,96,NA,0.5
8/21/2017,3,3,18,Medium,3,6,144,0.15,0.15
