Trial,Position,Treatment,Reef,Count_all_fish_initial,Count_all_fish_final,Count_grav_fem_initial,Count_gravid_fem_final,Proportion_gravid_recollected,Proportion_all_recollected
1,Front,Low,1,20,4,6,0,0,0.2
1,Front,Medium,2,20,4,6,1,0.166666667,0.2
1,Front,Low,3,20,8,6,2,0.333333333,0.4
1,Front,High,4,20,8,6,1,0.166666667,0.4
1,Front,Medium,5,20,7,6,0,0,0.35
1,Front,High,6,20,5,6,0,0,0.25
1,Middle,Medium,7,20,6,6,2,0.333333333,0.3
1,Middle,Low,8,20,5,6,0,0,0.25
1,Middle,High,9,20,4,6,0,0,0.2
1,Middle,Low,10,20,2,6,0,0,0.1
1,Middle,Medium,11,20,0,6,0,0,0
1,Middle,High,12,20,3,6,0,0,0.15
1,Back,Low,13,20,3,6,0,0,0.15
1,Back,Medium,14,20,3,6,0,0,0.15
1,Back,High,15,20,1,6,1,0.166666667,0.05
1,Back,Low,16,20,3,6,0,0,0.15
1,Back,Medium,17,20,3,6,1,0.166666667,0.15
1,Back,High,18,20,3,6,0,0,0.15
2,Front,Medium,1,20,2,6,0,0,0.1
2,Front,Low,2,20,2,6,1,0.166666667,0.1
2,Front,High,3,20,1,6,0,0,0.05
2,Front,Medium,4,20,3,6,0,0,0.15
2,Front,High,5,20,6,6,1,0.166666667,0.3
2,Front,Low,6,20,2,6,0,0,0.1
2,Middle,Medium,7,20,2,6,0,0,0.1
2,Middle,Low,8,20,7,6,1,0.166666667,0.35
2,Middle,High,9,20,6,6,4,0.666666667,0.3
2,Middle,Low,10,20,5,6,1,0.166666667,0.25
2,Middle,High,11,20,5,6,2,0.333333333,0.25
2,Middle,Medium,12,20,7,6,4,0.666666667,0.35
2,Back,Low,13,20,1,6,0,0,0.05
2,Back,Medium,14,20,0,6,0,0,0
2,Back,High,15,20,3,6,1,0.166666667,0.15
2,Back,Low,16,20,2,6,2,0.333333333,0.1
2,Back,High,17,20,6,6,1,0.166666667,0.3
2,Back,Medium,18,20,2,6,0,0,0.1
3,Front,Low,1,20,4,5,1,0.2,0.2
3,Front,High,2,20,8,5,2,0.4,0.4
3,Front,Medium,3,20,8,5,1,0.2,0.4
3,Front,High,4,20,4,5,2,0.4,0.2
3,Front,Medium,5,20,5,5,1,0.2,0.25
3,Front,Low,6,20,6,5,1,0.2,0.3
3,Middle,Medium,7,20,9,5,3,0.6,0.45
3,Middle,High,8,20,4,5,2,0.4,0.2
3,Middle,Low,9,20,5,5,1,0.2,0.25
3,Middle,High,10,20,3,5,0,0,0.15
3,Middle,Low,11,20,4,5,4,0.8,0.2
3,Middle,Medium,12,20,2,5,0,0,0.1
3,Back,Low,13,20,3,5,1,0.2,0.15
3,Back,High,14,20,5,5,0,0,0.25
3,Back,Low,15,20,5,5,1,0.2,0.25
3,Back,Medium,16,20,4,5,1,0.2,0.2
3,Back,High,17,20,4,5,1,0.2,0.2
3,Back,Medium,18,20,4,5,1,0.2,0.2
