Year,Trial,Trial_duration_days,Trial_duration_week,Reef,Treatment,Treatment_power,T6_comparison,Egg_count_total,Egg_count_per_day,recollection_female,recollection_Male,recollection_male_and_female,biomass_female_gWW,biomass_male_gWW,total_biomass_gWW,egg_count_per_female_density_per_day,egg_count_per_female_biomass_per_day,egg_count_per_total_biomass_per_day,per_capita_female_biomass,mg,reproduction_per_capita_female_biomass_per_day_per_gram,Density,den.max,avg_den_24h,avg_den_max_seen,egg.week
2017,1,14,2,1,Low,no risk,NA,7938,567,3,1,4,1.09,0.31,1.4,189,520.1834862,405,0.363333333,363.333333,1560.55046,9,9,6.5,6.5,3969
2017,1,14,2,3,Low,no risk,NA,11320,808.5714286,7,1,8,3,0.74,3.74,115.5102041,269.5238095,216.1955691,0.428571429,428.571429,1886.666665,10,10,9,9,5660
2017,1,14,2,8,Low,no risk,NA,3587,256.2142857,5,0,5,1.91,0,1.91,51.24285714,134.1436051,134.1436051,0.382,382,670.7180254,12,12,8.5,8.5,1793.5
2017,1,14,2,10,Low,no risk,NA,0,0,2,0,2,0.78,0,0.78,0,0,0,0.39,390,0,11,11,6.5,6.5,0
2017,1,14,2,13,Low,no risk,NA,2243,160.2142857,3,0,3,1.37,0,1.37,53.4047619,116.9447341,116.9447341,0.456666667,456.666667,350.834202,16,16,9.5,9.5,1121.5
2017,1,14,2,16,Low,no risk,NA,557,39.78571429,3,0,3,1.48,0,1.48,13.26190476,26.88223938,26.88223938,0.493333333,493.333333,80.64671821,13,13,8,8,278.5
2017,2,7,1,2,Low,no risk,NA,5173,739,2,0,2,0.78,0,0.78,369.5,947.4358974,947.4358974,0.39,390,1894.871795,17,17,9.5,9.5,5173
2017,2,7,1,6,Low,no risk,NA,426,60.85714286,1,1,2,0.25,0.31,0.56,60.85714286,243.4285714,108.6734694,0.25,250,243.4285714,18,18,10,10,426
2017,2,7,1,8,Low,no risk,NA,0,0,6,1,7,2.33,0.22,2.55,0,0,0,0.388333333,388.333333,0,14,14,10.5,10.5,0
2017,2,7,1,10,Low,no risk,NA,4592,656,4,1,5,1.27,0.25,1.52,164,516.5354331,431.5789474,0.3175,317.5,2066.141732,15,15,10,10,4592
2017,2,7,1,13,Low,no risk,NA,0,0,0,1,1,0,0.19,0.19,NA,NA,0,0,0,NA,13,13,7,7,0
2017,2,7,1,16,Low,no risk,NA,6278,896.8571429,2,0,2,0.78,0,0.78,448.4285714,1149.81685,1149.81685,0.39,390,2299.6337,15,15,8.5,8.5,6278
2017,3,7,1,1,Low,no risk,NA,1637,233.8571429,2,2,4,0.78,0.56,1.34,116.9285714,299.8168498,174.5202559,0.39,390,599.6336997,9,11,6.5,7.5,1637
2017,3,7,1,6,Low,no risk,NA,5601,800.1428571,6,4,10,1.85,1.23,3.08,133.3571429,432.5096525,259.7866419,0.308333333,308.333333,2595.057918,12,14,11,12,5601
2017,3,7,1,9,Low,no risk,NA,4248,606.8571429,6,1,7,1.99,0.43,2.42,101.1428571,304.9533381,250.7674144,0.331666667,331.666667,1829.720027,15,15,11,11,4248
