Species,Sample.ID,Amphipod,Clam,Snail,Spider,Polychaete,Isopod,Flatworm,Bryozoan,Crab,Brittle.star,Other,Total
DIUN,DIUN 1,16,10,6,0,0,71,0,4,0,0,0,107
DIUN,DIUN 2,12,16,4,0,0,36,0,60,0,0,0,128
DIUN,DIUN 3,152,12,28,0,0,28,0,0,0,0,0,220
DIUN,DIUN 4,32,116,3,0,0,7,0,1,0,0,0,159
DIUN,DIUN 5,0,144,0,0,2,68,0,16,2,0,0,232
DIUN,DIUN 6,8,64,8,0,1,116,0,9,0,0,0,206
DIUN,DIUN 7,132,60,20,0,1,24,0,20,0,0,0,257
DIUN,DIUN 8,92,260,36,0,0,144,0,24,0,0,0,556
DIUN,DIUN 9,176,16,24,0,1,72,0,0,0,0,0,289
DIUN,DIUN 10,12,228,116,1,0,0,0,252,0,0,0,609
DIUN,DIUN 11,28,4,4,0,0,20,0,0,0,0,0,56
DIUN,DIUN 12,88,36,88,0,0,12,0,20,0,0,0,244
DIUN,DIUN 13,8,88,24,0,0,0,0,360,0,0,0,480
SAHO,SAHO 1,4,0,0,0,0,0,0,16,0,0,0,20
SAHO,SAHO 2,32,40,16,1,0,0,0,0,0,0,0,89
SAHO,SAHO 3,28,181,16,0,1,10,0,6,0,0,0,242
SAHO,SAHO 4,88,108,12,0,0,8,0,12,2,0,0,230
SAHO,SAHO 5,0,8,4,0,0,0,0,12,0,0,0,24
SAHO,SAHO 6,28,4,4,0,0,0,0,8,0,0,0,44
SAHO,SAHO 7,0,4,12,0,0,0,0,0,0,0,0,16
SAHO,SAHO 8,40,360,276,0,0,0,0,12,0,0,0,688
SAHO,SAHO 9,0,4,4,0,0,0,0,16,0,0,0,24
SAHO,SAHO 10,8,8,36,0,0,0,0,60,0,0,0,112
SAHO,SAHO 11,0,12,32,0,0,0,0,0,0,0,0,44
SAHO,SAHO 12,4,24,4,0,0,4,0,8,0,0,0,44
SAHO,SAHO 13,4,23,5,0,0,6,0,8,1,0,0,47
SAPA,SAPA 1,268,60,52,0,2,104,0,28,1,0,0,515
SAPA,SAPA 2,16,84,108,0,1,8,0,36,0,0,0,253
SAPA,SAPA 3,1204,108,172,0,1,176,1,0,2,0,0,1664
SAPA,SAPA 4,88,48,108,0,0,8,0,4,1,0,1,258
SAPA,SAPA 5,64,164,112,0,1,20,0,20,2,0,0,383
SAPA,SAPA 6,72,36,44,1,0,8,0,8,1,0,0,170
SAPA,SAPA 7,188,40,52,0,0,48,0,12,1,0,0,341
SAPA,SAPA 8,52,36,60,0,0,12,0,24,0,0,0,184
SAPA,SAPA 9,49,64,56,0,0,24,0,16,0,0,0,209
SAPA,SAPA 10,44,88,44,0,0,28,0,8,1,0,0,213
SAPA,SAPA 11,76,40,36,0,0,40,0,3,1,0,0,196
SAPA,SAPA 12,12,164,28,0,0,296,0,28,2,0,0,530
SAPA,SAPA 13,68,8,52,0,0,4,0,44,0,0,0,176
ZOFA,ZOFA 1,4,164,24,0,0,0,0,20,1,0,0,213
ZOFA,ZOFA 2,100,136,24,0,1,0,0,0,0,0,0,261
ZOFA,ZOFA 3,6,104,56,0,4,64,0,31,2,0,0,267
ZOFA,ZOFA 4,8,408,144,0,0,0,0,20,0,0,0,580
ZOFA,ZOFA 5,20,120,28,3,1,0,0,28,0,0,0,200
ZOFA,ZOFA 6,8,4,8,0,0,4,0,4,0,0,0,28
ZOFA,ZOFA 7,364,120,32,1,2,0,0,40,0,2,0,561
ZOFA,ZOFA 8,4,124,56,0,0,0,0,116,0,0,0,300
ZOFA,ZOFA 9,24,4,8,0,0,24,0,16,0,0,0,76
ZOFA,ZOFA 10,0,136,44,0,0,0,0,24,0,0,0,204
ZOFA,ZOFA 11,60,68,8,1,0,0,0,28,1,0,0,166
ZOFA,ZOFA 12,8,364,16,0,0,204,0,12,3,0,0,607
ZOFA,ZOFA 13,63,71,9,0,0,130,0,5,0,0,0,278
