Trial,Date,Week,Day,Position,Reef,Treatment,TOL,num.Clutches.day,num.Clutches.original,Egg.count.clutch,Egg.count,Egg count.original,Img,Notes,MB/TG notes,MB/TG count,,,,
4,6/5/2018,1,5,,1,Low,1,2,NA,,5652,NA,IMG_6807,"pink yolk and red eyed up. went back and counted these, then going to subtract on D7 counts",automated,,,,,
4,6/7/2018,1,7,,1,Low,1,1,2,,602,6254,IMG_6930,"pink yolk and eyed up. Eggs from day 4 were still there on day 7. got 6198 when I ran it through imageJ. (6253 eggs in this photo, I counted 5652 in it previously) difference is",,,,,,
4,6/5/2018,1,5,,2,High,1,3,NA,,2818,NA,IMG_6812,"pink yolk,eyed up transparent,",automated,,,,,
4,6/7/2018,1,7,,2,High,1,1,2,,1731,4549,IMG_6938,pink yolk and eyed up. Eggs from day 4 were still there on day 7,,,,,,
4,6/5/2018,1,5,,2,High,5,2,NA,,5606,NA,IMG_6818,"pink yolk and red yolk. More eggs on d5 than d7, potential cannibalism of eggs, but no new eggs laid between two sampling days",,,,,,
4,6/7/2018,1,7,,2,High,5,0,2,,0,5012,IMG_6941,"pink yolk and red yolk. Eggs from day 4 were still there on day 7, but there were less eggs on day 7, so I think if we're trying to get maximum repro output, we should go with the D4 counts",,,,,,
4,6/5/2018,1,5,,3,Medium,1,2,NA,,3065,NA,IMG_6821,"pink yolk and red yolk. Eggs from day 4 were still there on day 7. counted this one, and the d7 nest by hand, then subtracted the d4 eggs (3065) from the d7 eggs (4837)",,,,,,
4,6/7/2018,1,7,,3,Medium,1,1,2,,1772,4837,IMG_6947,"pink yolk and red yolk. Eggs from day 4 were still there on day 7. there were a few eggs that were there on d4 that were not there on d7, but it was negligible",,,,,,
4,6/5/2018,1,5,,3,Medium,NA,NA,NA,,0,NA,NA,no eggs,,,,,,
4,6/7/2018,1,7,,3,Medium,3,1,1,,10,10,IMG_6953,"pink yolk. only a few eggs, counted by hand",,,,,,
4,6/5/2018,1,5,,4,High,1,2,NA,,5637,NA,IMG_6831,"pink yolk and red yolk, see notes for D7 photo for this reef.5637 eggs in this nest",,,,,,
4,6/7/2018,1,7,,4,High,1,1,3,,0,5399,IMG_6958,"no new eggs here, just the same ones from the previous day (only going to use the count from the previous day) counted 5399 in this photo. pink yolk, red yolk, and eyed up. I compared the D4 nest to the D7 nest, and it looks there are a few eggs that were there on Day 4 and not Day 7 -- particularly in the bottom right corner of the nest. If you look at the ""1"" on Day 4, you'll see that there is a cluster of eggs that are close to the number, but they're not there on Day 7...Might just count the D4 photo",,,,,,
4,6/5/2018,1,5,,5,Medium,NA,NA,NA,,0,0,NA,no eggs,,,,,,
4,6/7/2018,1,7,,5,Medium,NA,NA,NA,,0,0,NA,no eggs,,,,,,
4,6/5/2018,1,5,,6,Low,4,2,NA,,3724,NA,IMG_6837,"pink yolk, pink eyed up. Feel pretty confident in the automated count for d4, so I added the number of pink yolks that I counted on D7 to get a grand total of 4317 for output for week 1",automated,,,,,
