Trial,Date,Week,Day,Reef,Treatment,Egg.count
4,6/7/2018,1,7,1,Low,6254
4,6/7/2018,1,7,2,High,4549
4,6/7/2018,1,7,2,High,5012
4,6/7/2018,1,7,3,Medium,4837
4,6/7/2018,1,7,3,Medium,10
4,6/4/2018,1,5,4,High,5637
4,6/7/2018,1,7,4,High,0
4,6/4/2018,1,5,5,Medium,0
4,6/7/2018,1,7,6,Low,3908
4,6/7/2018,1,7,6,Low,801
4,6/4/2018,1,5,7,Medium,0
4,6/7/2018,1,7,7,Medium,106
4,6/7/2018,1,7,8,High,4857
4,6/7/2018,1,7,8,High,812
4,6/7/2018,1,7,9,Low,9849
4,6/5/2018,1,4,10,Medium,2129
4,6/7/2018,1,6,11,Low,5904
4,6/5/2018,1,4,12,High,4776
4,6/7/2018,1,6,12,High,85
4,6/7/2018,1,6,13,Low,5081
4,6/7/2018,1,6,14,Medium,6451
4,6/5/2018,1,4,15,Low,3129
4,6/7/2018,1,6,16,High,5061
4,6/7/2018,1,6,17,Medium,5879
4,6/7/2018,1,6,18,High,3902
4,6/11/2018,2,11,1,Low,1189
4,6/14/2018,2,14,1,Low,0
4,6/11/2018,2,11,2,High,39
4,6/11/2018,2,11,2,High,3113
4,6/14/2018,2,14,2,High,816
4,6/11/2018,2,11,3,Medium,1914
4,6/14/2018,2,14,3,Medium,0
4,6/11/2018,2,11,4,High,951
4,6/14/2018,2,14,4,High,1247
4,6/14/2018,2,14,5,Medium,0
4,6/11/2018,2,11,6,Low,3334
4,6/14/2018,2,14,6,Low,1226
4,6/11/2018,2,11,7,Medium,489
4,6/14/2018,2,14,7,Medium,0
4,6/11/2018,2,11,8,High,1592
4,6/11/2018,2,11,8,High,1054
4,6/14/2018,2,14,8,High,1771
4,6/11/2018,2,11,9,Low,0
4,6/14/2018,2,14,9,Low,727
4,6/14/2018,2,14,9,Low,999
4,6/11/2018,2,10,10,Medium,4765
4,6/14/2018,2,13,10,Medium,159
4,6/11/2018,2,10,11,Low,3113
4,6/14/2018,2,13,11,Low,2472
4,6/11/2018,2,10,12,High,5326
4,6/14/2018,2,13,12,High,2792
4,6/11/2018,2,10,13,Low,2247
4,6/11/2018,2,10,13,Low,5145
4,6/14/2018,2,13,13,Low,537
4,6/14/2018,2,13,13,Low,3369
4,6/11/2018,2,10,14,Medium,4049
4,6/11/2018,2,10,14,Medium,2884
4,6/14/2018,2,13,14,Medium,1222
4,6/14/2018,2,13,14,Medium,3191
4,6/11/2018,2,10,15,Low,1665
4,6/11/2018,2,10,15,Low,4324
4,6/14/2018,2,13,15,Low,213
4,6/14/2018,2,13,15,Low,567
4,6/11/2018,2,10,16,High,1826
4,6/14/2018,2,13,16,High,1750
4,6/11/2018,2,10,17,Medium,1653
4,6/14/2018,2,13,17,Medium,3646
4,6/11/2018,2,10,18,High,4220
4,6/14/2018,2,13,18,High,1556
4,6/19/2018,3,18,1,Low,909
4,6/19/2018,3,18,2,High,1126
4,6/19/2018,3,18,3,Medium,0
4,6/19/2018,3,18,4,High,69
4,6/19/2018,3,18,5,Medium,0
4,6/19/2018,3,18,6,Low,3293
4,6/19/2018,3,18,7,Medium,0
4,6/19/2018,3,18,8,High,1268
4,6/19/2018,3,18,9,Low,0
4,6/19/2018,3,17,10,Medium,3711
4,6/19/2018,3,17,11,Low,4376
4,6/19/2018,3,17,12,High,4011
4,6/19/2018,3,17,13,Low,88
4,6/19/2018,3,17,13,Low,4281
4,6/19/2018,3,17,14,Medium,2250
4,6/19/2018,3,17,14,Medium,3826
4,6/19/2018,3,17,15,Low,4
4,6/19/2018,3,17,15,Low,7647
4,6/19/2018,3,17,16,High,872
4,6/19/2018,3,17,16,High,3490
4,6/19/2018,3,17,17,Medium,3866
4,6/19/2018,3,17,17,Medium,2152
4,6/19/2018,3,17,18,High,121
4,6/19/2018,3,17,18,High,794
4,6/19/2018,3,17,18,High,391
4,6/26/2018,4,26,1,Low,0
4,6/28/2018,4,28,1,Low,0
4,6/26/2018,4,26,2,High,0
4,6/28/2018,4,28,2,High,1084
4,6/26/2018,4,26,3,Medium,0
4,6/28/2018,4,28,3,Medium,0
4,6/26/2018,4,26,4,High,0
4,6/28/2018,4,28,4,High,0
4,6/26/2018,4,26,5,Medium,0
4,6/28/2018,4,28,5,Medium,2668
4,6/26/2018,4,26,6,Low,975
4,6/28/2018,4,28,6,Low,21
4,6/26/2018,4,26,7,Medium,0
4,6/28/2018,4,28,7,Medium,0
4,6/26/2018,4,26,8,High,640
4,6/28/2018,4,28,8,High,0
4,6/26/2018,4,26,9,Low,0
4,6/28/2018,4,28,9,Low,0
4,6/26/2018,4,25,10,Medium,1358
4,6/28/2018,4,27,10,Medium,0
4,6/26/2018,4,25,11,Low,908
4,6/26/2018,4,25,11,Low,3388
4,6/28/2018,4,27,11,Low,0
4,6/28/2018,4,27,11,Low,0
4,6/26/2018,4,25,12,High,1232
4,6/26/2018,4,25,12,High,3154
4,6/28/2018,4,27,12,High,2677
4,6/26/2018,4,25,13,Low,631
4,6/26/2018,4,25,13,Low,5707
4,6/28/2018,4,27,13,Low,1277
4,6/28/2018,4,27,13,Low,3022
4,6/29/2018,4,28,17,Medium,1501
4,6/26/2018,4,25,17,Medium,4615
4,6/28/2018,4,27,14,Medium,0
4,6/26/2018,4,25,14,Medium,6593
4,6/26/2018,4,25,15,Low,0
4,6/28/2018,4,27,15,Low,6417
4,6/26/2018,4,25,16,High,7373
4,6/29/2018,4,28,16,High,0
4,6/29/2018,4,28,17,Medium,1972
4,6/26/2018,4,25,17,Medium,4181
4,6/26/2018,4,25,14,Medium,3838
4,6/28/2018,4,27,14,Medium,0
4,6/26/2018,4,25,18,High,0
4,6/29/2018,4,28,18,High,2829
5,7/7/2018,1,4,1,High,2192
5,7/7/2018,1,4,1,High,3448
5,7/7/2018,1,4,2,Low,3201
5,7/7/2018,1,4,3,Medium,3126
5,7/7/2018,1,4,4,Low,6749
5,7/7/2018,1,4,5,Medium,3466
5,7/7/2018,1,4,6,High,3322
5,7/8/2018,1,4,7,Medium,1643
5,7/8/2018,1,4,8,Low,602
5,7/8/2018,1,4,9,High,0
5,7/8/2018,1,4,10,Medium,875
5,7/8/2018,1,4,10,Medium,897
5,7/8/2018,1,4,11,Low,2442
5,7/8/2018,1,4,12,High,681
5,7/8/2018,1,4,13,Low,597
5,7/8/2018,1,4,14,Medium,0
5,7/8/2018,1,4,15,High,3128
5,7/8/2018,1,4,16,Medium,0
5,7/8/2018,1,4,17,Low,0
5,7/8/2018,1,4,18,High,5010
5,7/10/2018,1,7,1,High,0
5,7/10/2018,1,7,1,High,0
5,7/10/2018,1,7,2,Low,369
5,7/10/2018,1,7,3,Medium,3763
5,7/10/2018,1,7,4,Low,3864
5,7/10/2018,1,7,5,Medium,2749
5,7/10/2018,1,7,6,High,1849
5,7/11/2018,1,7,7,Medium,2783
5,7/11/2018,1,7,8,Low,0
5,7/11/2018,1,7,9,High,0
5,7/11/2018,1,7,10,Medium,0
5,7/11/2018,1,7,11,Low,1262
5,7/11/2018,1,7,12,High,4054
5,7/11/2018,1,7,13,Low,1052
5,7/11/2018,1,7,14,Medium,0
5,7/11/2018,1,7,15,High,2448
5,7/11/2018,1,7,16,Medium,970
5,7/11/2018,1,7,17,Low,3355
5,7/11/2018,1,7,18,High,0
5,7/14/2018,2,11,1,High,6028
5,7/14/2018,2,11,2,Low,3319
5,7/14/2018,2,11,3,Medium,1970
5,7/14/2018,2,11,4,Low,3006
5,7/14/2018,2,11,5,Medium,5383
5,7/14/2018,2,11,6,High,1954
5,7/15/2018,2,11,7,Medium,1679
5,7/15/2018,2,11,8,Low,1519
5,7/15/2018,2,11,9,High,0
5,7/15/2018,2,11,10,Medium,0
5,7/15/2018,2,11,11,Low,4250
5,7/15/2018,2,11,12,High,0
5,7/15/2018,2,11,13,Low,677
5,7/15/2018,2,11,14,Medium,937
5,7/15/2018,2,11,14,Medium,1416
5,7/15/2018,2,11,15,High,0
5,7/15/2018,2,11,16,Medium,0
5,7/15/2018,2,11,17,Low,0
5,7/15/2018,2,11,18,High,1868
5,7/18/2018,2,15,1,High,0
5,7/18/2018,2,15,2,Low,4190
5,7/18/2018,2,15,3,Medium,4083
5,7/18/2018,2,15,4,Low,3428
5,7/18/2018,2,15,5,Medium,2159
5,7/18/2018,2,15,6,High,1261
5,7/18/2018,2,15,6,High,4605
5,7/19/2018,2,15,7,Medium,3520
5,7/19/2018,2,15,8,Low,3857
5,7/19/2018,2,15,9,High,2354
5,7/19/2018,2,15,10,Medium,2704
5,7/19/2018,2,15,11,Medium,2121
5,7/19/2018,2,15,12,High,2502
5,7/19/2018,2,15,13,Low,0
5,7/19/2018,2,15,14,Medium,1287
5,7/19/2018,2,15,15,High,4259
5,7/19/2018,2,15,16,Medium,1980
5,7/19/2018,2,15,17,Low,1553
5,7/19/2018,2,15,18,High,710
5,7/23/2018,3,20,1,High,1463
5,7/23/2018,3,20,2,Low,1835
5,7/23/2018,3,20,3,Medium,1613
5,7/23/2018,3,20,3,Medium,809
5,7/23/2018,3,20,4,Low,3774
5,7/23/2018,3,20,5,Medium,3767
5,7/23/2018,3,20,6,High,560
5,7/24/2018,3,20,7,Medium,3543
5,7/24/2018,3,20,8,Low,0
5,7/24/2018,3,20,9,High,1705
5,7/24/2018,3,20,10,Medium,1106
5,7/24/2018,3,20,11,Low,0
5,7/24/2018,3,20,12,High,0
5,7/24/2018,3,20,13,Low,919
5,7/24/2018,3,20,14,Medium,3989
5,7/24/2018,3,20,15,High,1050
5,7/24/2018,3,20,15,High,0
5,7/24/2018,3,20,16,Medium,4083
5,7/24/2018,3,20,17,Low,4118
5,7/24/2018,3,20,18,High,669
5,7/27/2018,4,24,1,High,0
5,7/27/2018,4,24,2,Low,4215
5,7/27/2018,4,24,3,Medium,1583
5,7/27/2018,4,24,3,Medium,1508
5,7/27/2018,4,24,4,Low,268
5,7/27/2018,4,24,5,Medium,7069
5,7/24/2018,4,24,6,High,0
5,7/25/2018,4,24,7,Medium,2579
5,7/25/2018,4,24,8,Low,2772
5,7/25/2018,4,24,8,Low,235
5,7/25/2018,4,24,9,High,0
5,7/25/2018,4,24,10,Medium,761
5,7/25/2018,4,24,11,Low,1933
5,7/25/2018,4,24,12,High,0
5,7/25/2018,4,24,13,Low,0
5,7/25/2018,4,24,14,Medium,3157
5,7/25/2018,4,24,15,High,1388
5,7/25/2018,4,24,15,High,1038
5,7/25/2018,4,24,16,Medium,1545
5,7/25/2018,4,24,17,Low,102
5,7/25/2018,4,24,18,High,1828
5,7/30/2018,4,27,1,High,1708
5,7/30/2018,4,27,2,Low,2368
5,7/30/2018,4,27,3,Medium,946
5,7/30/2018,4,27,4,Low,2433
5,7/30/2018,4,27,5,Medium,1274
5,7/30/2018,4,27,6,High,2233
5,7/31/2018,4,27,7,Medium,4
5,7/31/2018,4,27,8,Low,3241
5,7/31/2018,4,27,8,Low,29
5,7/31/2018,4,27,9,High,1862
5,7/31/2018,4,27,10,Medium,0
5,7/31/2018,4,27,11,Low,0
5,7/31/2018,4,27,12,High,0
5,7/31/2018,4,27,13,Low,0
5,7/31/2018,4,27,14,Medium,0
5,7/31/2018,4,27,15,High,2338
5,7/31/2018,4,27,16,Medium,0
5,7/31/2018,4,27,17,Low,5112
5,7/31/2018,4,27,18,High,0
