Week,Day,Reef,Treatment,TOL,#_Clutches,Egg.count
1,A,1,low,NA,NA,0
1,A,2,high,NA,NA,0
1,A,3,medium,NA,NA,0
1,A,4,high,1,2,5637
1,A,5,medium,NA,NA,0
1,A,6,low,NA,NA,0
1,A,7,medium,NA,NA,0
1,A,8,high,NA,NA,0
1,A,9,low,NA,NA,0
1,A,10,medium,5,2,2129
1,A,11,low,NA,NA,0
1,A,12,high,4,2,4776
1,A,13,low,NA,NA,0
1,A,14,medium,NA,NA,0
1,A,15,low,2,2,3129
1,A,16,high,NA,NA,0
1,A,17,medium,NA,NA,0
1,A,18,high,NA,NA,0
1,B,1,low,1,2,6254
1,B,2,high,1,2,9561
1,B,3,medium,1,2,4847
1,B,4,high,1,3,5399
1,B,5,medium,NA,NA,0
1,B,6,low,2,1,4709
1,B,7,medium,5,1,106
1,B,8,high,1,3,5669
1,B,9,low,3,4,9849
1,B,10,medium,NA,NA,0
1,B,11,low,3,3,5904
1,B,12,high,4,1,85
1,B,13,low,1,2,5081
1,B,14,medium,3,2,6451
1,B,15,low,NA,NA,0
1,B,16,high,5,2,5061
1,B,17,medium,4,3,5879
1,B,18,high,4,3,3902
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
