"Trial","Reef","Treatment","T6.comparison","Egg.count","Density","Density.category","Density.letter","Recollection","avg.inhab","Year","Year.fact","Trial.fact","egg.week","Random","Random.fact"
1,1,"Low","Low",7938,9,"Medium","M",4,12,2017,"2017","1",7938,"12017","12017"
1,2,"Medium","Medium",1670,9,"Medium","M",4,12,2017,"2017","1",1670,"12017","12017"
1,3,"Low","Low",11320,10,"Medium","M",8,14,2017,"2017","1",11320,"12017","12017"
1,4,"High","High",3054,9,"Medium","M",8,14,2017,"2017","1",3054,"12017","12017"
1,5,"Medium","Medium",9800,7,"Medium","M",7,14,2017,"2017","1",9800,"12017","12017"
1,6,"High","High",5097,13,"High","H",5,13,2017,"2017","1",5097,"12017","12017"
1,7,"Medium","Medium",7349,9,"Medium","M",7,14,2017,"2017","1",7349,"12017","12017"
1,8,"Low","Low",3587,12,"High","H",5,13,2017,"2017","1",3587,"12017","12017"
1,9,"High","High",2669,10,"Medium","M",4,12,2017,"2017","1",2669,"12017","12017"
1,10,"Low","Low",0,11,"High","H",2,11,2017,"2017","1",0,"12017","12017"
1,11,"Medium","Medium",2187,11,"High","H",0,10,2017,"2017","1",2187,"12017","12017"
1,12,"High","High",7130,13,"High","H",3,12,2017,"2017","1",7130,"12017","12017"
1,13,"Low","Low",2243,16,"High","H",3,12,2017,"2017","1",2243,"12017","12017"
1,14,"Medium","Medium",451,10,"Medium","M",3,12,2017,"2017","1",451,"12017","12017"
1,15,"High","High",0,13,"High","H",1,11,2017,"2017","1",0,"12017","12017"
1,16,"Low","Low",557,13,"High","H",3,12,2017,"2017","1",557,"12017","12017"
1,17,"Medium","Medium",2892,12,"High","H",3,12,2017,"2017","1",2892,"12017","12017"
1,18,"High","High",1379,11,"High","H",3,12,2017,"2017","1",1379,"12017","12017"
2,1,"Medium","Medium",0,11,"High","H",2,11,2017,"2017","2",0,"22017","22017"
2,2,"Low","Low",5173,11,"High","H",2,11,2017,"2017","2",5173,"22017","22017"
2,3,"High","High",1130,7,"Medium","M",1,11,2017,"2017","2",1130,"22017","22017"
2,4,"Medium","Medium",0,13,"High","H",3,12,2017,"2017","2",0,"22017","22017"
2,5,"High","High",5937,11,"High","H",6,13,2017,"2017","2",5937,"22017","22017"
