Trial,Day,Position,Treatment,Reef,TOL,#_Clutches,Total_Eggs,Total_Nest_area,Count_total_fem_initial,Count_grav_fem_initial,Count_total_fem_final,Count_gravid_fem_final,Avg_total_fem,Avg_grav_female,Eggs_per_total_fem,Eggs_grav_female,Avg_total_fem_whole_fish,Avg_grav_female_whole_fish,Eggs_per_total_fem_whole_fish,Eggs_grav_female_whole_fish,Clutch.count,clutch.num,clutch.color,Img,notes
1,Day 2,Front,Low,1,3,2,4026,19.922,16,6,3,0,9.5,3,423.7894737,1342,10,3,423.7894737,1342,,,,,
4,1,Front,Low,1,1,2,5639,10.024,16,6,3,1,9.5,3.5,175.7894737,477.1428571,10,4,175.7894737,477.1428571,5349,1,pink,IMG_6810,
,,,,,,,,21.912,16,6,7,2,11.5,4,438.5217391,1260.75,12,4,438.5217391,1260.75,290,2,red,IMG_6810,
4,1,Front,High,2,1,2,2762,8.551,16,6,7,2,11.5,4,1.217391304,3.5,12,4,1.217391304,3.5,,,,IMG_6813,pink yolk and eyed up
4,1,Front,High,2,5,2,5617,NA,16,6,8,1,12,3.5,0,0,12,4,0,0,,,,IMG_6818,pink yolk and red yolk
4,1,Front,Medium,3,1,1,3065,25.419,16,6,6,0,11,3,365.3636364,1339.666667,11,3,365.3636364,1339.666667,,,,IMG_6824,pink yolk
,,,,,,,,NA,16,6,5,0,10.5,3,0,0,11,3,0,0,,,,,
,,,,,,,,24.29,16,6,6,2,11,4,226,621.5,11,4,226,621.5,,,,,
,,,,,,,,13.594,16,6,0,0,8,3,99.75,266,8,3,99.75,266,,,,,
,,,,,,,,12.326,16,6,3,0,9.5,3,280.9473684,889.6666667,10,3,280.9473684,889.6666667,,,,,
,,,,,,,,NA,16,6,2,0,9,3,0,0,9,3,0,0,,,,,
,,,,,,,,8.664,16,6,0,0,8,3,0.25,0.666666667,8,3,0.25,0.666666667,,,,,
,,,,,,,,10.5,16,6,3,0,9.5,3,154.8421053,490.3333333,10,3,154.8421053,490.3333333,,,,,
,,,,,,,,0.172,16,6,3,0,9.5,3,8.736842105,27.66666667,10,3,8.736842105,27.66666667,,,,,
,,,,,,,,NA,16,6,3,0,9.5,3,0,0,10,3,0,0,,,,,
,,,,,,,,NA,16,6,3,0,9.5,3,0,0,10,3,0,0,,,,,
,,,,,,,,NA,16,6,1,1,8.5,3.5,0,0,9,4,0,0,,,,,
,,,,,,,,NA,16,6,3,0,9.5,3,0,0,10,3,0,0,,,,,
,,,,,,,,NA,16,6,3,1,9.5,3.5,0,0,10,4,0,0,,,,,
,,,,,,,,NA,16,6,3,0,9.5,3,0,0,10,3,0,0,,,,,
,,,,,,,,NA,16,6,2,0,9,3,0,0,9,3,0,0,,,,,
,,,,,,,,3.526,16,6,2,1,9,3.5,81.55555556,209.7142857,9,4,81.55555556,209.7142857,,,,,
,,,,,,,,NA,16,6,1,0,8.5,3,0,0,9,3,0,0,,,,,
,,,,,,,,NA,16,6,2,0,9,3,0,0,9,3,0,0,,,,,
,,,,,,,,21.695,16,6,6,1,11,3.5,258.2727273,811.7142857,11,4,258.2727273,811.7142857,,,,,
,,,,,,,,NA,16,6,1,0,8.5,3,0,0,9,3,0,0,,,,,
,,,,,,,,3.261,16,6,2,0,9,3,82,246,9,3,82,246,,,,,
,,,,,,,,NA,16,6,6,1,11,3.5,0,0,11,4,0,0,,,,,
,,,,,,,,3.126,16,6,6,4,11,5,62,136.4,11,5,62,136.4,,,,,
,,,,,,,,7.258,16,6,4,1,10,3.5,192,548.5714286,10,4,192,548.5714286,,,,,
,,,,,,,,1.516,16,6,4,2,10,4,72.3,180.75,10,4,72.3,180.75,,,,,
,,,,,,,,NA,16,6,5,4,10.5,5,0,0,11,5,0,0,,,,,
,,,,,,,,NA,16,6,0,0,8,3,0,0,8,3,0,0,,,,,
,,,,,,,,NA,16,6,0,0,8,3,0,0,8,3,0,0,,,,,
,,,,,,,,0.885,16,6,3,1,9.5,3.5,41.57894737,112.8571429,10,4,41.57894737,112.8571429,,,,,
,,,,,,,,NA,16,6,2,2,9,4,0,0,9,4,0,0,,,,,
,,,,,,,,14.382,16,6,3,1,9.5,3.5,0,0,10,4,0,0,,,,,
,,,,,,,,NA,16,6,1,0,8.5,3,0,0,9,3,0,0,,,,,
,,,,,,,,NA,15,5,2,1,8.5,3,0.470588235,1.333333333,9,3,0.470588235,1.333333333,,,,,
,,,,,,,,17.238,15,5,8,2,11.5,3.5,126.4347826,415.4285714,12,4,126.4347826,415.4285714,,,,,
,,,,,,,,NA,15,5,8,1,11.5,3,0,0,12,3,0,0,,,,,
,,,,,,,,8.727,15,5,4,2,9.5,3.5,116.2105263,315.4285714,10,4,116.2105263,315.4285714,,,,,
,,,,,,,,NA,15,5,5,1,10,3,0,0,10,3,0,0,,,,,
,,,,,,,,5.755,15,5,6,1,10.5,3,69.52380952,243.3333333,11,3,69.52380952,243.3333333,,,,,
,,,,,,,,NA,15,5,9,3,12,4,0,0,12,4,0,0,,,,,
,,,,,,,,NA,15,5,4,2,9.5,3.5,0,0,10,4,0,0,,,,,
,,,,,,,,13.584,15,5,5,1,10,3,251.6,838.6666667,10,3,251.6,838.6666667,,,,,
,,,,,,,,NA,15,5,3,0,9,2.5,1.111111111,4,9,3,1.111111111,4,,,,,
,,,,,,,,NA,15,5,4,4,9.5,4.5,1.052631579,2.222222222,10,5,1.052631579,2.222222222,,,,,
,,,,,,,,2.55,15,5,2,0,8.5,2.5,75.64705882,257.2,9,3,75.64705882,257.2,,,,,
,,,,,,,,3.789,15,5,3,1,9,3,89.44444444,268.3333333,9,3,89.44444444,268.3333333,,,,,
,,,,,,,,9.949,15,5,5,0,10,2.5,294.4,1177.6,10,3,294.4,1177.6,,,,,
,,,,,,,,9.43,15,5,5,1,10,3,197.9,659.6666667,10,3,197.9,659.6666667,,,,,
,,,,,,,,NA,15,5,4,1,9.5,3,0,0,10,3,0,0,,,,,
,,,,,,,,8.758,15,5,4,1,9.5,3,154.3157895,488.6666667,10,3,154.3157895,488.6666667,,,,,
,,,,,,,,NA,15,5,4,1,9.5,3,0,0,10,3,0,0,,,,,
,,,,,,,,NA,15,5,4,1,9.5,3,4.315789474,13.66666667,10,3,4.315789474,13.66666667,,,,,
