Trial,Reef,Treatment,Egg.count,Density,Density.category,Density.letter,Recollection
4,1,Low,8352,4.5,Low,L,1
4,2,High,16333,6.75,Medium,M,3
4,3,Medium,6761,5.5,Medium,M,2
4,4,High,7904,3,Low,L,1
4,5,Medium,2668,4.25,Low,L,2
4,6,Low,13967,6.25,Medium,M,3
4,7,Medium,595,4.5,Low,L,2
4,8,High,11994,6.25,Medium,M,3
4,9,Low,11575,6,Medium,M,2
4,10,Medium,12122,9.75,Medium,M,4
4,11,Low,22407,16,High,H,15
4,12,High,24053,14.75,High,H,13
4,13,Low,31385,14.25,High,H,13
4,14,Medium,34304,17.5,High,H,18
4,15,Low,23966,12.25,High,H,9
4,16,High,20372,12.25,High,H,9
4,17,Medium,29465,14.25,High,H,17
4,18,High,13813,10.5,High,H,5
5,1,High,14839,5.75,Medium,M,4
5,2,Low,19497,10.5,High,H,10
5,3,Medium,19401,9.75,Medium,M,7
5,4,Low,23522,10.75,High,H,5
5,5,Medium,25867,12.25,High,H,7
5,6,High,15784,7.25,Medium,M,3
5,7,Medium,15751,10.75,High,H,9
5,8,Low,19230,10.25,Medium,M,7
5,9,High,8339,4.25,Low,L,3
5,10,Medium,8302,9.25,Medium,M,5
5,11,Low,12008,9.75,Medium,M,6
5,12,High,7237,4.25,Low,L,0
5,13,Low,3245,5,Low,L,0
5,14,Medium,10786,10,Medium,M,5
5,15,High,17279,9.75,Medium,M,10
5,16,Medium,12804,9.75,Medium,M,6
5,17,Low,16509,10.75,High,H,5
5,18,High,10085,6.5,Medium,M,7
