Trial,Reef,Treatment,Egg.count,Density,Density.category,Density.letter,Recollection
1,1,Low,7938,9,Medium,M,4
1,2,Medium,1670,9,Medium,M,4
1,3,Low,11320,10,Medium,M,8
1,4,High,3054,9,Medium,M,8
1,5,Medium,9800,7,Medium,M,7
1,6,High,5097,13,High,H,5
1,7,Medium,7349,9,Medium,M,7
1,8,Low,3587,12,High,H,5
1,9,High,2669,10,Medium,M,4
1,10,Low,0,11,High,H,2
1,11,Medium,2187,11,High,H,0
1,12,High,7130,13,High,H,3
1,13,Low,2243,16,High,H,3
1,14,Medium,451,10,Medium,M,3
1,15,High,0,13,High,H,1
1,16,Low,557,13,High,H,3
1,17,Medium,2892,12,High,H,3
1,18,High,1379,11,High,H,3
2,1,Medium,0,11,High,H,2
2,2,Low,5173,11,High,H,2
2,3,High,1130,7,Medium,M,1
2,4,Medium,0,13,High,H,3
2,5,High,5937,11,High,H,6
2,6,Low,426,10,Medium,M,2
2,7,Medium,5917,10,Medium,M,2
2,8,Low,0,10,Medium,M,7
2,9,High,2252,9,Medium,M,6
2,10,Low,4592,11,High,H,5
2,11,High,729,8,Medium,M,5
2,12,Medium,4286,12,High,H,7
2,13,Low,0,9,Medium,M,1
2,14,Medium,49,9,Medium,M,0
2,15,High,4320,9,Medium,M,3
2,16,Low,6278,10,Medium,M,2
2,17,High,2398,6,Medium,M,6
2,18,Medium,3291,3,Low,L,2
3,1,Low,1637,9,Medium,M,4
3,2,High,4106,8,Medium,M,10
3,3,Medium,5227,13,High,H,9
3,4,High,4281,10,Medium,M,9
3,5,Medium,1635,11,High,H,8
3,6,Low,5601,11,High,H,10
3,7,Medium,0,15,High,H,11
3,8,High,0,8,Medium,M,5
3,9,Low,4248,11,High,H,7
3,10,High,1403,9,Medium,M,6
3,11,Low,5133,10,Medium,M,5
3,12,Medium,3440,9,Medium,M,3
3,13,Low,805,10,Medium,M,4
3,14,High,4250,10,Medium,M,6
3,15,Low,6033,12,High,H,6
3,16,Medium,1825,11,High,H,7
3,17,High,5139,7,Medium,M,5
3,18,Medium,4408,12,High,H,6
