Experiment,Trial,Reef,Treatment,Egg.count,Density,Density.category,Density.letter,Recollection
1,1,1,Low,7938,9,Medium,M,4
1,1,2,Medium,1670,9,Medium,M,4
1,1,3,Low,11320,10,Medium,M,8
1,1,4,High,3054,9,Medium,M,8
1,1,5,Medium,9800,7,Medium,M,7
1,1,6,High,5097,13,High,H,5
1,1,7,Medium,7349,9,Medium,M,7
1,1,8,Low,3587,12,High,H,5
1,1,9,High,2669,10,Medium,M,4
1,1,10,Low,0,11,High,H,2
1,1,11,Medium,2187,11,High,H,0
1,1,12,High,7130,13,High,H,3
1,1,13,Low,2243,16,High,H,3
1,1,14,Medium,451,10,Medium,M,3
1,1,15,High,0,13,High,H,1
1,1,16,Low,557,13,High,H,3
1,1,17,Medium,2892,12,High,H,3
1,1,18,High,1379,11,High,H,3
1,2,1,Medium,0,11,High,H,2
1,2,2,Low,5173,11,High,H,2
1,2,3,High,1130,7,Medium,M,1
1,2,4,Medium,0,13,High,H,3
1,2,5,High,5937,11,High,H,6
1,2,6,Low,426,10,Medium,M,2
1,2,7,Medium,5917,10,Medium,M,2
1,2,8,Low,0,10,Medium,M,7
1,2,9,High,2252,9,Medium,M,6
1,2,10,Low,4592,11,High,H,5
1,2,11,High,729,8,Medium,M,5
1,2,12,Medium,4286,12,High,H,7
1,2,13,Low,0,9,Medium,M,1
1,2,14,Medium,49,9,Medium,M,0
1,2,15,High,4320,9,Medium,M,3
1,2,16,Low,6278,10,Medium,M,2
1,2,17,High,2398,6,Medium,M,6
1,2,18,Medium,3291,3,Low,L,2
1,3,1,Low,1637,9,Medium,M,4
1,3,2,High,4106,8,Medium,M,10
1,3,3,Medium,5227,13,High,H,9
1,3,4,High,4281,10,Medium,M,9
1,3,5,Medium,1635,11,High,H,8
1,3,6,Low,5601,11,High,H,10
1,3,7,Medium,0,15,High,H,11
1,3,8,High,0,8,Medium,M,5
1,3,9,Low,4248,11,High,H,7
1,3,10,High,1403,9,Medium,M,6
1,3,11,Low,5133,10,Medium,M,5
1,3,12,Medium,3440,9,Medium,M,3
1,3,13,Low,805,10,Medium,M,4
1,3,14,High,4250,10,Medium,M,6
1,3,15,Low,6033,12,High,H,6
1,3,16,Medium,1825,11,High,H,7
1,3,17,High,5139,7,Medium,M,5
1,3,18,Medium,4408,12,High,H,6
2,4,1,Low,8352,4.5,Low,L,1
2,4,2,High,16333,6.75,Medium,M,3
2,4,3,Medium,6761,5.5,Medium,M,2
2,4,4,High,7904,3,Low,L,1
2,4,5,Medium,2668,4.25,Low,L,2
2,4,6,Low,13967,6.25,Medium,M,3
2,4,7,Medium,595,4.5,Low,L,2
2,4,8,High,11994,6.25,Medium,M,3
2,4,9,Low,11575,6,Medium,M,2
2,4,10,Medium,12122,9.75,Medium,M,4
2,4,11,Low,22407,16,High,H,15
2,4,12,High,24053,14.75,High,H,13
2,4,13,Low,31385,14.25,High,H,13
2,4,14,Medium,34304,17.5,High,H,18
2,4,15,Low,23966,12.25,High,H,9
2,4,16,High,20372,12.25,High,H,9
2,4,17,Medium,29465,14.25,High,H,17
2,4,18,High,13813,10.5,High,H,5
2,5,1,High,14839,5.75,Medium,M,4
2,5,2,Low,19497,10.5,High,H,10
2,5,3,Medium,19401,9.75,Medium,M,7
2,5,4,Low,23522,10.75,High,H,5
2,5,5,Medium,25867,12.25,High,H,7
2,5,6,High,15784,7.25,Medium,M,3
2,5,7,Medium,15751,10.75,High,H,9
2,5,8,Low,19230,10.25,Medium,M,7
2,5,9,High,8339,4.25,Low,L,3
2,5,10,Medium,8302,9.25,Medium,M,5
2,5,11,Low,12008,9.75,Medium,M,6
2,5,12,High,7237,4.25,Low,L,0
2,5,13,Low,3245,5,Low,L,0
2,5,14,Medium,10786,10,Medium,M,5
2,5,15,High,17279,9.75,Medium,M,10
2,5,16,Medium,12804,9.75,Medium,M,6
2,5,17,Low,16509,10.75,High,H,5
2,5,18,High,10085,6.5,Medium,M,7
