Trial,Reef,Treatment,T6.comparison,Egg.count,Density,Density.category,Density.letter,Recollection
1,1,Low,Low,7938,9,Medium,M,4
1,2,Medium,Medium,1670,9,Medium,M,4
1,3,Low,Low,11320,10,Medium,M,8
1,4,High,High,3054,9,Medium,M,8
1,5,Medium,Medium,9800,7,Medium,M,7
1,6,High,High,5097,13,High,H,5
1,7,Medium,Medium,7349,9,Medium,M,7
1,8,Low,Low,3587,12,High,H,5
1,9,High,High,2669,10,Medium,M,4
1,10,Low,Low,0,11,High,H,2
1,11,Medium,Medium,2187,11,High,H,0
1,12,High,High,7130,13,High,H,3
1,13,Low,Low,2243,16,High,H,3
1,14,Medium,Medium,451,10,Medium,M,3
1,15,High,High,0,13,High,H,1
1,16,Low,Low,557,13,High,H,3
1,17,Medium,Medium,2892,12,High,H,3
1,18,High,High,1379,11,High,H,3
2,1,Medium,Medium,0,11,High,H,2
2,2,Low,Low,5173,11,High,H,2
2,3,High,High,1130,7,Medium,M,1
2,4,Medium,Medium,0,13,High,H,3
2,5,High,High,5937,11,High,H,6
2,6,Low,Low,426,10,Medium,M,2
2,7,Medium,Medium,5917,10,Medium,M,2
2,8,Low,Low,0,10,Medium,M,7
2,9,High,High,2252,9,Medium,M,6
2,10,Low,Low,4592,11,High,H,5
2,11,High,High,729,8,Medium,M,5
2,12,Medium,Medium,4286,12,High,H,7
2,13,Low,Low,0,9,Medium,M,1
2,14,Medium,Medium,49,9,Medium,M,0
2,15,High,High,4320,9,Medium,M,3
2,16,Low,Low,6278,10,Medium,M,2
2,17,High,High,2398,6,Medium,M,6
2,18,Medium,Medium,3291,3,Low,L,2
3,1,Low,Low,1637,9,Medium,M,4
3,2,High,High,4106,8,Medium,M,10
3,3,Medium,Medium,5227,13,High,H,9
3,4,High,High,4281,10,Medium,M,9
3,5,Medium,Medium,1635,11,High,H,8
3,6,Low,Low,5601,11,High,H,10
3,7,Medium,Medium,0,15,High,H,11
3,8,High,High,0,8,Medium,M,5
3,9,Low,Low,4248,11,High,H,7
3,10,High,High,1403,9,Medium,M,6
3,11,Low,Low,5133,10,Medium,M,5
3,12,Medium,Medium,3440,9,Medium,M,3
3,13,Low,Low,805,10,Medium,M,4
3,14,High,High,4250,10,Medium,M,6
3,15,Low,Low,6033,12,High,H,6
3,16,Medium,Medium,1825,11,High,H,7
3,17,High,High,5139,7,Medium,M,5
3,18,Medium,Medium,4408,12,High,H,6
4,1,Low,Low,8352,4.5,Low,L,1
4,2,High,High,16333,6.75,Medium,M,3
4,3,Medium,Medium,6761,5.5,Medium,M,2
4,4,High,High,7904,3,Low,L,1
4,5,Medium,Medium,2668,4.25,Low,L,2
4,6,Low,Low,13967,6.25,Medium,M,3
4,7,Medium,Medium,595,4.5,Low,L,2
4,8,High,High,11994,6.25,Medium,M,3
4,9,Low,Low,11575,6,Medium,M,2
4,10,Medium,Medium,12122,9.75,Medium,M,4
4,11,Low,Low,22407,16,High,H,15
4,12,High,High,24053,14.75,High,H,13
4,13,Low,Low,31385,14.25,High,H,13
4,14,Medium,Medium,34304,17.5,High,H,18
4,15,Low,Low,23966,12.25,High,H,9
4,16,High,High,20372,12.25,High,H,9
4,17,Medium,Medium,29465,14.25,High,H,17
4,18,High,High,13813,10.5,High,H,5
5,1,High,High,14839,5.75,Medium,M,4
5,2,Low,Low,19497,10.5,High,H,10
5,3,Medium,Medium,19401,9.75,Medium,M,7
5,4,Low,Low,23522,10.75,High,H,5
5,5,Medium,Medium,25867,12.25,High,H,7
5,6,High,High,15784,7.25,Medium,M,3
5,7,Medium,Medium,15751,10.75,High,H,9
5,8,Low,Low,19230,10.25,Medium,M,7
5,9,High,High,8339,4.25,Low,L,3
5,10,Medium,Medium,8302,9.25,Medium,M,5
5,11,Low,Low,12008,9.75,Medium,M,6
5,12,High,High,7237,4.25,Low,L,0
5,13,Low,Low,3245,5,Low,L,0
5,14,Medium,Medium,10786,10,Medium,M,5
5,15,High,High,17279,9.75,Medium,M,10
5,16,Medium,Medium,12804,9.75,Medium,M,6
5,17,Low,Low,16509,10.75,High,H,5
5,18,High,High,10085,6.5,Medium,M,7
6,1,Low,Low,1723,4.5,Low,L,1
6,2,High,Uncaged,4780,4,Low,L,1
6,3,Medium,Medium,2794,7,Medium,M,5
6,4,Low,Low,997,4,Low,L,1
6,5,High,Uncaged,5437,6.5,Medium,M,3
6,6,Medium,Medium,1796,6.5,Medium,M,6
6,7,High,High,1538,5,Low,L,5
6,8,High,Uncaged,5018,6.5,Medium,M,6
6,9,Low,Low,3824,6,Medium,M,5
6,10,High,High,5309,4,Low,L,4
6,11,Medium,Medium,0,2.5,Low,L,1
6,12,High,Uncaged,948,1.5,Low,L,1
6,13,Low,Low,844,4.5,Low,L,3
6,14,Medium,Medium,1016,2,Low,L,1
6,15,High,High,1676,5,Low,L,4
6,16,Low,Low,4080,5,Low,L,3
6,17,High,High,1453,3.5,Low,L,2
6,18,Medium,Medium,5926,6.5,Medium,M,2
6,19,High,Uncaged,1470,2.5,Low,L,3
6,20,High,High,3514,5,Low,L,4
