Trial,Reef,Treatment,Treatment.power,T6.comparison,Egg.count,Density,Density.category,Density.letter,Recollection,avg.inhab,Year,Year.fact,egg.week
1,1,Low,1,Low,7938,9,Medium,M,4,12,2017,2017,7938
1,2,Medium,2,Medium,1670,9,Medium,M,4,12,2017,2017,1670
1,3,Low,1,Low,11320,10,Medium,M,8,14,2017,2017,11320
1,4,High,3,High,3054,9,Medium,M,8,14,2017,2017,3054
1,5,Medium,2,Medium,9800,7,Medium,M,7,14,2017,2017,9800
1,6,High,3,High,5097,13,High,H,5,13,2017,2017,5097
1,7,Medium,2,Medium,7349,9,Medium,M,7,14,2017,2017,7349
1,8,Low,1,Low,3587,12,High,H,5,13,2017,2017,3587
1,9,High,3,High,2669,10,Medium,M,4,12,2017,2017,2669
1,10,Low,1,Low,0,11,High,H,2,11,2017,2017,0
1,11,Medium,2,Medium,2187,11,High,H,0,10,2017,2017,2187
1,12,High,3,High,7130,13,High,H,3,12,2017,2017,7130
1,13,Low,1,Low,2243,16,High,H,3,12,2017,2017,2243
1,14,Medium,2,Medium,451,10,Medium,M,3,12,2017,2017,451
1,15,High,3,High,0,13,High,H,1,11,2017,2017,0
1,16,Low,1,Low,557,13,High,H,3,12,2017,2017,557
1,17,Medium,2,Medium,2892,12,High,H,3,12,2017,2017,2892
1,18,High,3,High,1379,11,High,H,3,12,2017,2017,1379
2,1,Medium,2,Medium,0,11,High,H,2,11,2017,2017,0
2,2,Low,1,Low,5173,11,High,H,2,11,2017,2017,5173
2,3,High,3,High,1130,7,Medium,M,1,11,2017,2017,1130
2,4,Medium,2,Medium,0,13,High,H,3,12,2017,2017,0
2,5,High,3,High,5937,11,High,H,6,13,2017,2017,5937
2,6,Low,1,Low,426,10,Medium,M,2,11,2017,2017,426
2,7,Medium,2,Medium,5917,10,Medium,M,2,11,2017,2017,5917
2,8,Low,1,Low,0,10,Medium,M,7,14,2017,2017,0
2,9,High,3,High,2252,9,Medium,M,6,13,2017,2017,2252
2,10,Low,1,Low,4592,11,High,H,5,13,2017,2017,4592
2,11,High,3,High,729,8,Medium,M,5,13,2017,2017,729
2,12,Medium,2,Medium,4286,12,High,H,7,14,2017,2017,4286
2,13,Low,1,Low,0,9,Medium,M,1,11,2017,2017,0
2,14,Medium,2,Medium,49,9,Medium,M,0,10,2017,2017,49
2,15,High,3,High,4320,9,Medium,M,3,12,2017,2017,4320
2,16,Low,1,Low,6278,10,Medium,M,2,11,2017,2017,6278
2,17,High,3,High,2398,6,Medium,M,6,13,2017,2017,2398
2,18,Medium,2,Medium,3291,3,Low,L,2,11,2017,2017,3291
3,1,Low,1,Low,1637,9,Medium,M,4,12,2017,2017,1637
3,2,High,3,High,4106,8,Medium,M,10,15,2017,2017,4106
3,3,Medium,2,Medium,5227,13,High,H,9,15,2017,2017,5227
3,4,High,3,High,4281,10,Medium,M,9,15,2017,2017,4281
3,5,Medium,2,Medium,1635,11,High,H,8,14,2017,2017,1635
3,6,Low,1,Low,5601,11,High,H,10,15,2017,2017,5601
3,7,Medium,2,Medium,0,15,High,H,11,16,2017,2017,0
3,8,High,3,High,0,8,Medium,M,5,13,2017,2017,0
3,9,Low,1,Low,4248,11,High,H,7,14,2017,2017,4248
3,10,High,3,High,1403,9,Medium,M,6,13,2017,2017,1403
3,11,Low,1,Low,5133,10,Medium,M,5,13,2017,2017,5133
3,12,Medium,2,Medium,3440,9,Medium,M,3,12,2017,2017,3440
3,13,Low,1,Low,805,10,Medium,M,4,12,2017,2017,805
3,14,High,3,High,4250,10,Medium,M,6,13,2017,2017,4250
3,15,Low,1,Low,6033,12,High,H,6,13,2017,2017,6033
3,16,Medium,2,Medium,1825,11,High,H,7,14,2017,2017,1825
3,17,High,3,High,5139,7,Medium,M,5,13,2017,2017,5139
3,18,Medium,2,Medium,4408,12,High,H,6,13,2017,2017,4408
4,1,Low,1,Low,8352,4.5,Low,L,1,11,2018,2018,2088
4,2,High,3,High,16333,6.75,Medium,M,3,12,2018,2018,4084
4,3,Medium,2,Medium,6761,5.5,Medium,M,2,11,2018,2018,1691
4,4,High,3,High,7904,3,Low,L,1,11,2018,2018,1976
4,5,Medium,2,Medium,2668,4.25,Low,L,2,11,2018,2018,667
4,6,Low,1,Low,13967,6.25,Medium,M,3,12,2018,2018,3492
4,7,Medium,2,Medium,595,4.5,Low,L,2,11,2018,2018,149
4,8,High,3,High,11994,6.25,Medium,M,3,12,2018,2018,2999
4,9,Low,1,Low,11575,6,Medium,M,2,11,2018,2018,2894
4,10,Medium,2,Medium,12122,9.75,Medium,M,4,12,2018,2018,3031
4,11,Low,1,Low,22407,16,High,H,15,18,2018,2018,5602
4,12,High,3,High,24053,14.75,High,H,13,17,2018,2018,6014
4,13,Low,1,Low,31385,14.25,High,H,13,17,2018,2018,7847
4,14,Medium,2,Medium,34304,17.5,High,H,18,19,2018,2018,8576
4,15,Low,1,Low,23966,12.25,High,H,9,15,2018,2018,5992
4,16,High,3,High,20372,12.25,High,H,9,15,2018,2018,5093
4,17,Medium,2,Medium,29465,14.25,High,H,17,19,2018,2018,7367
4,18,High,3,High,13813,10.5,High,H,5,13,2018,2018,3454
5,1,High,3,High,14839,5.75,Medium,M,4,12,2018,2018,3710
5,2,Low,1,Low,19497,10.5,High,H,10,15,2018,2018,4875
5,3,Medium,2,Medium,19401,9.75,Medium,M,7,14,2018,2018,4851
5,4,Low,1,Low,23522,10.75,High,H,5,13,2018,2018,5881
5,5,Medium,2,Medium,25867,12.25,High,H,7,14,2018,2018,6467
5,6,High,3,High,15784,7.25,Medium,M,3,12,2018,2018,3946
5,7,Medium,2,Medium,15751,10.75,High,H,9,15,2018,2018,3938
5,8,Low,1,Low,19230,10.25,Medium,M,7,14,2018,2018,4808
5,9,High,3,High,8339,4.25,Low,L,3,12,2018,2018,2085
5,10,Medium,2,Medium,8302,9.25,Medium,M,5,13,2018,2018,2076
5,11,Low,1,Low,12008,9.75,Medium,M,6,13,2018,2018,3002
5,12,High,3,High,7237,4.25,Low,L,0,10,2018,2018,1810
5,13,Low,1,Low,3245,5,Low,L,0,10,2018,2018,812
