size,weight,
24,0.24,
26,0.32,
26,0.32,
33,0.66,
16,0.07,
17,0.07,
33,0.68,
30,0.53,
11,0.04,
12,0.03,
32,0.61,
13,0.04,
34,0.66,
29,0.48,
15,0.07,
28,0.41,
30,0.59,
28,0.42,
17,0.09,
11,0.05,
34,0.77,
34,0.68,
10,0.02,
11,0.03,
12,0.04,
29,0.57,
26,0.32,
33,0.61,
13,0.04,
12,0.04,
26,0.36,
30,0.55,
31,0.58,
28,0.49,
28,0.4,
30,0.5,
18,0.11,
10,0.03,
32,0.6,
26,0.37,
29,0.46,
38,0.98,
38,1,
37,0.91,
30,0.57,
29,0.52,
31,0.6,
26,0.4,
28,0.46,
37,0.98,
30,0.53,
28,0.43,
34,0.76,
10,0.05,
27,0.36,
27,0.37,
28,0.41,
26,0.33,
32,0.61,
34,0.7,
32,0.61,
34,0.75,
35,0.77,
28,0.39,
29,0.52,
27,0.37,
31,0.58,
10,0.04,
28,0.4,
36,0.77,
26,0.33,
29,0.46,
31,0.58,
31,0.49,
28,0.45,
29,0.43,
26,0.32,
29,0.5,
29,0.44,
29,0.49,
35,0.83,
14,0.06,
26,0.34,
36,0.88,
37,0.93,
35,0.85,
30,0.54,
28,0.4,
31,0.49,
31,0.56,
28,0.4,
34,0.72,
31,0.57,
27,0.33,
26,0.37,
27,0.34,
30,0.47,
26,0.35,
29,0.53,
26,0.33,
34,0.73,
34,0.74,
27,0.37,
26,0.34,
32,0.6,
28,0.45,
31,0.58,
36,0.83,
41,1.1,
33,0.63,
30,0.5,
28,0.38,
19,0.12,
30,0.57,
28,0.41,
26,0.33,
33,0.7,
28,0.43,
31,0.52,
30,0.5,
36,0.87,
40,0.9,
36,0.84,
27,0.38,
28,0.41,
26,0.27,
26,0.33,
26,0.28,
29,0.44,
31,0.53,
31,0.54,
31,0.53,
29,0.46,
31,0.52,
32,0.64,
32,0.63,
10,0.04,
11,0.05,
31,0.53,
27,0.37,
32,0.62,
29,0.44,
32,0.57,
29,0.4,
30,0.5,
34,0.65,
21,0.18,
27,0.36,
28,0.48,
36,0.76,
31,0.53,
35,0.82,
31,0.57,
26,0.32,
29,0.43,
30,0.54,
32,0.49,
27,0.38,
29,0.48,
26,0.33,
36,0.91,
35,0.69,
34,0.82,
31,0.59,
23,0.23,
29,0.4,
29,0.38,
27,0.35,
31,0.52,
26,0.35,
33,0.87,
32,0.65,
31,0.5,
31,0.54,
28,0.51,
35,0.74,
31,0.83,
32,0.56,
20,0.17,
29,0.42,
26,0.32,
26,0.29,
36,0.82,
36,0.89,
34,0.69,
29,0.45,
31,0.53,
28,0.43,
25,0.32,
21,0.17,
21,0.13,
35,0.69,
34,0.71,
31,0.53,
30,0.46,
28,0.44,
32,0.54,
21,0.21,
34,0.64,
35,0.77,
25,0.31,
29,0.4,
39,0.91,
36,0.87,
29,0.39,
11,0.02,
23,0.22,
20,0.16,
31,0.5,
28,0.38,
30,0.49,
35,0.68,
21,0.17,
20,0.16,
31,0.52,
30,0.49,
31,0.51,
26,0.28,
31,0.5,
31,0.52,
17,0.09,
35,0.74,
33,0.57,
30,0.46,
31,0.47,
28,0.41,
34,0.8,
30,0.47,
30,0.53,
26,0.34,
20,0.14,
28,0.4,
29,0.4,
30,0.45,
31,0.54,
30,0.58,
26,0.37,
29,0.5,
29,0.4,
31,0.54,
34,0.77,
27,0.35,
34,0.63,
17,0.1,
25,0.26,
31,0.45,
31,0.55,
26,0.3,
28,0.4,
26,0.27,
29,0.29,
24,0.16,
31,0.53,
32,0.5,
30,0.43,
29,0.38,
28,0.34,
30,0.45,
33,0.56,
25,0.27,
30,0.43,
26,0.32,
31,0.52,
30,0.49,
31,0.55,
34,0.64,
29,0.41,
31,0.49,
31,0.49,
31,0.49,
34,0.61,
31,0.57,
31,0.49,
32,0.58,
30,0.57,
31,0.48,
27,0.31,
31,0.55,
32,0.59,
31,0.46,
31,0.49,
33,0.68,
32,0.51,
30,0.43,
26,0.29,
30,0.46,
26,0.31,
31,0.41,
29,0.34,
31,0.53,
31,0.51,
33,0.61,
34,0.61,
30,0.48,
28,0.37,
32,0.54,
31,0.5,
31,0.49,
31,0.53,
25,0.26,
21,0.17,
28,0.36,
29,0.41,
20,0.17,
18,0.09,
12,0.09,
20,0.14,
21,0.17,
12,0.04,
12,0.07,
14,0.06,
19,0.13,
21,0.16,
14,0.04,
16,0.08,
16,0.06,
14,0.1,
13,0.06,
13,0.09,
12,0.04,
18,0.1,
12,0.02,
13,0.05,
16,0.07,
16,0.08,
15,0.06,
14,0.06,
17,0.07,
12,0.03,
11,0.02,
12,0.04,
13,0.05,
12,0.04,
12,0.03,
11,0.03,
12,0.02,
13,0.02,
30,0.44,
29,0.4,
21,0.14,
27,0.34,
29,0.4,
27,0.34,
28,0.37,
28,0.36,
28,0.37,
28,0.37,
23,0.17,
25,0.22,
21,0.15,
21,0.15,
31,0.45,
27,0.32,
32,0.37,
29,0.4,
30,0.43,
31,0.5,
31,0.43,
28,0.32,
37,0.81,
28,0.35,
30,0.42,
23,0.2,
25,0.22,
28,0.32,
33,0.62,
34,0.72,
27,0.34,
31,0.49,
28,0.36,
34,0.53,
27,0.31,
29,0.37,
29,0.36,
34,0.68,
36,0.79,
34,0.79,
30,0.49,
28,0.4,
26,0.32,
16,0.07,
16,0.09,
15,0.11,
13,0.04,
18,0.11,
13,0.05,
14,0.05,
20,0.15,
20,0.15,
15,0.08,
23,0.22,
43,1.13,
24,0.25,
24,0.27,
27,0.31,
26,0.26,
27,0.32,
27,0.34,
32,0.55,
38,0.92,
29,0.39,
29,0.41,
29,0.39,
31,0.49,
30,0.41,
32,0.52,
24,0.23,
29,0.42,
31,0.46,
29,0.43,
32,0.56,
31,0.45,
11,0.03,
23,0.22,
27,0.33,
32,0.57,
23,0.2,
24,0.24,
27,0.33,
26,0.28,
32,0.56,
24,0.24,
27,0.33,
26,0.3,
30,0.44,
29,0.42,
32,0.53,
28,0.34,
22,0.19,
27,0.35,
25,0.25,
33,0.55,
27,0.33,
17,0.09,
18,0.1,
12,0.03,
21,0.14,
39,0.88,
34,0.63,
32,0.51,
28,0.39,
27,0.32,
29,0.44,
28,0.4,
32,0.53,
29,0.37,
24,0.23,
30,0.45,
27,0.35,
31,0.58,
28,0.42,
24,0.26,
29,0.54,
23,0.2,
27,0.34,
29,0.36,
32,0.55,
23,0.17,
23,0.25,
27,0.37,
30,0.46,
26,0.31,
26,0.41,
24,0.23,
29,0.39,
23,0.22,
28,0.34,
26,0.27,
28,0.48,
31,0.48,
31,0.47,
23,0.18,
20,0.15,
23,0.24,
26,0.32,
26,0.31,
30,0.48,
28,0.34,
23,0.2,
23,0.23,
25,0.25,
24,0.25,
24,0.23,
30,0.43,
25,0.28,
32,0.65,
30,0.48,
32,0.6,
26,0.29,
28,0.36,
31,0.45,
29,0.41,
30,0.44,
30,0.31,
21,0.17,
26,0.35,
33,0.64,
29,0.4,
26,0.31,
23,0.21,
30,0.47,
29,0.42,
30,0.45,
24,0.26,
28,0.44,
33,0.59,
25,0.31,
29,0.43,
34,0.74,
29,0.37,
29,0.43,
33,0.56,
27,0.34,
34,0.73,
27,0.33,
26,0.32,
31,0.46,
31,0.44,
28,0.46,
28,0.36,
25,0.31,
28,0.41,
30,0.49,
31,0.54,
31,0.51,
28,0.36,
30,0.45,
29,0.4,
30,0.47,
25,0.3,
29,0.46,
28,0.36,
25,0.27,
30,0.42,
29,0.45,
32,0.53,
26,0.26,
29,0.45,
24,0.25,
31,0.51,
32,0.43,
29,0.33,
32,0.6,
24,0.23,
29,0.49,
31,0.52,
25,0.28,
26,0.3,
31,0.53,
30,0.48,
24,0.24,
24,0.26,
31,0.48,
41,0.91,
31,0.41,
31,0.44,
31,0.43,
28,0.34,
29,0.47,
30,0.44,
34,0.55,
28,0.41,
30,0.52,
27,0.38,
26,0.27,
32,0.64,
34,0.63,
38,0.73,
36,0.88,
24,0.26,
28,0.39,
22,0.2,
28,0.36,
31,0.44,
33,0.54,
29,0.51,
33,0.54,
30,0.47,
30,0.46,
28,0.39,
26,0.36,
31,0.59,
33,0.55,
32,0.54,
30,0.41,
36,0.84,
29,0.42,
30,0.44,
30,0.46,
22,0.18,
28,0.41,
26,0.25,
32,0.52,
25,0.24,
22,0.18,
29,0.39,
29,0.41,
27,0.39,
25,0.25,
27,0.34,
25,0.27,
29,0.45,
30,0.43,
26,0.26,
30,0.46,
28,0.36,
37,0.73,
30,0.46,
30,0.47,
28,0.37,
31,0.47,
21,0.14,
31,0.45,
29,0.35,
31,0.48,
32,0.53,
30,0.45,
32,0.55,
34,0.58,
30,0.38,
29,0.39,
24,0.23,
36,0.69,
22,0.2,
32,0.5,
30,0.44,
29,0.38,
31,0.51,
31,0.5,
31,0.41,
31,0.46,
28,0.34,
31,0.57,
