Sex,Size,Weight
F,26,0.27
F,29,0.29
F,24,0.16
F,NA,NA
F,31,0.53
F,32,0.5
F,30,0.43
F,29,0.38
F,28,0.34
F,30,0.45
T,33,0.56
F,25,0.27
F,30,0.43
F,26,0.32
F,31,0.52
F,30,0.49
F,31,0.55
F,34,0.64
F,29,0.41
F,31,0.49
F,31,0.49
F,31,0.49
F,34,0.61
F,31,0.57
F,31,0.49
F,32,0.58
T,30,0.57
F,31,0.48
F,27,0.31
F,31,0.55
T,32,0.59
F,31,0.46
F,31,0.49
T,33,0.68
F,32,0.51
F,30,0.43
F,26,0.29
F,30,0.46
F,26,0.31
M,31,0.41
F,29,0.34
F,31,0.53
F,31,0.51
T,33,0.61
T,34,0.61
F,30,0.48
F,28,0.37
M,32,0.54
F,31,0.5
F,31,0.49
M,31,0.53
F,25,0.26
M,21,0.17
F,28,0.36
F,29,0.41
F,20,0.17
J,18,0.09
J,12,0.09
J,20,0.14
J,21,0.17
J,12,0.04
J,12,0.07
J,14,0.06
J,19,0.13
J,21,0.16
J,14,0.04
J,16,0.08
J,16,0.06
J,14,0.1
J,13,0.06
J,13,0.09
J,12,0.04
J,18,0.1
J,12,0.02
J,13,0.05
J,16,0.07
J,16,0.08
J,15,0.06
J,14,0.06
J,17,0.07
J,12,0.03
J,11,0.02
J,12,0.04
J,13,0.05
J,12,0.04
J,12,0.03
J,11,0.03
J,12,0.02
J,13,0.02
M,30,0.44
F,29,0.4
M,21,0.14
M,27,0.34
F,29,0.4
F,27,0.34
F,28,0.37
F,28,0.36
F,28,0.37
F,28,0.37
M,23,0.17
F,25,0.22
J,21,0.15
J,21,0.15
J,18,NA
J,19,NA
J,15,NA
J,13,NA
J,15,NA
J,12,NA
J,19,NA
J,14,NA
J,15,NA
J,17,NA
J,16,NA
J,12,NA
J,12,NA
J,13,NA
J,13,NA
J,10,NA
J,21,NA
J,18,NA
J,12,NA
J,11,NA
J,14,NA
J,14,NA
J,12,NA
J,13,NA
J,13,NA
J,17,NA
J,11,NA
J,13,NA
J,11,NA
J,15,NA
J,11,NA
J,17,NA
J,16,NA
J,18,NA
J,14,NA
J,18,NA
J,18,NA
F,31,0.45
J,12,NA
J,11,NA
J,16,NA
J,16,NA
J,13,NA
J,17,NA
J,17,NA
J,16,NA
J,14,NA
F,27,0.32
J,15,NA
J,17,NA
J,11,NA
J,11,NA
J,13,NA
J,21,NA
J,15,NA
J,10,NA
J,19,NA
M,32,0.37
F,29,0.4
F,30,0.43
F,31,0.5
M,31,0.43
M,28,0.32
M,37,0.81
F,28,0.35
F,30,0.42
F,23,0.2
M,25,0.22
F,28,0.32
M,33,0.62
M,34,0.72
M,27,0.34
F,31,0.49
F,28,0.36
M,34,0.53
F,27,0.31
F,29,0.37
F,29,0.36
J,20,NA
J,15,NA
J,18,NA
J,20,NA
J,19,NA
J,20,NA
J,20,NA
J,13,NA
J,17,NA
J,19,NA
J,13,NA
J,15,NA
J,20,NA
J,21,NA
J,20,NA
J,15,NA
J,18,NA
J,23,NA
J,15,NA
J,15,NA
J,17,NA
J,18,NA
J,16,NA
J,12,NA
J,15,NA
J,20,NA
J,19,NA
J,13,NA
J,18,NA
J,14,NA
J,20,NA
J,16,NA
J,17,NA
J,12,NA
J,19,NA
J,19,NA
J,19,NA
J,12,NA
J,13,NA
M,34,0.68
M,36,0.79
M,34,0.79
M,30,0.49
F,28,0.4
F,26,0.32
J,16,0.07
J,16,0.09
J,15,0.11
J,13,0.04
J,18,0.11
J,13,0.05
J,14,0.05
J,20,0.15
J,20,0.15
J,15,0.08
F,23,0.22
M,43,1.13
F,24,0.25
F,24,0.27
F,27,0.31
F,26,0.26
F,27,0.32
F,27,0.34
M,32,0.55
M,38,0.92
F,29,0.39
F,29,0.41
F,29,0.39
F,31,0.49
F,30,0.41
T,32,0.52
F,24,0.23
F,29,0.42
F,31,0.46
F,29,0.43
F,32,0.56
F,31,0.45
J,11,0.03
M,23,0.22
F,27,0.33
F,32,0.57
F,23,0.2
F,24,0.24
F,27,0.33
F,26,0.28
M,32,0.56
F,24,0.24
F,27,0.33
M,26,0.3
F,30,0.44
F,29,0.42
M,32,0.53
F,28,0.34
M,22,0.19
F,27,0.35
F,25,0.25
F,33,0.55
F,27,0.33
J,17,0.09
J,18,0.1
J,12,0.03
