Year,Trial,Reef,Treatment,Initial.sex,Initial.length,Final.length,Initial.log.length,log.biomass,biomass,Initial.biomass.total,Initial.female.biomass,Initial.male.biomass,Final.log.length,Final.log.biomass,Biomass,Final.biomass.total,Final.biomass.female,Final.biomass.male,Avg.biomass.total,Avg.fem.biomass,Avg.male.biomass,notes
2017,1,1,Low,Female,23,,3.135494216,-1.514283625,0.219965706,8.483487122,6.467492212,2.01599491,,,,1.397731459,1.084807815,0.312923645,4.940609291,3.776150013,1.164459277,
2017,1,1,Low,Female,24,,3.17805383,-1.391922691,0.24859687,,,,,,,,,,,,,
2017,1,1,Low,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,1,Low,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,1,Low,Female,28,27,3.33220451,-0.948732087,0.387231688,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,1,Low,Female,26,28,3.258096538,-1.161796065,0.312923645,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,1,Low,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,1,Low,Female,27,27,3.295836866,-1.05329081,0.348788063,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,1,Low,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,1,Low,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,1,Low,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,1,Low,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,1,Low,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,1,Low,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,1,Low,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,1,Low,Female,35,,3.555348061,-0.307183667,0.735515499,,,,,,,,,,,,,
2017,1,1,Low,Male,24,26,3.17805383,-1.391922691,0.24859687,,,,3.258096538,-1.161796065,0.312923645,,,,,,,
2017,1,1,Low,Male,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,1,Low,Male,33,,3.496507561,-0.476352928,0.621044259,,,,,,,,,,,,,
2017,1,1,Low,Male,36,,3.583518938,-0.226191043,0.797565718,,,,,,,,,,,,,
2017,1,2,High,Female,25,,3.218875825,-1.274557497,0.279554644,8.19089712,6.414641867,1.776255253,,,,1.721671274,1.721671274,0,4.956284197,4.06815657,0.888127626,
2017,1,2,High,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,2,High,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,2,High,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,2,High,Female,27,29,3.295836866,-1.05329081,0.348788063,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,2,High,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,2,High,Female,28,28,3.33220451,-0.948732087,0.387231688,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,2,High,Female,27,28,3.295836866,-1.05329081,0.348788063,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,2,High,Female,34,,3.526360525,-0.390524226,0.676702036,,,,,,,,,,,,,
2017,1,2,High,Female,34,,3.526360525,-0.390524226,0.676702036,,,,,,,,,,,,,
2017,1,2,High,Female,22,,3.091042453,-1.642084577,0.193576097,,,,,,,,,,,,,
2017,1,2,High,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,2,High,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,2,High,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,2,High,Female,31,,3.433987204,-0.656101956,0.518869976,,,,,,,,,,,,,
2017,1,2,High,Female,32,31,3.465735903,-0.564822924,0.568460799,,,,3.433987204,-0.656101956,0.518869976,,,,,,,
2017,1,2,High,Male,22,,3.091042453,-1.642084577,0.193576097,,,,,,,,,,,,,
2017,1,2,High,Male,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,2,High,Male,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,2,High,Male,36,,3.583518938,-0.226191043,0.797565718,,,,,,,,,,,,,
2017,1,3,Medium,Female,24,,3.17805383,-1.391922691,0.24859687,8.201249513,6.069699907,2.131549606,,,,3.725699793,2.990184294,0.735515499,5.963474653,4.529942101,1.433532553,
2017,1,3,Medium,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,3,Medium,Female,28,30,3.33220451,-0.948732087,0.387231688,,,,3.401197382,-0.75037427,0.472189793,,,,,,,
2017,1,3,Medium,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,3,Medium,Female,28,29,3.33220451,-0.948732087,0.387231688,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,3,Medium,Female,27,28,3.295836866,-1.05329081,0.348788063,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,3,Medium,Female,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,3,Medium,Female,27,27,3.295836866,-1.05329081,0.348788063,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,3,Medium,Female,30,34,3.401197382,-0.75037427,0.472189793,,,,3.526360525,-0.390524226,0.676702036,,,,,,,
2017,1,3,Medium,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,3,Medium,Female,23,24,3.135494216,-1.514283625,0.219965706,,,,3.17805383,-1.391922691,0.24859687,,,,,,,
2017,1,3,Medium,Female,28,29,3.33220451,-0.948732087,0.387231688,,,,3.36729583,-0.847842859,0.428337922,,,,,,,
2017,1,3,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,3,Medium,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,3,Medium,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,3,Medium,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,3,Medium,Male,26,,3.258096538,-1.161796065,0.312923645,,,,,,,,,,,,,
2017,1,3,Medium,Male,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,3,Medium,Male,32,35,3.465735903,-0.564822924,0.568460799,,,,3.555348061,-0.307183667,0.735515499,,,,,,,
2017,1,3,Medium,Male,37,,3.610917913,-0.147417677,0.862933475,,,,,,,,,,,,,
2017,1,4,High,Female,25,26,3.218875825,-1.274557497,0.279554644,8.788499643,6.303197808,2.485301835,3.258096538,-1.161796065,0.312923645,3.452724953,3.452724953,0,6.120612298,4.877961381,1.242650917,
2017,1,4,High,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,4,High,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,4,High,Female,28,28,3.33220451,-0.948732087,0.387231688,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,4,High,Female,28,28,3.33220451,-0.948732087,0.387231688,,,,3.33220451,-0.948732087,0.387231688,,,,,,,
2017,1,4,High,Female,29,30,3.36729583,-0.847842859,0.428337922,,,,3.401197382,-0.75037427,0.472189793,,,,,,,
2017,1,4,High,Female,26,27,3.258096538,-1.161796065,0.312923645,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,4,High,Female,27,27,3.295836866,-1.05329081,0.348788063,,,,3.295836866,-1.05329081,0.348788063,,,,,,,
2017,1,4,High,Female,32,34,3.465735903,-0.564822924,0.568460799,,,,3.526360525,-0.390524226,0.676702036,,,,,,,
2017,1,4,High,Female,30,,3.401197382,-0.75037427,0.472189793,,,,,,,,,,,,,
2017,1,4,High,Female,25,,3.218875825,-1.274557497,0.279554644,,,,,,,,,,,,,
2017,1,4,High,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,4,High,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,4,High,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,4,High,Female,31,31,3.433987204,-0.656101956,0.518869976,,,,3.433987204,-0.656101956,0.518869976,,,,,,,
2017,1,4,High,Female,32,,3.465735903,-0.564822924,0.568460799,,,,,,,,,,,,,
2017,1,4,High,Male,22,,3.091042453,-1.642084577,0.193576097,,,,,,,,,,,,,
2017,1,4,High,Male,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,4,High,Male,33,,3.496507561,-0.476352928,0.621044259,,,,,,,,,,,,,
2017,1,4,High,Male,42,,3.737669618,0.216999561,1.242343556,,,,,,,,,,,,,
2017,1,5,Medium,Female,23,,3.135494216,-1.514283625,0.219965706,8.44808356,6.415851788,2.032231772,,,,3.592789478,3.592789478,0,6.020436519,5.004320633,1.016115886,
2017,1,5,Medium,Female,25,26,3.218875825,-1.274557497,0.279554644,,,,3.258096538,-1.161796065,0.312923645,,,,,,,
2017,1,5,Medium,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,5,Medium,Female,29,30,3.36729583,-0.847842859,0.428337922,,,,3.401197382,-0.75037427,0.472189793,,,,,,,
2017,1,5,Medium,Female,28,30,3.33220451,-0.948732087,0.387231688,,,,3.401197382,-0.75037427,0.472189793,,,,,,,
2017,1,5,Medium,Female,29,31,3.36729583,-0.847842859,0.428337922,,,,3.433987204,-0.656101956,0.518869976,,,,,,,
2017,1,5,Medium,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,5,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,5,Medium,Female,31,31,3.433987204,-0.656101956,0.518869976,,,,3.433987204,-0.656101956,0.518869976,,,,,,,
2017,1,5,Medium,Female,32,33,3.465735903,-0.564822924,0.568460799,,,,3.496507561,-0.476352928,0.621044259,,,,,,,
2017,1,5,Medium,Female,24,,3.17805383,-1.391922691,0.24859687,,,,,,,,,,,,,
2017,1,5,Medium,Female,28,,3.33220451,-0.948732087,0.387231688,,,,,,,,,,,,,
2017,1,5,Medium,Female,29,,3.36729583,-0.847842859,0.428337922,,,,,,,,,,,,,
2017,1,5,Medium,Female,27,,3.295836866,-1.05329081,0.348788063,,,,,,,,,,,,,
2017,1,5,Medium,Female,31,34,3.433987204,-0.656101956,0.518869976,,,,3.526360525,-0.390524226,0.676702036,,,,,,,
