Year,Trial,Reef,Treatment,T6.comparison,Count
2017,1,1,Low,Low,4
2017,1,2,Medium,Medium,4
2017,1,3,Low,Low,8
2017,1,4,High,High,8
2017,1,5,Medium,Medium,7
2017,1,6,High,High,5
2017,1,7,Medium,Medium,7
2017,1,8,Low,Low,5
2017,1,9,High,High,4
2017,1,10,Low,Low,2
2017,1,11,Medium,Medium,0
2017,1,12,High,High,3
2017,1,13,Low,Low,3
2017,1,14,Medium,Medium,3
2017,1,15,High,High,1
2017,1,16,Low,Low,3
2017,1,17,Medium,Medium,3
2017,1,18,High,High,3
2017,2,1,Low,Low,2
2017,2,2,High,High,2
2017,2,3,Medium,Medium,1
2017,2,4,High,High,3
2017,2,5,Medium,Medium,6
2017,2,6,Low,Low,2
2017,2,7,Medium,Medium,2
2017,2,8,High,High,7
2017,2,9,Low,Low,6
2017,2,10,High,High,5
2017,2,11,Low,Low,5
2017,2,12,Medium,Medium,7
2017,2,13,Low,Low,1
2017,2,14,High,High,0
2017,2,15,Low,Low,3
2017,2,16,Medium,Medium,2
2017,2,17,High,High,6
2017,2,18,Medium,Medium,2
2017,3,1,Medium,Medium,4
2017,3,2,Low,Low,10
2017,3,3,High,High,9
2017,3,4,Medium,Medium,9
2017,3,5,High,High,8
2017,3,6,Low,Low,10
2017,3,7,Medium,Medium,11
2017,3,8,Low,Low,5
2017,3,9,High,High,7
2017,3,10,Low,Low,6
2017,3,11,High,High,5
2017,3,12,Medium,Medium,3
2017,3,13,Low,Low,4
2017,3,14,Medium,Medium,6
2017,3,15,High,High,6
2017,3,16,Low,Low,7
2017,3,17,High,High,5
2017,3,18,Medium,Medium,6
2018,4,1,Low,Low,1
2018,4,2,High,High,3
2018,4,3,Medium,Medium,2
2018,4,4,High,High,1
2018,4,5,Medium,Medium,2
2018,4,6,Low,Low,3
2018,4,7,Medium,Medium,2
2018,4,8,High,High,3
2018,4,9,Low,Low,2
2018,4,10,Medium,Medium,4
2018,4,11,Low,Low,15
2018,4,12,High,High,13
2018,4,13,Low,Low,13
2018,4,14,Medium,Medium,18
2018,4,15,Low,Low,9
2018,4,16,High,High,9
2018,4,17,Medium,Medium,17
2018,4,18,High,High,5
2018,5,1,High,High,4
2018,5,2,Low,Low,10
2018,5,3,Medium,Medium,7
2018,5,4,Low,Low,5
2018,5,5,Medium,Medium,7
2018,5,6,High,High,3
2018,5,7,Medium,Medium,9
2018,5,8,Low,Low,7
2018,5,9,High,High,3
2018,5,10,Medium,Medium,5
2018,5,11,Low,Low,6
2018,5,12,High,High,0
2018,5,13,Low,Low,0
2018,5,14,Medium,Medium,5
2018,5,15,High,High,10
2018,5,16,Medium,Medium,6
2018,5,17,Low,Low,5
2018,5,18,High,High,7
2018,6,1,Low,Low,1
2018,6,2,High,Control,1
2018,6,3,Medium,Medium,5
2018,6,4,Low,Low,1
2018,6,5,High,Control,3
2018,6,6,Medium,Medium,6
2018,6,7,High,High,5
2018,6,8,High,Control,6
2018,6,9,Low,Low,5
2018,6,10,High,High,4
2018,6,11,Medium,Medium,1
2018,6,12,High,Control,1
2018,6,13,Low,Low,3
2018,6,14,Medium,Medium,1
2018,6,15,High,High,4
2018,6,16,Low,Low,3
2018,6,17,High,High,2
2018,6,18,Medium,Medium,2
2018,6,19,High,Control,3
2018,6,20,High,High,4
