"","Year","Trial","Reef","Treatment","Count"
"1",2017,1,1,"Low",4
"2",2017,1,2,"Medium",4
"3",2017,1,3,"Low",8
"4",2017,1,4,"High",8
"5",2017,1,5,"Medium",7
"6",2017,1,6,"High",5
"7",2017,1,7,"Medium",7
"8",2017,1,8,"Low",5
"9",2017,1,9,"High",4
"10",2017,1,10,"Low",2
"11",2017,1,11,"Medium",0
"12",2017,1,12,"High",3
"13",2017,1,13,"Low",3
"14",2017,1,14,"Medium",3
"15",2017,1,15,"High",1
"16",2017,1,16,"Low",3
"17",2017,1,17,"Medium",3
"18",2017,1,18,"High",3
"19",2017,2,1,"Low",2
"20",2017,2,2,"High",2
"21",2017,2,3,"Medium",1
"22",2017,2,4,"High",3
"23",2017,2,5,"Medium",6
"24",2017,2,6,"Low",2
"25",2017,2,7,"Medium",2
"26",2017,2,8,"High",7
"27",2017,2,9,"Low",6
"28",2017,2,10,"High",5
"29",2017,2,11,"Low",5
"30",2017,2,12,"Medium",7
"31",2017,2,13,"Low",1
"32",2017,2,14,"High",0
"33",2017,2,15,"Low",3
"34",2017,2,16,"Medium",2
"35",2017,2,17,"High",6
"36",2017,2,18,"Medium",2
"37",2017,3,1,"Medium",4
"38",2017,3,2,"Low",10
"39",2017,3,3,"High",9
"40",2017,3,4,"Medium",9
"41",2017,3,5,"High",8
"42",2017,3,6,"Low",10
"43",2017,3,7,"Medium",11
"44",2017,3,8,"Low",5
"45",2017,3,9,"High",7
"46",2017,3,10,"Low",6
"47",2017,3,11,"High",5
"48",2017,3,12,"Medium",3
"49",2017,3,13,"Low",4
"50",2017,3,14,"Medium",6
"51",2017,3,15,"High",6
"52",2017,3,16,"Low",7
"53",2017,3,17,"High",5
"54",2017,3,18,"Medium",6
"55",2018,4,1,"Low",1
"56",2018,4,2,"High",3
"57",2018,4,3,"Medium",2
"58",2018,4,4,"High",1
"59",2018,4,5,"Medium",2
"60",2018,4,6,"Low",3
"61",2018,4,7,"Medium",2
"62",2018,4,8,"High",3
"63",2018,4,9,"Low",2
"64",2018,4,10,"Medium",4
"65",2018,4,11,"Low",15
"66",2018,4,12,"High",13
"67",2018,4,13,"Low",13
"68",2018,4,14,"Medium",18
"69",2018,4,15,"Low",9
"70",2018,4,16,"High",9
"71",2018,4,17,"Medium",17
"72",2018,4,18,"High",5
"73",2018,5,1,"High",4
"74",2018,5,2,"Low",10
"75",2018,5,3,"Medium",7
"76",2018,5,4,"Low",5
"77",2018,5,5,"Medium",7
"78",2018,5,6,"High",3
"79",2018,5,7,"Medium",9
"80",2018,5,8,"Low",7
"81",2018,5,9,"High",3
"82",2018,5,10,"Medium",5
"83",2018,5,11,"Low",6
"84",2018,5,12,"High",0
"85",2018,5,13,"Low",0
"86",2018,5,14,"Medium",5
"87",2018,5,15,"High",10
"88",2018,5,16,"Medium",6
"89",2018,5,17,"Low",5
"90",2018,5,18,"High",7
"91",2018,6,1,"Low",1
"92",2018,6,2,"Control",1
"93",2018,6,3,"Medium",5
"94",2018,6,4,"Low",1
"95",2018,6,5,"Control",3
"96",2018,6,6,"Medium",6
"97",2018,6,7,"High",5
"98",2018,6,8,"Control",6
"99",2018,6,9,"Low",5
"100",2018,6,10,"High",4
"101",2018,6,11,"Medium",1
"102",2018,6,12,"Control",1
"103",2018,6,13,"Low",3
"104",2018,6,14,"Medium",1
"105",2018,6,15,"High",4
"106",2018,6,16,"Low",3
"107",2018,6,17,"High",2
"108",2018,6,18,"Medium",2
"109",2018,6,19,"Control",3
"110",2018,6,20,"High",4
