year,Trial,Trial.duration,Reef,Treatment,Initial.size,Final.size,Initial.sex,Growth,Final.sex,Final.sex.female.transitional.equals.female,final.Weight.g,Male,Female,Transitional,Immature,Initial.reef.biomass,,,,
2018,June,30,1,Low,20,24,female,4,male,male,0.24,1,0,0,0,,,,,
2018,June,30,2,High,24,26,female,2,female,female,0.32,0,1,0,0,,,,,
2018,June,30,2,High,23,26,female,3,female,female,0.32,0,1,0,0,,,,,"will have to do a pivot table for this to get total biomass recolelcted per reef, total female biomass recollected per reef, and total males biomass per reef, luckily, I can exclude NA's (= immatures) from the ""initial sex"" category when I make my pivot table. I think I should only include the intial sexes"
2018,June,30,2,High,29,33,female,4,female,female,0.66,0,1,0,0,,,,,
2018,June,30,2,High,NA,16,NA,NA,immature,immature,0.07,0,0,0,1,,,,,
2018,June,30,2,High,NA,17,NA,NA,immature,immature,0.07,0,0,0,1,,,,,
2018,June,30,3,Medium,28,33,female,5,female,female,0.68,0,1,0,0,,,,,
2018,June,30,3,Medium,26,30,female,4,male,male,0.53,1,0,0,0,,,,,
2018,June,30,3,Medium,NA,11,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,June,30,4,High,NA,12,NA,NA,immature,immature,0.03,0,0,0,1,,,,,
2018,June,30,4,High,31,32,female,1,transitional,female,0.61,0,0,1,0,,,,,
2018,June,30,5,Medium,NA,13,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,June,30,5,Medium,31,34,female,3,female,female,0.66,0,1,0,0,,,,,
2018,June,30,5,Medium,26,29,female,3,female,female,0.48,0,1,0,0,,,,,
2018,June,30,6,Low,NA,15,NA,NA,immature,immature,0.07,0,0,0,1,,,,,
2018,June,30,6,Low,22,28,female,6,female,female,0.41,0,1,0,0,,,,,
2018,June,30,6,Low,29,30,female,1,female,female,0.59,0,1,0,0,,,,,
2018,June,30,6,Low,26,28,female,2,female,female,0.42,0,1,0,0,,,,,
2018,June,30,7,Medium,NA,17,NA,NA,immature,immature,0.09,0,0,0,1,,,,,
2018,June,30,7,Medium,NA,11,NA,NA,immature,immature,0.05,0,0,0,1,,,,,
2018,June,30,7,Medium,31,34,female,3,male,male,0.77,1,0,0,0,,,,,
2018,June,30,7,Medium,31,34,female,3,transitional,female,0.68,0,0,1,0,,,,,
2018,June,30,8,High,NA,10,NA,NA,immature,immature,0.02,0,0,0,1,,,,,
2018,June,30,8,High,NA,11,NA,NA,immature,immature,0.03,0,0,0,1,,,,,
2018,June,30,8,High,NA,12,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,June,30,8,High,26,29,female,3,female,female,0.57,0,1,0,0,,,,,
2018,June,30,8,High,23,26,female,3,male,male,0.32,1,0,0,0,,,,,
2018,June,30,8,High,30,33,female,3,transitional,female,0.61,0,0,1,0,,,,,
2018,June,30,9,Low,NA,13,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,June,30,9,Low,NA,12,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,June,30,9,Low,26,26,female,0,female,female,0.36,0,1,0,0,,,,,
2018,June,30,9,Low,27,30,female,3,transitional,female,0.55,0,0,1,0,,,,,
2018,June,30,10,Medium,29,31,female,2,female,female,0.58,0,1,0,0,,,,,
2018,June,30,10,Medium,26,28,female,2,female,female,0.49,0,1,0,0,,,,,
2018,June,30,10,Medium,26,28,female,2,male,male,0.4,1,0,0,0,,,,,
2018,June,30,10,Medium,28,30,female,2,female,female,0.5,0,1,0,0,,,,,
2018,June,30,11,Low,NA,18,NA,NA,immature,immature,0.11,0,0,0,1,,,,,
2018,June,30,11,Low,NA,10,NA,NA,immature,immature,0.03,0,0,0,1,,,,,
2018,June,30,11,Low,32,32,male,0,female,female,0.6,0,1,0,0,,,,,
2018,June,30,11,Low,23,26,female,3,female,female,0.37,0,1,0,0,,,,,
2018,June,30,11,Low,27,29,female,2,female,female,0.46,0,1,0,0,,,,,
2018,June,30,11,Low,37,38,male,1,male,male,0.98,1,0,0,0,,,,,
2018,June,30,11,Low,33,38,male,5,male,male,1,1,0,0,0,,,,,
2018,June,30,11,Low,31,37,female,6,male,male,0.91,1,0,0,0,,,,,
2018,June,30,11,Low,26,30,female,4,male,male,0.57,1,0,0,0,,,,,
2018,June,30,11,Low,27,29,female,2,female,female,0.52,0,1,0,0,,,,,
2018,June,30,11,Low,28,31,female,3,female,female,0.6,0,1,0,0,,,,,
2018,June,30,11,Low,23,26,female,3,female,female,0.4,0,1,0,0,,,,,
2018,June,30,11,Low,26,28,female,2,female,female,0.46,0,1,0,0,,,,,
2018,June,30,11,Low,30,37,female,7,male,male,0.98,1,0,0,0,,,,,
2018,June,30,11,Low,29,30,female,1,female,female,0.53,0,1,0,0,,,,,
2018,June,30,11,Low,24,28,female,4,female,female,0.43,0,1,0,0,,,,,
2018,June,30,11,Low,31,34,female,3,female,female,0.76,0,1,0,0,,,,,
2018,June,30,12,High,NA,10,NA,NA,immature,immature,0.05,0,0,0,1,,,,,
2018,June,30,12,High,25,27,female,2,female,female,0.36,0,1,0,0,,,,,
2018,June,30,12,High,25,27,female,2,female,female,0.37,0,1,0,0,,,,,
2018,June,30,12,High,26,28,female,2,female,female,0.41,0,1,0,0,,,,,
2018,June,30,12,High,23,26,female,3,female,female,0.33,0,1,0,0,,,,,
2018,June,30,12,High,30,32,female,2,male,male,0.61,1,0,0,0,,,,,
2018,June,30,12,High,33,34,male,1,male,male,0.7,1,0,0,0,,,,,
2018,June,30,12,High,28,32,female,4,female,female,0.61,0,1,0,0,,,,,
2018,June,30,12,High,29,34,female,5,male,male,0.75,1,0,0,0,,,,,
2018,June,30,12,High,31,35,female,4,female,female,0.77,0,1,0,0,,,,,
2018,June,30,12,High,26,28,female,2,female,female,0.39,0,1,0,0,,,,,
2018,June,30,12,High,29,29,female,0,female,female,0.52,0,1,0,0,,,,,
2018,June,30,12,High,27,27,female,0,female,female,0.37,0,1,0,0,,,,,
2018,June,30,12,High,29,31,female,2,female,female,0.58,0,1,0,0,,,,,
2018,June,30,13,Low,NA,10,NA,NA,immature,immature,0.04,0,0,0,1,,,,,
2018,June,30,13,Low,25,28,female,3,female,female,0.4,0,1,0,0,,,,,
2018,June,30,13,Low,29,36,female,7,male,male,0.77,1,0,0,0,,,,,
2018,June,30,13,Low,25,26,female,1,female,female,0.33,0,1,0,0,,,,,
2018,June,30,13,Low,26,29,female,3,female,female,0.46,0,1,0,0,,,,,
2018,June,30,13,Low,29,31,female,2,female,female,0.58,0,1,0,0,,,,,
2018,June,30,13,Low,28,31,female,3,female,female,0.49,0,1,0,0,,,,,
2018,June,30,13,Low,27,28,female,1,female,female,0.45,0,1,0,0,,,,,
2018,June,30,13,Low,26,29,female,3,female,female,0.43,0,1,0,0,,,,,
2018,June,30,13,Low,21,26,female,5,female,female,0.32,0,1,0,0,,,,,
2018,June,30,13,Low,25,29,female,4,female,female,0.5,0,1,0,0,,,,,
2018,June,30,13,Low,25,29,female,4,female,female,0.44,0,1,0,0,,,,,
2018,June,30,13,Low,27,29,female,2,female,female,0.49,0,1,0,0,,,,,
2018,June,30,13,Low,30,35,female,5,transitional,female,0.83,0,0,1,0,,,,,
2018,June,30,14,Medium,NA,14,NA,NA,immature,immature,0.06,0,0,0,1,,,,,
2018,June,30,14,Medium,24,26,female,2,female,female,0.34,0,1,0,0,,,,,
2018,June,30,14,Medium,30,36,female,6,male,male,0.88,1,0,0,0,,,,,
2018,June,30,14,Medium,33,37,male,4,male,male,0.93,1,0,0,0,,,,,
2018,June,30,14,Medium,33,35,male,2,male,male,0.85,1,0,0,0,,,,,
2018,June,30,14,Medium,28,30,female,2,female,female,0.54,0,1,0,0,,,,,
2018,June,30,14,Medium,26,28,female,2,male,male,0.4,1,0,0,0,,,,,
2018,June,30,14,Medium,29,31,female,2,female,female,0.49,0,1,0,0,,,,,
2018,June,30,14,Medium,29,31,female,2,female,female,0.56,0,1,0,0,,,,,
2018,June,30,14,Medium,25,28,female,3,female,female,0.4,0,1,0,0,,,,,
2018,June,30,14,Medium,31,34,female,3,female,female,0.72,0,1,0,0,,,,,
2018,June,30,14,Medium,26,31,female,5,female,female,0.57,0,1,0,0,,,,,
2018,June,30,14,Medium,26,27,female,1,female,female,0.33,0,1,0,0,,,,,
2018,June,30,14,Medium,26,26,female,0,female,female,0.37,0,1,0,0,,,,,
2018,June,30,14,Medium,24,27,female,3,female,female,0.34,0,1,0,0,,,,,
2018,June,30,14,Medium,27,30,female,3,female,female,0.47,0,1,0,0,,,,,
2018,June,30,14,Medium,25,26,female,1,female,female,0.35,0,1,0,0,,,,,
2018,June,30,14,Medium,28,29,female,1,female,female,0.53,0,1,0,0,,,,,
2018,June,30,14,Medium,25,26,female,1,female,female,0.33,0,1,0,0,,,,,
2018,June,30,15,Low,27,34,female,7,male,male,0.73,1,0,0,0,,,,,
2018,June,30,15,Low,31,34,female,3,male,male,0.74,1,0,0,0,,,,,
2018,June,30,15,Low,24,27,female,3,female,female,0.37,0,1,0,0,,,,,
2018,June,30,15,Low,23,26,female,3,female,female,0.34,0,1,0,0,,,,,
2018,June,30,15,Low,30,32,female,2,female,female,0.6,0,1,0,0,,,,,
2018,June,30,15,Low,25,28,female,3,female,female,0.45,0,1,0,0,,,,,
2018,June,30,15,Low,31,31,female,0,female,female,0.58,0,1,0,0,,,,,
2018,June,30,15,Low,33,36,male,3,male,male,0.83,1,0,0,0,,,,,
2018,June,30,15,Low,41,41,male,0,male,male,1.1,1,0,0,0,,,,,
2018,June,30,16,High,33,33,male,0,male,male,0.63,1,0,0,0,,,,,
2018,June,30,16,High,27,30,female,3,female,female,0.5,0,1,0,0,,,,,
2018,June,30,16,High,25,28,female,3,female,female,0.38,0,1,0,0,,,,,
2018,June,30,16,High,NA,19,NA,NA,immature,immature,0.12,0,0,0,1,,,,,
2018,June,30,16,High,26,30,female,4,female,female,0.57,0,1,0,0,,,,,
2018,June,30,16,High,25,28,female,3,female,female,0.41,0,1,0,0,,,,,
2018,June,30,16,High,23,26,female,3,female,female,0.33,0,1,0,0,,,,,
2018,June,30,16,High,27,33,female,6,transitional,female,0.7,0,0,1,0,,,,,
2018,June,30,16,High,26,28,female,2,female,female,0.43,0,1,0,0,,,,,
2018,June,30,16,High,28,31,female,3,female,female,0.52,0,1,0,0,,,,,
2018,June,30,17,Medium,28,30,female,2,female,female,0.5,0,1,0,0,,,,,
