Year,Trial,Trial.duration,Reef,Deployment.day,Treatment,Initial.size,Final.size,Initial.sex,Growth,Final.sex,Final.sex.female.transitional.equals.female,final.Weight.g,Male,Female,Transitional,Immature
2018,4,30,1,A,Low,20,24,female,4,male,male,0.24,1,0,0,0
2018,4,30,2,A,High,24,26,female,2,female,female,0.32,0,1,0,0
2018,4,30,2,A,High,23,26,female,3,female,female,0.32,0,1,0,0
2018,4,30,2,A,High,29,33,female,4,female,female,0.66,0,1,0,0
2018,4,30,2,A,High,NA,16,NA,NA,immature,immature,0.07,0,0,0,1
2018,4,30,2,A,High,NA,17,NA,NA,immature,immature,0.07,0,0,0,1
2018,4,30,3,A,Medium,28,33,female,5,female,female,0.68,0,1,0,0
2018,4,30,3,A,Medium,26,30,female,4,male,male,0.53,1,0,0,0
2018,4,30,3,A,Medium,NA,11,NA,NA,immature,immature,0.04,0,0,0,1
2018,4,30,4,A,High,NA,12,NA,NA,immature,immature,0.03,0,0,0,1
2018,4,30,4,A,High,31,32,female,1,transitional,female,0.61,0,0,1,0
2018,4,30,5,A,Medium,NA,13,NA,NA,immature,immature,0.04,0,0,0,1
2018,4,30,5,A,Medium,31,34,female,3,female,female,0.66,0,1,0,0
2018,4,30,5,A,Medium,26,29,female,3,female,female,0.48,0,1,0,0
2018,4,30,6,A,Low,NA,15,NA,NA,immature,immature,0.07,0,0,0,1
2018,4,30,6,A,Low,22,28,female,6,female,female,0.41,0,1,0,0
2018,4,30,6,A,Low,29,30,female,1,female,female,0.59,0,1,0,0
2018,4,30,6,A,Low,26,28,female,2,female,female,0.42,0,1,0,0
2018,4,30,7,A,Medium,NA,17,NA,NA,immature,immature,0.09,0,0,0,1
2018,4,30,7,A,Medium,NA,11,NA,NA,immature,immature,0.05,0,0,0,1
2018,4,30,7,A,Medium,31,34,female,3,male,male,0.77,1,0,0,0
2018,4,30,7,A,Medium,31,34,female,3,transitional,female,0.68,0,0,1,0
2018,4,30,8,A,High,NA,10,NA,NA,immature,immature,0.02,0,0,0,1
2018,4,30,8,A,High,NA,11,NA,NA,immature,immature,0.03,0,0,0,1
2018,4,30,8,A,High,NA,12,NA,NA,immature,immature,0.04,0,0,0,1
2018,4,30,8,A,High,26,29,female,3,female,female,0.57,0,1,0,0
2018,4,30,8,A,High,23,26,female,3,male,male,0.32,1,0,0,0
2018,4,30,8,A,High,30,33,female,3,transitional,female,0.61,0,0,1,0
2018,4,30,9,A,Low,NA,13,NA,NA,immature,immature,0.04,0,0,0,1
2018,4,30,9,A,Low,NA,12,NA,NA,immature,immature,0.04,0,0,0,1
2018,4,30,9,A,Low,26,26,female,0,female,female,0.36,0,1,0,0
2018,4,30,9,A,Low,27,30,female,3,transitional,female,0.55,0,0,1,0
2018,4,30,10,B,Medium,29,31,female,2,female,female,0.58,0,1,0,0
2018,4,30,10,B,Medium,26,28,female,2,female,female,0.49,0,1,0,0
2018,4,30,10,B,Medium,26,28,female,2,male,male,0.4,1,0,0,0
2018,4,30,10,B,Medium,28,30,female,2,female,female,0.5,0,1,0,0
2018,4,30,11,B,Low,NA,18,NA,NA,immature,immature,0.11,0,0,0,1
2018,4,30,11,B,Low,NA,10,NA,NA,immature,immature,0.03,0,0,0,1
2018,4,30,11,B,Low,32,32,male,0,female,female,0.6,0,1,0,0
2018,4,30,11,B,Low,23,26,female,3,female,female,0.37,0,1,0,0
2018,4,30,11,B,Low,27,29,female,2,female,female,0.46,0,1,0,0
2018,4,30,11,B,Low,37,38,male,1,male,male,0.98,1,0,0,0
2018,4,30,11,B,Low,33,38,male,5,male,male,1,1,0,0,0
2018,4,30,11,B,Low,31,37,female,6,male,male,0.91,1,0,0,0
2018,4,30,11,B,Low,26,30,female,4,male,male,0.57,1,0,0,0
2018,4,30,11,B,Low,27,29,female,2,female,female,0.52,0,1,0,0
2018,4,30,11,B,Low,28,31,female,3,female,female,0.6,0,1,0,0
2018,4,30,11,B,Low,23,26,female,3,female,female,0.4,0,1,0,0
2018,4,30,11,B,Low,26,28,female,2,female,female,0.46,0,1,0,0
2018,4,30,11,B,Low,30,37,female,7,male,male,0.98,1,0,0,0
2018,4,30,11,B,Low,29,30,female,1,female,female,0.53,0,1,0,0
2018,4,30,11,B,Low,24,28,female,4,female,female,0.43,0,1,0,0
2018,4,30,11,B,Low,31,34,female,3,female,female,0.76,0,1,0,0
2018,4,30,12,B,High,NA,10,NA,NA,immature,immature,0.05,0,0,0,1
2018,4,30,12,B,High,25,27,female,2,female,female,0.36,0,1,0,0
2018,4,30,12,B,High,25,27,female,2,female,female,0.37,0,1,0,0
