year,trial,trial.duration.days,reef,treatment,initial.size,final.size,initial.sex,growth,final.sex,weight,gravid,Sex.change,Male,Female,Transitional,Immature,notes,"total recollections (out of 360 for T4 and T5 ,out of 400 for T6)",
2018,June,30,1,Low,20,24,F,4,M,0.24,NA,1,1,0,0,0,,143,0.397222222
2018,June,30,2,High,24,26,F,2,F,0.32,2,0,0,1,0,0,,,
2018,June,30,2,High,23,26,F,3,F,0.32,0,0,0,1,0,0,,,
2018,June,30,2,High,29,33,F,4,F,0.66,0,0,0,1,0,0,,,
2018,June,30,2,High,NA,16,NA,#VALUE!,I,0.07,NA,NA,0,0,0,1,,,
2018,June,30,2,High,NA,17,NA,#VALUE!,I,0.07,NA,NA,0,0,0,1,,,
2018,June,30,3,Medium,28,33,F,5,F,0.68,0,0,0,1,0,0,,,
2018,June,30,3,Medium,26,30,F,4,M,0.53,NA,1,1,0,0,0,,,
2018,June,30,3,Medium,NA,11,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,June,30,4,High,NA,12,NA,#VALUE!,I,0.03,NA,NA,0,0,0,1,,,
2018,June,30,4,High,31,32,F,1,T,0.61,NA,1,0,0,1,0,,,
2018,June,30,5,Medium,NA,13,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,June,30,5,Medium,31,34,F,3,F,0.66,0,0,0,1,0,0,,,
2018,June,30,5,Medium,26,29,F,3,F,0.48,0,0,0,1,0,0,,,
2018,June,30,6,Low,NA,15,NA,#VALUE!,I,0.07,NA,NA,0,0,0,1,,,
2018,June,30,6,Low,22,28,F,6,F,0.41,1,0,0,1,0,0,,,
2018,June,30,6,Low,29,30,F,1,F,0.59,3,0,0,1,0,0,,,
2018,June,30,6,Low,26,28,F,2,F,0.42,3,0,0,1,0,0,,,
2018,June,30,7,Medium,NA,17,NA,#VALUE!,I,0.09,NA,NA,0,0,0,1,,,
2018,June,30,7,Medium,NA,11,NA,#VALUE!,I,0.05,NA,NA,0,0,0,1,,,
2018,June,30,7,Medium,31,34,F,3,M,0.77,NA,1,1,0,0,0,,,
2018,June,30,7,Medium,31,34,F,3,T,0.68,NA,1,0,0,1,0,,,
2018,June,30,8,High,NA,10,NA,#VALUE!,I,0.02,NA,NA,0,0,0,1,,,
2018,June,30,8,High,NA,11,NA,#VALUE!,I,0.03,NA,NA,0,0,0,1,,,
2018,June,30,8,High,NA,12,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,June,30,8,High,26,29,F,3,F,0.57,3,0,0,1,0,0,,,
2018,June,30,8,High,23,26,F,3,M,0.32,NA,1,1,0,0,0,,,
2018,June,30,8,High,30,33,F,3,T,0.61,NA,1,0,0,1,0,,,
2018,June,30,9,Low,NA,13,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,June,30,9,Low,NA,12,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,June,30,9,Low,26,26,F,0,F,0.36,0,0,0,1,0,0,,,
2018,June,30,9,Low,27,30,F,3,T,0.55,NA,1,0,0,1,0,,,
2018,June,30,10,Medium,29,31,F,2,F,0.58,2,0,0,1,0,0,,,
2018,June,30,10,Medium,26,28,F,2,F,0.49,1,0,0,1,0,0,,,
2018,June,30,10,Medium,26,28,F,2,M,0.4,NA,1,1,0,0,0,,,
2018,June,30,10,Medium,28,30,F,2,F,0.5,1,0,0,1,0,0,,,
2018,June,30,11,Low,NA,18,NA,#VALUE!,I,0.11,NA,NA,0,0,0,1,,,
2018,June,30,11,Low,NA,10,NA,#VALUE!,I,0.03,NA,NA,0,0,0,1,,,
2018,June,30,11,Low,32,32,M,0,F,0.6,0,1,0,1,0,0,,,
2018,June,30,11,Low,23,26,F,3,F,0.37,1,0,0,1,0,0,,,
2018,June,30,11,Low,27,29,F,2,F,0.46,1,0,0,1,0,0,,,
2018,June,30,11,Low,37,38,M,1,M,0.98,NA,0,1,0,0,0,,,
2018,June,30,11,Low,33,38,M,5,M,1,NA,0,1,0,0,0,,,
2018,June,30,11,Low,31,37,F,6,M,0.91,NA,1,1,0,0,0,,,
2018,June,30,11,Low,26,30,F,4,M,0.57,NA,1,1,0,0,0,,,
2018,June,30,11,Low,27,29,F,2,F,0.52,1,0,0,1,0,0,,,
2018,June,30,11,Low,28,31,F,3,F,0.6,2,0,0,1,0,0,,,
2018,June,30,11,Low,23,26,F,3,F,0.4,2,0,0,1,0,0,,,
2018,June,30,11,Low,26,28,F,2,F,0.46,0,0,0,1,0,0,,,
2018,June,30,11,Low,30,37,F,7,M,0.98,NA,1,1,0,0,0,,,
2018,June,30,11,Low,29,30,F,1,F,0.53,1,0,0,1,0,0,,,
2018,June,30,11,Low,24,28,F,4,F,0.43,1,0,0,1,0,0,,,
2018,June,30,11,Low,31,34,F,3,F,0.76,2,0,0,1,0,0,,,
2018,June,30,12,High,NA,10,NA,#VALUE!,I,0.05,NA,NA,0,0,0,1,,,
2018,June,30,12,High,25,27,F,2,F,0.36,0,0,0,1,0,0,,,
2018,June,30,12,High,25,27,F,2,F,0.37,0,0,0,1,0,0,,,
2018,June,30,12,High,26,28,F,2,F,0.41,0,0,0,1,0,0,,,
2018,June,30,12,High,23,26,F,3,F,0.33,0,0,0,1,0,0,,,
2018,June,30,12,High,30,32,F,2,M,0.61,NA,1,1,0,0,0,,,
2018,June,30,12,High,33,34,M,1,M,0.7,NA,0,1,0,0,0,,,
2018,June,30,12,High,28,32,F,4,F,0.61,0,0,0,1,0,0,,,
2018,June,30,12,High,29,34,F,5,M,0.75,NA,1,1,0,0,0,,,
2018,June,30,12,High,31,35,F,4,F,0.77,0,0,0,1,0,0,,,
2018,June,30,12,High,26,28,F,2,F,0.39,0,0,0,1,0,0,,,
2018,June,30,12,High,29,29,F,0,F,0.52,3,0,0,1,0,0,,,
2018,June,30,12,High,27,27,F,0,F,0.37,0,0,0,1,0,0,,,
2018,June,30,12,High,29,31,F,2,F,0.58,1,0,0,1,0,0,,,
2018,June,30,13,Low,NA,10,NA,#VALUE!,I,0.04,NA,NA,0,0,0,1,,,
2018,June,30,13,Low,25,28,F,3,F,0.4,0,0,0,1,0,0,Fuzz Face,,
2018,June,30,13,Low,29,36,F,7,M,0.77,NA,1,1,0,0,0,,,
2018,June,30,13,Low,25,26,F,1,F,0.33,0,0,0,1,0,0,,,
2018,June,30,13,Low,26,29,F,3,F,0.46,0,0,0,1,0,0,,,
2018,June,30,13,Low,29,31,F,2,F,0.58,0,0,0,1,0,0,,,
2018,June,30,13,Low,28,31,F,3,F,0.49,1,0,0,1,0,0,,,
2018,June,30,13,Low,27,28,F,1,F,0.45,2,0,0,1,0,0,,,
2018,June,30,13,Low,26,29,F,3,F,0.43,0,0,0,1,0,0,,,
2018,June,30,13,Low,21,26,F,5,F,0.32,1,0,0,1,0,0,,,
2018,June,30,13,Low,25,29,F,4,F,0.5,2,0,0,1,0,0,,,
2018,June,30,13,Low,25,29,F,4,F,0.44,0,0,0,1,0,0,,,
2018,June,30,13,Low,27,29,F,2,F,0.49,2,0,0,1,0,0,,,
2018,June,30,13,Low,30,35,F,5,T,0.83,NA,1,0,0,1,0,,,
2018,June,30,14,Medium,NA,14,NA,#VALUE!,I,0.06,NA,NA,0,0,0,1,,,
2018,June,30,14,Medium,24,26,F,2,F,0.34,0,0,0,1,0,0,,,
2018,June,30,14,Medium,30,36,F,6,M,0.88,NA,1,1,0,0,0,,,
2018,June,30,14,Medium,33,37,M,4,M,0.93,NA,0,1,0,0,0,,,
2018,June,30,14,Medium,33,35,M,2,M,0.85,NA,0,1,0,0,0,,,
2018,June,30,14,Medium,28,30,F,2,F,0.54,0,0,0,1,0,0,,,
2018,June,30,14,Medium,26,28,F,2,M,0.4,NA,1,1,0,0,0,,,
2018,June,30,14,Medium,29,31,F,2,F,0.49,0,0,0,1,0,0,,,
2018,June,30,14,Medium,29,31,F,2,F,0.56,0,0,0,1,0,0,,,
2018,June,30,14,Medium,25,28,F,3,F,0.4,0,0,0,1,0,0,,,
2018,June,30,14,Medium,31,34,F,3,F,0.72,0,0,0,1,0,0,,,
2018,June,30,14,Medium,26,31,F,5,F,0.57,1,0,0,1,0,0,,,
2018,June,30,14,Medium,26,27,F,1,F,0.33,0,0,0,1,0,0,,,
