Trial,Reef,Treatment,Tag,Final.Size,Initial.Sex,Growth,Sex,Wet.Weight,Sex.change,Male,Female
4,1,Low,20,24,female,4,male,0.24,1,1,0
4,2,High,24,26,female,2,female,0.32,0,0,1
4,2,High,23,26,female,3,female,0.32,0,0,1
4,2,High,29,33,female,4,female,0.66,0,0,1
4,2,High,NA,16,NA,NA,immature,0.07,NA,0,0
4,2,High,NA,17,NA,NA,immature,0.07,NA,0,0
4,3,Medium,28,33,female,5,female,0.68,0,0,1
4,3,Medium,26,30,female,4,male,0.53,1,1,0
4,3,Medium,NA,11,NA,NA,immature,0.04,NA,0,0
4,4,High,NA,12,NA,NA,immature,0.03,NA,0,0
4,4,High,31,32,female,1,transitional,0.61,1,0,0
4,5,Medium,NA,13,NA,NA,immature,0.04,NA,0,0
4,5,Medium,31,34,female,3,female,0.66,0,0,1
4,5,Medium,26,29,female,3,female,0.48,0,0,1
4,6,Low,NA,15,NA,NA,immature,0.07,NA,0,0
4,6,Low,22,28,female,6,female,0.41,0,0,1
4,6,Low,29,30,female,1,female,0.59,0,0,1
4,6,Low,26,28,female,2,female,0.42,0,0,1
4,7,Medium,NA,17,NA,NA,immature,0.09,NA,0,0
4,7,Medium,NA,11,NA,NA,immature,0.05,NA,0,0
4,7,Medium,31,34,female,3,male,0.77,1,1,0
4,7,Medium,31,34,female,3,transitional,0.68,1,0,0
4,8,High,NA,10,NA,NA,immature,0.02,NA,0,0
4,8,High,NA,11,NA,NA,immature,0.03,NA,0,0
4,8,High,NA,12,NA,NA,immature,0.04,NA,0,0
4,8,High,26,29,female,3,female,0.57,0,0,1
4,8,High,23,26,female,3,male,0.32,1,1,0
4,8,High,30,33,female,3,transitional,0.61,1,0,0
4,9,Low,NA,13,NA,NA,immature,0.04,NA,0,0
4,9,Low,NA,12,NA,NA,immature,0.04,NA,0,0
4,9,Low,26,26,female,0,female,0.36,0,0,1
4,9,Low,27,30,female,3,transitional,0.55,1,0,0
4,10,Medium,29,31,female,2,female,0.58,0,0,1
4,10,Medium,26,28,female,2,female,0.49,0,0,1
4,10,Medium,26,28,female,2,male,0.4,1,1,0
4,10,Medium,28,30,female,2,female,0.5,0,0,1
4,11,Low,NA,18,NA,NA,immature,0.11,NA,0,0
4,11,Low,NA,10,NA,NA,immature,0.03,NA,0,0
4,11,Low,32,32,male,0,female,0.6,1,0,1
4,11,Low,23,26,female,3,female,0.37,0,0,1
4,11,Low,27,29,female,2,female,0.46,0,0,1
4,11,Low,37,38,male,1,male,0.98,0,1,0
4,11,Low,33,38,male,5,male,1,0,1,0
4,11,Low,31,37,female,6,male,0.91,1,1,0
4,11,Low,26,30,female,4,male,0.57,1,1,0
4,11,Low,27,29,female,2,female,0.52,0,0,1
4,11,Low,28,31,female,3,female,0.6,0,0,1
4,11,Low,23,26,female,3,female,0.4,0,0,1
4,11,Low,26,28,female,2,female,0.46,0,0,1
4,11,Low,30,37,female,7,male,0.98,1,1,0
4,11,Low,29,30,female,1,female,0.53,0,0,1
4,11,Low,24,28,female,4,female,0.43,0,0,1
4,11,Low,31,34,female,3,female,0.76,0,0,1
4,12,High,NA,10,NA,NA,immature,0.05,NA,0,0
4,12,High,25,27,female,2,female,0.36,0,0,1
4,12,High,25,27,female,2,female,0.37,0,0,1
4,12,High,26,28,female,2,female,0.41,0,0,1
4,12,High,23,26,female,3,female,0.33,0,0,1
4,12,High,30,32,female,2,male,0.61,1,1,0
4,12,High,33,34,male,1,male,0.7,0,1,0
4,12,High,28,32,female,4,female,0.61,0,0,1
4,12,High,29,34,female,5,male,0.75,1,1,0
4,12,High,31,35,female,4,female,0.77,0,0,1
4,12,High,26,28,female,2,female,0.39,0,0,1
4,12,High,29,29,female,0,female,0.52,0,0,1
4,12,High,27,27,female,0,female,0.37,0,0,1
4,12,High,29,31,female,2,female,0.58,0,0,1
4,13,Low,NA,10,NA,NA,immature,0.04,NA,0,0
4,13,Low,25,28,female,3,female,0.4,0,0,1
4,13,Low,29,36,female,7,male,0.77,1,1,0
4,13,Low,25,26,female,1,female,0.33,0,0,1
4,13,Low,26,29,female,3,female,0.46,0,0,1
4,13,Low,29,31,female,2,female,0.58,0,0,1
4,13,Low,28,31,female,3,female,0.49,0,0,1
4,13,Low,27,28,female,1,female,0.45,0,0,1
4,13,Low,26,29,female,3,female,0.43,0,0,1
