Reef #,Treatment,Tag(mm),Final Size(mm),Change(mm),Sex,Gravid,Wet Weight(g),Notes,,,
1,low,20,24,4,M,NA,0.24,,,1,low
2,high,24,26,2,F,2,0.32,,,2,high
2,high,23,26,3,F,0,0.32,,,3,med
2,high,29,33,4,F,0,0.66,,,4,high
2,high,NA,16,NA,I,NA,0.07,,,5,med
2,high,NA,17,NA,I,NA,0.07,,,6,low
3,med,28,33,5,F,0,0.68,,,7,med
3,med,26,30,4,M,NA,0.53,,,8,high
3,med,NA,11,NA,I,NA,0.04,,,9,low
4,high,NA,12,NA,I,NA,0.03,,,10,med
4,high,31,32,1,T,NA,0.61,,,11,low
5,med,NA,13,NA,I,NA,0.04,,,12,high
5,med,31,34,3,F,0,0.66,,,13,low
5,med,26,29,3,F,0,0.48,,,14,med
6,low,NA,15,NA,I,NA,0.07,,,15,low
6,low,22,28,6,F,1,0.41,,,16,high
6,low,29,30,1,F,3,0.59,,,17,med
6,low,26,28,2,F,3,0.42,,,18,high
7,med,NA,17,NA,I,NA,0.09,,,,
7,med,NA,11,NA,I,NA,0.05,,,,
7,med,31,34,3,M,NA,0.77,,,,
7,med,31,34,3,T,NA,0.68,,,,
8,high,NA,10,NA,I,NA,0.02,,,,
8,high,NA,11,NA,I,NA,0.03,,,,
8,high,NA,12,NA,I,NA,0.04,,,,
8,high,26,29,3,F,3,0.57,,,,
8,high,23,26,3,M,NA,0.32,,,,
8,high,30,33,3,T,NA,0.61,,,,
9,low,NA,13,NA,I,NA,0.04,,,,
9,low,NA,12,NA,I,NA,0.04,,,,
9,low,26,26,0,F,0,0.36,Dead,,,
9,low,27,30,3,T,NA,0.55,,,,
10,med,29,31,2,F,2,0.58,,,,
10,med,26,28,2,F,1,0.49,,,,
10,med,26,28,2,M,NA,0.4,,,,
10,med,28,30,2,F,1,0.5,,,,
11,low,NA,18,NA,I,NA,0.11,,,,
11,low,NA,10,NA,I,NA,0.03,,,,
11,low,32,32,0,F,0,0.6,,,,
11,low,23,26,3,F,1,0.37,,,,
11,low,27,29,2,F,1,0.46,,,,
11,low,37,38,1,M,NA,0.98,,,,
11,low,33,38,5,M,NA,1,,,,
11,low,31,37,6,M,NA,0.91,,,,
11,low,26,30,4,M,NA,0.57,,,,
11,low,27,29,2,F,1,0.52,,,,
11,low,28,31,3,F,2,0.6,,,,
11,low,23,26,3,F,2,0.4,,,,
11,low,26,28,2,F,0,0.46,,,,
11,low,30,37,7,M,NA,0.98,,,,
11,low,29,30,1,F,1,0.53,,,,
11,low,24,28,4,F,1,0.43,,,,
11,low,31,34,3,F,2,0.76,,,,
12,high,NA,10,NA,I,NA,0.05,,,,
12,high,25,27,2,F,0,0.36,,,,
12,high,25,27,2,F,0,0.37,,,,
12,high,26,28,2,F,0,0.41,,,,
12,high,23,26,3,F,0,0.33,,,,
12,high,30,32,2,M,NA,0.61,,,,
12,high,33,34,1,M,NA,0.7,,,,
12,high,28,32,4,F,0,0.61,,,,
12,high,29,34,5,M,NA,0.75,,,,
12,high,31,35,4,F,0,0.77,,,,
12,high,26,28,2,F,0,0.39,,,,
12,high,29,29,0,F,3,0.52,,,,
12,high,27,27,0,F,0,0.37,,,,
12,high,29,31,2,F,1,0.58,,,,
13,low,NA,10,NA,I,NA,0.04,,,,
13,low,25,28,3,F,0,0.4,Fuzz Face,,,
13,low,29,36,7,M,NA,0.77,,,,
13,low,25,26,1,F,0,0.33,,,,
13,low,26,29,3,F,0,0.46,,,,
13,low,29,31,2,F,0,0.58,,,,
13,low,28,31,3,F,1,0.49,,,,
13,low,27,28,1,F,2,0.45,,,,
13,low,26,29,3,F,0,0.43,,,,
13,low,21,26,5,F,1,0.32,,,,
13,low,25,29,4,F,2,0.5,,,,
13,low,25,29,4,F,0,0.44,,,,
13,low,27,29,2,F,2,0.49,,,,
13,low,30,35,5,T,NA,0.83,,,,
14,med,NA,14,NA,I,NA,0.06,,,,
14,med,24,26,2,F,0,0.34,,,,
14,med,30,36,6,M,NA,0.88,,,,
14,med,33,37,4,M,NA,0.93,,,,
14,med,33,35,2,M,NA,0.85,,,,
14,med,28,30,2,F,0,0.54,,,,
14,med,26,28,2,M,NA,0.4,,,,
14,med,29,31,2,F,0,0.49,,,,
14,med,29,31,2,F,0,0.56,,,,
14,med,25,28,3,F,0,0.4,,,,
14,med,31,34,3,F,0,0.72,,,,
14,med,26,31,5,F,1,0.57,,,,
14,med,26,27,1,F,0,0.33,,,,
14,med,26,26,0,F,1,0.37,,,,
14,med,24,27,3,F,1,0.34,,,,
14,med,27,30,3,F,0,0.47,,,,
14,med,25,26,1,F,0,0.35,,,,
14,med,28,29,1,F,2,0.53,,,,
14,med,25,26,1,F,1,0.33,,,,
15,low,27,34,7,M,NA,0.73,,,,
15,low,31,34,3,M,NA,0.74,,,,
15,low,24,27,3,F,1,0.37,,,,
15,low,23,26,3,F,0,0.34,,,,
15,low,30,32,2,F,1,0.6,,,,
15,low,25,28,3,F,0,0.45,,,,
15,low,31,31,0,F,0,0.58,,,,
15,low,33,36,3,M,NA,0.83,,,,
15,low,41,41,0,M,NA,1.1,,,,
16,high,33,33,0,M,NA,0.63,,,,
16,high,27,30,3,F,0,0.5,,,,
16,high,25,28,3,F,0,0.38,,,,
16,high,NA,19,NA,I,NA,0.12,,,,
16,high,26,30,4,F,3,0.57,,,,
16,high,25,28,3,F,0,0.41,,,,
16,high,23,26,3,F,0,0.33,,,,
16,high,27,33,6,T,NA,0.7,,,,
16,high,26,28,2,F,0,0.43,,,,
16,high,28,31,3,F,0,0.52,,,,
17,med,28,30,2,F,2,0.5,,,,
17,med,33,36,3,M,NA,0.87,,,,
17,med,40,40,0,M,NA,0.9,,,,
17,med,31,36,5,M,NA,0.84,,,,
17,med,24,27,3,F,0,0.38,,,,
17,med,26,28,2,F,0,0.41,,,,
17,med,24,26,2,M,NA,0.27,,,,
17,med,25,26,1,F,0,0.33,,,,
17,med,23,26,3,F,0,0.28,,,,
17,med,27,29,2,F,3,0.44,,,,
17,med,29,31,2,F,0,0.53,,,,
17,med,30,31,1,F,0,0.54,,,,
17,med,28,31,3,F,0,0.53,,,,
17,med,26,29,3,F,3,0.46,,,,
17,med,29,31,2,F,0,0.52,,,,
17,med,30,32,2,M,NA,0.64,,,,
17,med,31,32,1,F,2,0.63,,,,
18,high,NA,10,NA,I,NA,0.04,,,,
18,high,NA,11,NA,I,NA,0.05,,,,
18,high,26,31,5,M,NA,0.53,,,,
18,high,24,27,3,F,0,0.37,,,,
18,high,29,32,3,M,NA,0.62,,,,
18,high,28,29,1,F,0,0.44,,,,
18,high,29,32,3,T,NA,0.57,,,,
