Trial,Reef,Treatment,Tag,Final.Size,Initial.Sex,Growth,Sex,Wet.Weight,Sex.change
4,1,low,20,24,female,4,male,0.24,1
4,2,high,24,26,female,2,female,0.32,0
4,2,high,23,26,female,3,female,0.32,0
4,2,high,29,33,female,4,female,0.66,0
4,2,high,NA,16,,NA,immature,0.07,NA
4,2,high,NA,17,,NA,immature,0.07,NA
4,3,med,28,33,female,5,female,0.68,0
4,3,med,26,30,female,4,male,0.53,1
4,3,med,NA,11,,NA,immature,0.04,NA
4,4,high,NA,12,,NA,immature,0.03,NA
4,4,high,31,32,female,1,transitional,0.61,1
4,5,med,NA,13,,NA,immature,0.04,NA
4,5,med,31,34,female,3,female,0.66,0
4,5,med,26,29,female,3,female,0.48,0
4,6,low,NA,15,,NA,immature,0.07,NA
4,6,low,22,28,female,6,female,0.41,0
4,6,low,29,30,female,1,female,0.59,0
4,6,low,26,28,female,2,female,0.42,0
4,7,med,NA,17,,NA,immature,0.09,NA
4,7,med,NA,11,,NA,immature,0.05,NA
4,7,med,31,34,female,3,male,0.77,1
4,7,med,31,34,female,3,transitional,0.68,1
4,8,high,NA,10,,NA,immature,0.02,NA
4,8,high,NA,11,,NA,immature,0.03,NA
4,8,high,NA,12,,NA,immature,0.04,NA
4,8,high,26,29,female,3,female,0.57,0
4,8,high,23,26,female,3,male,0.32,1
4,8,high,30,33,female,3,transitional,0.61,1
4,9,low,NA,13,,NA,immature,0.04,NA
4,9,low,NA,12,,NA,immature,0.04,NA
4,9,low,26,26,female,0,female,0.36,0
4,9,low,27,30,female,3,transitional,0.55,1
4,10,med,29,31,female,2,female,0.58,0
4,10,med,26,28,female,2,female,0.49,0
4,10,med,26,28,female,2,male,0.4,1
4,10,med,28,30,female,2,female,0.5,0
4,11,low,NA,18,,NA,immature,0.11,NA
4,11,low,NA,10,,NA,immature,0.03,NA
4,11,low,32,32,male,0,female,0.6,1
4,11,low,23,26,female,3,female,0.37,0
4,11,low,27,29,female,2,female,0.46,0
4,11,low,37,38,male,1,male,0.98,0
4,11,low,33,38,male,5,male,1,0
4,11,low,31,37,female,6,male,0.91,1
4,11,low,26,30,female,4,male,0.57,1
4,11,low,27,29,female,2,female,0.52,0
4,11,low,28,31,female,3,female,0.6,0
4,11,low,23,26,female,3,female,0.4,0
4,11,low,26,28,female,2,female,0.46,0
4,11,low,30,37,female,7,male,0.98,1
4,11,low,29,30,female,1,female,0.53,0
4,11,low,24,28,female,4,female,0.43,0
4,11,low,31,34,female,3,female,0.76,0
4,12,high,NA,10,,NA,immature,0.05,NA
4,12,high,25,27,female,2,female,0.36,0
4,12,high,25,27,female,2,female,0.37,0
4,12,high,26,28,female,2,female,0.41,0
4,12,high,23,26,female,3,female,0.33,0
4,12,high,30,32,female,2,male,0.61,1
4,12,high,33,34,male,1,male,0.7,0
4,12,high,28,32,female,4,female,0.61,0
4,12,high,29,34,female,5,male,0.75,1
4,12,high,31,35,female,4,female,0.77,0
4,12,high,26,28,female,2,female,0.39,0
4,12,high,29,29,female,0,female,0.52,0
4,12,high,27,27,female,0,female,0.37,0
4,12,high,29,31,female,2,female,0.58,0
4,13,low,NA,10,,NA,immature,0.04,NA
4,13,low,25,28,female,3,female,0.4,0
4,13,low,29,36,female,7,male,0.77,1
4,13,low,25,26,female,1,female,0.33,0
4,13,low,26,29,female,3,female,0.46,0
4,13,low,29,31,female,2,female,0.58,0
4,13,low,28,31,female,3,female,0.49,0
4,13,low,27,28,female,1,female,0.45,0
4,13,low,26,29,female,3,female,0.43,0
4,13,low,21,26,female,5,female,0.32,0
4,13,low,25,29,female,4,female,0.5,0
4,13,low,25,29,female,4,female,0.44,0
4,13,low,27,29,female,2,female,0.49,0
4,13,low,30,35,female,5,transitional,0.83,1
4,14,med,NA,14,,NA,immature,0.06,NA
4,14,med,24,26,female,2,female,0.34,0
4,14,med,30,36,female,6,male,0.88,1
4,14,med,33,37,male,4,male,0.93,0
4,14,med,33,35,male,2,male,0.85,0
4,14,med,28,30,female,2,female,0.54,0
4,14,med,26,28,female,2,male,0.4,1
4,14,med,29,31,female,2,female,0.49,0
4,14,med,29,31,female,2,female,0.56,0
4,14,med,25,28,female,3,female,0.4,0
4,14,med,31,34,female,3,female,0.72,0
4,14,med,26,31,female,5,female,0.57,0
4,14,med,26,27,female,1,female,0.33,0
4,14,med,26,26,female,0,female,0.37,0
4,14,med,24,27,female,3,female,0.34,0
4,14,med,27,30,female,3,female,0.47,0
4,14,med,25,26,female,1,female,0.35,0
4,14,med,28,29,female,1,female,0.53,0
4,14,med,25,26,female,1,female,0.33,0
4,15,low,27,34,female,7,male,0.73,1
4,15,low,31,34,female,3,male,0.74,1
4,15,low,24,27,female,3,female,0.37,0
4,15,low,23,26,female,3,female,0.34,0
4,15,low,30,32,female,2,female,0.6,0
4,15,low,25,28,female,3,female,0.45,0
4,15,low,31,31,female,0,female,0.58,0
4,15,low,33,36,male,3,male,0.83,0
4,15,low,41,41,male,0,male,1.1,0
4,16,high,33,33,male,0,male,0.63,0
4,16,high,27,30,female,3,female,0.5,0
4,16,high,25,28,female,3,female,0.38,0
4,16,high,NA,19,,NA,immature,0.12,NA
4,16,high,26,30,female,4,female,0.57,0
4,16,high,25,28,female,3,female,0.41,0
4,16,high,23,26,female,3,female,0.33,0
4,16,high,27,33,female,6,transitional,0.7,1
4,16,high,26,28,female,2,female,0.43,0
4,16,high,28,31,female,3,female,0.52,0
4,17,med,28,30,female,2,female,0.5,0
4,17,med,33,36,male,3,male,0.87,0
4,17,med,40,40,male,0,male,0.9,0
4,17,med,31,36,female,5,male,0.84,1
4,17,med,24,27,female,3,female,0.38,0
4,17,med,26,28,female,2,female,0.41,0
4,17,med,24,26,female,2,male,0.27,1
4,17,med,25,26,female,1,female,0.33,0
4,17,med,23,26,female,3,female,0.28,0
4,17,med,27,29,female,2,female,0.44,0
4,17,med,29,31,female,2,female,0.53,0
4,17,med,30,31,female,1,female,0.54,0
4,17,med,28,31,female,3,female,0.53,0
4,17,med,26,29,female,3,female,0.46,0
4,17,med,29,31,female,2,female,0.52,0
4,17,med,30,32,female,2,male,0.64,1
4,17,med,31,32,female,1,female,0.63,0
4,18,high,NA,10,,NA,immature,0.04,NA
4,18,high,NA,11,,NA,immature,0.05,NA
4,18,high,26,31,female,5,male,0.53,1
4,18,high,24,27,female,3,female,0.37,0
4,18,high,29,32,female,3,male,0.62,1
4,18,high,28,29,female,1,female,0.44,0
4,18,high,29,32,female,3,transitional,0.57,1
Trial,Reef,,Tag,Size,Initial.sex,Growth,Sex,Weight,Sex.Change
5,1,high,27,29,female,2,male,0.4,1
5,1,high,30,30,female,0,female,0.5,0
5,1,high,34,34,male,0,male,0.65,0
5,1,high,NA,21,NA,,female,0.18,NA
5,1,high,NA,16,NA,,immature,NA,NA
5,2,low,22,27,female,5,female,0.36,0
5,2,low,28,28,female,0,female,0.48,0
5,2,low,33,36,male,3,male,0.76,0
5,2,low,30,31,female,1,female,0.53,0
5,2,low,33,35,male,2,female,0.82,1
5,2,low,29,31,female,2,male,0.57,1
5,2,low,25,26,female,1,transitional,0.32,1
5,2,low,27,29,female,2,female,0.43,0
5,2,low,28,30,female,2,female,0.54,0
5,2,low,30,32,female,2,female,0.49,0
5,3,med,23,27,female,4,female,0.38,0
5,3,med,28,29,female,1,female,0.48,0
5,3,med,22,26,female,4,female,0.33,0
5,3,med,34,36,male,2,male,0.91,0
5,3,med,33,35,male,2,female,0.69,1
5,3,med,31,34,female,3,female,0.82,0
5,3,med,30,31,female,1,female,0.59,0
5,4,low,NA,10,NA,,immature,NA,NA
5,4,low,NA,23,NA,,immature,0.23,NA
5,4,low,28,29,female,1,female,0.4,0
5,4,low,26,29,female,3,female,0.38,0
5,4,low,25,27,female,2,male,0.35,1
5,4,low,30,31,female,1,male,0.52,1
5,4,low,23,26,female,3,female,0.35,0
5,5,med,30,33,female,3,male,0.87,1
5,5,med,31,32,female,1,female,0.65,0
5,5,med,29,31,female,2,female,0.5,0
5,5,med,29,31,female,2,female,0.54,0
5,5,med,28,28,female,0,female,0.51,0
5,5,med,32,35,male,3,transitional,0.74,1
5,5,med,29,31,female,2,male,0.83,1
5,6,high,30,32,female,2,transitional,0.56,1
5,6,high,NA,20,NA,,female,0.17,NA
5,6,high,NA,14,NA,,immature,NA,NA
5,6,high,28,29,female,1,female,0.42,0
5,7,med,20,26,female,6,female,0.32,0
5,7,med,22,26,female,4,female,0.29,0
5,7,med,35,36,male,1,male,0.82,0
5,7,med,32,36,male,4,male,0.89,0
5,7,med,29,34,female,5,male,0.69,1
5,7,med,28,29,female,1,female,0.45,0
