Sex,Size
Female,26
Female,29
Female,24
Female,NA
Female,31
Female,32
Female,30
Female,29
Female,28
Female,30
Female,25
Female,30
Female,26
Female,31
Female,30
Female,31
Female,34
Female,29
Female,31
Female,31
Female,31
Female,34
Female,31
Female,31
Female,32
Female,31
Female,27
Female,31
Female,31
Female,31
Female,32
Female,30
Female,26
Female,30
Female,26
Female,29
Female,31
Female,31
Female,30
Female,28
Female,31
Female,31
Female,25
Female,28
Female,29
Female,20
Female,29
Female,29
Female,27
Female,28
Female,28
Female,28
Female,28
Female,25
Female,31
Female,27
Female,29
Female,30
Female,31
Female,28
Female,30
Female,23
Female,28
Female,31
Female,28
Female,27
Female,29
Female,29
Female,28
Female,26
Female,23
Female,24
Female,24
Female,27
Female,26
Female,27
Female,27
Female,29
Female,29
Female,29
Female,31
Female,30
Female,24
Female,29
Female,31
Female,29
Female,32
Female,31
Female,27
Female,32
Female,23
Female,24
Female,27
Female,26
Female,24
Female,27
Female,30
Female,29
Female,28
Female,27
Female,25
Female,33
Female,27
Female,27
Female,29
Female,28
Female,29
Female,30
Female,27
Female,31
Female,28
Female,24
Female,29
Female,27
Female,29
Female,32
Female,23
Female,27
Female,30
Female,26
Female,26
Female,24
Female,29
Female,23
Female,28
Female,26
Female,28
Female,31
Female,31
Female,23
Female,23
Female,26
Female,26
Female,30
Female,28
Female,23
Female,23
Female,25
Female,24
Female,24
Female,30
Female,25
Female,32
Female,30
Female,32
Female,26
Female,28
Female,31
Female,29
Female,30
Female,30
Female,21
Female,26
Female,29
Female,30
Female,29
Female,30
Female,24
Female,28
Female,33
Female,25
Female,29
Female,29
Female,29
Female,27
Female,34
Female,27
Female,26
Female,31
Female,31
Female,28
Female,28
Female,25
Female,28
Female,30
Female,31
Female,31
Female,28
Female,30
Female,29
Female,30
Female,29
Female,28
Female,30
Female,29
Female,32
Female,26
Female,29
Female,24
Female,32
Female,29
Female,32
Female,24
Female,29
Female,31
Female,25
Female,26
Female,31
Female,30
Female,24
Female,31
Female,31
Female,28
Female,29
Female,34
Female,28
Female,30
Female,26
Female,32
Female,34
Female,NA
Female,28
Female,22
Female,31
Female,33
Female,29
Female,30
Female,30
Female,28
Female,26
Female,33
Female,30
Female,29
Female,30
Female,22
Female,28
Female,26
Female,32
Female,25
Female,29
Female,29
Female,27
Female,27
Female,25
Female,29
Female,30
Female,26
Female,30
Female,28
Female,30
Female,28
Female,31
Female,21
Female,31
Female,29
Female,31
Female,32
Female,30
Female,32
Female,30
Female,29
Female,22
Female,32
Female,29
Female,31
Female,31
Female,31
Female,31
Female,28
Female,31
Female,26
Female,24
Female,22
Female,31
Female,27
Female,31
Female,31
Female,30
Female,27
Female,33
Female,28
Female,23
Female,29
Female,27
Female,28
Female,32
Female,22
Female,29
Female,31
Female,29
Female,30
Female,31
Female,33
Female,23
Female,33
Female,28
Female,33
Female,31
Female,31
Female,30
Female,30
Female,34
Female,27
Female,32
Female,27
Female,27
Male,31
Male,32
Male,31
Male,21
Male,30
Male,21
Male,27
Male,23
Male,32
Male,31
Male,28
Male,37
Male,25
Male,33
Male,34
Male,27
Male,34
Male,34
Male,36
Male,34
Male,30
Male,43
Male,32
Male,38
Male,23
Male,32
Male,26
Male,32
Male,22
Male,21
Male,39
Male,32
Male,24
Male,23
Male,23
Male,20
Male,26
Male,23
Male,33
Male,25
Male,25
Male,31
Male,24
Male,31
Male,41
Male,31
Male,30
Male,38
Male,36
Male,24
Male,28
Male,31
Male,32
Male,36
Male,30
Male,NA
Male,22
Male,25
Male,37
Male,30
Male,34
Male,24
Male,36
Male,30
Male,26
Male,31
Male,26
Male,33
Male,27
