trial,reef,treatment,deployment.day,num.female,num.male,num.immature,num.trans,total.recollection,prop.total.recollected,prop.female.recollected,prop.male.recollected,final.prop.female,final.prop.male,final.prop.trans,total.female.biomass,total.male.biomass,total.trans.biomass
4,1,Low,A,0,1,0,0,1,0.05,0.00,0.2,0,1,0,0,0.24,0
4,2,High,A,3,0,2,0,3,0.15,0.20,0,1,0,0,1.3,0,0
4,3,Medium,A,1,1,1,0,2,0.1,0.07,0.2,0.5,0.5,0,0.68,0.53,0
4,4,High,A,0,0,1,1,1,0.05,0.00,0,0,0,1,0,0,0.61
4,5,Medium,A,2,0,1,0,2,0.1,0.13,0,1,0,0,1.14,0,0.68
4,6,Low,A,3,0,1,0,3,0.15,0.20,0,1,0,0,1.42,0,0
4,7,Medium,A,0,1,2,1,2,0.1,0.00,0.2,0,0.5,0.5,0,0.77,0
4,8,High,A,1,1,3,1,3,0.15,0.07,0.2,0.333333333,0.333333333,0.333333333,0.57,0.32,0.61
4,9,Low,A,1,0,2,1,2,0.1,0.07,0,0.5,0,0.5,0.36,0,0.55
4,10,Medium,B,3,1,0,0,4,0.2,0.20,0.2,0.75,0.25,0,1.57,0.4,0
4,11,Low,B,10,5,2,0,15,0.75,0.67,1,0.666666667,0.333333333,0,5.13,4.44,0
4,12,High,B,10,3,1,0,13,0.65,0.67,0.6,0.769230769,0.230769231,0,4.71,2.06,0
4,13,Low,B,11,1,1,1,13,0.65,0.73,0.2,0.846153846,0.076923077,0.076923077,4.89,0.77,0.83
4,14,Medium,B,14,4,1,0,18,0.9,0.93,0.8,0.777777778,0.222222222,0,6.34,3.06,0
4,15,Low,B,5,4,0,0,9,0.45,0.33,0.8,0.555555556,0.444444444,0,2.34,3.4,0
4,16,High,B,7,1,1,1,9,0.45,0.47,0.2,0.777777778,0.111111111,0.111111111,3.14,0.63,0.7
4,17,Medium,B,12,5,0,0,17,0.85,0.80,1,0.705882353,0.294117647,0,5.55,3.52,0
4,18,High,B,2,2,2,1,5,0.25,0.13,0.4,0.4,0.4,0.2,0.81,1.15,0.57
5,1,high,C,2,2,1,0,4,0.2,0.13,0.4,0.5,0.5,0,,,
5,6,high,C,2,0,1,1,3,0.15,0.13,0,0.666666667,0,0.333333333,,,
5,9,high,D,2,1,0,0,3,0.15,0.13,0.2,0.666666667,0.333333333,0,,,
5,12,high,D,0,4,1,0,4,0.2,0.00,0.8,0,1,0,,,
5,15,high,D,4,3,1,2,9,0.45,0.27,0.6,0.444444444,0.333333333,0.222222222,,,
5,18,high,D,3,6,1,1,10,0.5,0.20,1.2,0.3,0.6,0.1,,,
5,2,low,C,7,2,0,1,10,0.5,0.47,0.4,0.7,0.2,0.1,,,
5,4,low,C,3,2,2,0,5,0.25,0.20,0.4,0.6,0.4,0,,,
5,8,low,D,4,2,1,1,7,0.35,0.27,0.4,0.571428571,0.285714286,0.142857143,,,
5,11,low,D,3,3,1,0,6,0.3,0.20,0.6,0.5,0.5,0,,,
5,13,low,D,0,0,1,0,0,0,0.00,0,NA,NA,NA,,,
5,17,low,D,4,1,0,0,5,0.25,0.27,0.2,0.8,0.2,0,,,
5,3,med,C,6,1,0,0,7,0.35,0.40,0.2,0.857142857,0.142857143,0,,,
5,5,med,C,4,2,0,1,7,0.35,0.27,0.4,0.571428571,0.285714286,0.142857143,,,
5,7,med,D,6,3,0,0,9,0.45,0.40,0.6,0.666666667,0.333333333,0,,,
5,10,med,D,2,3,0,0,5,0.25,0.13,0.6,0.4,0.6,0,,,
5,14,med,D,3,1,0,1,5,0.25,0.20,0.2,0.6,0.2,0.2,,,
5,16,med,D,4,1,0,1,6,0.3,0.27,0.2,0.666666667,0.166666667,0.166666667,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
