trial,reef,treatment,deployment.day,num.female,num.male,num.trans,total.recollection,prop.total.recollected,prop.male.recollected,prop.female.recollected,prop.trans.recollected,final.prop.female,final.prop.male,final.prop.trans,num.immature,
4,1,Low,A,0,1,0,1,0.05,0.2,0.00,0.00,0,1,0,0,
4,2,High,A,3,0,0,3,0.15,0,0.20,0.00,1,0,0,2,
4,3,Medium,A,1,1,0,2,0.1,0.2,0.07,0.00,0.5,0.5,0,1,
4,4,High,A,0,0,1,1,0.05,0,0.00,1.00,0,0,1,1,
4,5,Medium,A,2,0,0,2,0.1,0,0.13,0.00,1,0,0,1,
4,6,Low,A,3,0,0,3,0.15,0,0.20,0.00,1,0,0,1,
4,7,Medium,A,0,1,1,2,0.1,0.2,0.00,0.50,0,0.5,0.5,2,
4,8,High,A,1,1,1,3,0.15,0.2,0.07,0.33,0.333333333,0.333333333,0.333333333,3,
4,9,Low,A,1,0,1,2,0.1,0,0.07,0.50,0.5,0,0.5,2,
4,10,Medium,B,3,1,0,4,0.2,0.2,0.20,0.00,0.75,0.25,0,0,
4,11,Low,B,10,5,0,15,0.75,1,0.67,0.00,0.666666667,0.333333333,0,2,
4,12,High,B,10,3,0,13,0.65,0.6,0.67,0.00,0.769230769,0.230769231,0,1,
4,13,Low,B,11,1,1,13,0.65,0.2,0.73,0.08,0.846153846,0.076923077,0.076923077,1,
4,14,Medium,B,14,4,0,18,0.9,0.8,0.93,0.00,0.777777778,0.222222222,0,1,
4,15,Low,B,5,4,0,9,0.45,0.8,0.33,0.00,0.555555556,0.444444444,0,0,
4,16,High,B,7,1,1,9,0.45,0.2,0.47,0.11,0.777777778,0.111111111,0.111111111,1,
4,17,Medium,B,12,5,0,17,0.85,1,0.80,0.00,0.705882353,0.294117647,0,0,
4,18,High,B,2,2,1,5,0.25,0.4,0.13,0.20,0.4,0.4,0.2,2,
5,1,High,C,2,2,0,4,0.2,0.4,0.13,0.00,0.5,0.5,0,1,
5,2,Low,C,7,2,1,10,0.5,0.4,0.47,0.10,0.7,0.2,0.1,0,
5,3,Medium,C,6,1,0,7,0.35,0.2,0.40,0.00,0.857142857,0.142857143,0,0,
5,4,Low,C,3,2,0,5,0.25,0.4,0.20,0.00,0.6,0.4,0,2,
5,5,Medium,C,4,2,1,7,0.35,0.4,0.27,0.14,0.571428571,0.285714286,0.142857143,0,
5,6,High,C,2,0,1,3,0.15,0,0.13,0.33,0.666666667,0,0.333333333,1,
5,7,Medium,D,6,3,0,9,0.45,0.6,0.40,0.00,0.666666667,0.333333333,0,0,
5,8,Low,D,4,2,1,7,0.35,0.4,0.27,0.14,0.571428571,0.285714286,0.142857143,1,
5,9,High,D,2,1,0,3,0.15,0.2,0.13,0.00,0.666666667,0.333333333,0,0,
5,10,Medium,D,2,3,0,5,0.25,0.6,0.13,0.00,0.4,0.6,0,0,
5,11,Low,D,3,3,0,6,0.3,0.6,0.20,0.00,0.5,0.5,0,1,
5,12,High,D,0,4,0,4,0.2,0.8,0.00,0.00,0,1,0,1,
5,13,Low,D,0,0,0,0,0,0,0.00,#DIV/0!,NA,NA,NA,1,
5,14,Medium,D,3,1,1,5,0.25,0.2,0.20,0.20,0.6,0.2,0.2,0,
5,15,High,D,4,3,2,9,0.45,0.6,0.27,0.22,0.444444444,0.333333333,0.222222222,1,
5,16,Medium,D,4,1,1,6,0.3,0.2,0.27,0.17,0.666666667,0.166666667,0.166666667,0,
5,17,Low,D,4,1,0,5,0.25,0.2,0.27,0.00,0.8,0.2,0,0,
5,18,High,D,3,6,1,10,0.5,1.2,0.20,0.10,0.3,0.6,0.1,1,
