trial,reef,treatment,Sex,deployment.day,final.proportion,total.recollection
June,1,Low,Female,A,1,1
June,2,High,Female,A,0,0
June,3,Medium,Female,A,0.5,1
June,4,High,Female,A,0,1
June,5,Medium,Female,A,0,0
June,6,Low,Female,A,0,0
June,7,Medium,Female,A,0.5,2
June,8,High,Female,A,0.33,2
June,9,Low,Female,A,0,1
June,10,Medium,Female,B,0.25,1
June,11,Low,Female,B,0.33,5
June,12,High,Female,B,0.23,3
June,13,Low,Female,B,0.08,2
June,14,Medium,Female,B,0.22,4
June,15,Low,Female,B,0.44,4
June,16,High,Female,B,0.11,2
June,17,Medium,Female,B,0.29,5
June,18,High,Female,B,0.4,3
June,1,Low,Male,A,0,0
June,2,High,Male,A,1,3
June,3,Medium,Male,A,0.5,1
June,4,High,Male,A,0,0
June,5,Medium,Male,A,1,2
June,6,Low,Male,A,1,3
June,7,Medium,Male,A,0,0
June,8,High,Male,A,0.33,1
June,9,Low,Male,A,0.5,1
June,10,Medium,Male,B,0.75,3
June,11,Low,Male,B,0.67,10
June,12,High,Male,B,0.77,10
June,13,Low,Male,B,0.85,11
June,14,Medium,Male,B,0.78,14
June,15,Low,Male,B,0.56,5
June,16,High,Male,B,0.78,7
June,17,Medium,Male,B,0.71,12
June,18,High,Male,B,0.4,2
July,1,High,Female,A,,
July,2,Low,Female,A,,
July,3,Medium,Female,A,,
July,4,Low,Female,A,,
July,5,Medium,Female,A,,
July,6,High,Female,A,,
July,7,Medium,Female,B,,
July,8,Low,Female,B,,
July,9,High,Female,B,,
July,10,Medium,Female,B,,
July,11,Low,Female,B,,
July,12,High,Female,B,,
July,13,Low,Female,B,,
July,14,Medium,Female,B,,
July,15,High,Female,B,,
July,16,Medium,Female,B,,
July,17,Low,Female,B,,
July,18,High,Female,B,,
July,1,High,Male,A,,
July,2,Low,Male,A,,
July,3,Medium,Male,A,,
July,4,Low,Male,A,,
July,5,Medium,Male,A,,
July,6,High,Male,A,,
July,7,Medium,Male,B,,
July,8,Low,Male,B,,
July,9,High,Male,B,,
July,10,Medium,Male,B,,
July,11,Low,Male,B,,
July,12,High,Male,B,,
July,13,Low,Male,B,,
July,14,Medium,Male,B,,
July,15,High,Male,B,,
July,16,Medium,Male,B,,
July,17,Low,Male,B,,
July,18,High,Male,B,,
August,1,Low,Female,A,,
August,2,Control,Female,A,,
August,3,Medium,Female,A,,
August,4,Low,Female,A,,
August,5,Control,Female,A,,
August,6,Medium,Female,A,,
August,7,High,Female,A,,
August,8,Control,Female,A,,
August,9,Low,Female,A,,
August,10,High,Female,A,,
August,11,Medium,Female,A,,
August,12,Control,Female,A,,
August,13,Low,Female,A,,
August,14,Medium,Female,A,,
August,15,High,Female,A,,
August,16,Low,Female,A,,
August,17,High,Female,A,,
August,18,Medium,Female,A,,
August,19,Control,Female,A,,
August,20,High,Female,A,,
August,1,Low,Male,A,,
August,2,Control,Male,A,,
August,3,Medium,Male,A,,
August,4,Low,Male,A,,
August,5,Control,Male,A,,
August,6,Medium,Male,A,,
August,7,High,Male,A,,
August,8,Control,Male,A,,
August,9,Low,Male,A,,
August,10,High,Male,A,,
August,11,Medium,Male,A,,
August,12,Control,Male,A,,
August,13,Low,Male,A,,
August,14,Medium,Male,A,,
August,15,High,Male,A,,
August,16,Low,Male,A,,
August,17,High,Male,A,,
August,18,Medium,Male,A,,
August,19,Control,Male,A,,
August,20,High,Male,A,,
