trial,reef,treatment,Sex,final.proportion,total.recollection
June,1,Low,Male,0,0
June,1,Low,Female,1,1
June,1,Low,Transitional,0,0
June,2,High,Male,1,3
June,2,High,Female,0,0
June,2,High,Transitional,0,0
June,3,Medium,Male,0.5,1
June,3,Medium,Female,0.5,1
June,3,Medium,Transitional,0,0
June,4,High,Male,0,0
June,4,High,Female,0,0
June,4,High,Transitional,1,1
June,5,Medium,Male,1,2
June,5,Medium,Female,0,0
June,5,Medium,Transitional,0,0
June,6,Low,Male,1,3
June,6,Low,Female,0,0
June,6,Low,Transitional,0,0
June,7,Medium,Male,0,0
June,7,Medium,Female,0.5,1
June,7,Medium,Transitional,0.5,1
June,8,High,Male,0.33,1
June,8,High,Female,0.33,1
June,8,High,Transitional,0.33,1
June,9,Low,Male,0.5,1
June,9,Low,Female,0,0
June,9,Low,Transitional,0.5,1
June,10,Medium,Male,0.75,3
June,10,Medium,Female,0.25,1
June,10,Medium,Transitional,0,0
June,11,Low,Male,0.67,10
June,11,Low,Female,0.33,5
June,11,Low,Transitional,0,0
June,12,High,Male,0.77,10
June,12,High,Female,0.23,3
June,12,High,Transitional,0,0
June,13,Low,Male,0.85,11
June,13,Low,Female,0.08,1
June,13,Low,Transitional,0.08,1
June,14,Medium,Male,0.78,14
June,14,Medium,Female,0.22,4
June,14,Medium,Transitional,0,0
June,15,Low,Male,0.56,5
June,15,Low,Female,0.44,4
June,15,Low,Transitional,0,0
June,16,High,Male,0.78,7
June,16,High,Female,0.11,1
June,16,High,Transitional,0.11,1
June,17,Medium,Male,0.71,12
June,17,Medium,Female,0.29,5
June,17,Medium,Transitional,0,0
June,18,High,Male,0.4,2
June,18,High,Female,0.4,2
June,18,High,Transitional,0.2,1
July,1,High,Male,0.5,2
July,1,High,Female,0.5,2
July,1,High,Transitional,0,0
July,2,Low,Male,0.7,7
July,2,Low,Female,0.2,2
July,2,Low,Transitional,0.1,1
July,3,Medium,Male,0.857142857,6
July,3,Medium,Female,0.142857143,1
July,3,Medium,Transitional,0,0
July,4,Low,Male,0.6,3
July,4,Low,Female,0.4,2
July,4,Low,Transitional,0,0
July,5,Medium,Male,0.571428571,4
July,5,Medium,Female,0.285714286,2
July,5,Medium,Transitional,0.142857143,1
July,6,High,Male,0.666666667,2
July,6,High,Female,0,0
July,6,High,Transitional,0.333333333,1
July,7,Medium,Male,0.666666667,6
July,7,Medium,Female,0.333333333,3
July,7,Medium,Transitional,0,0
July,8,Low,Male,0.571428571,4
July,8,Low,Female,0.285714286,2
July,8,Low,Transitional,0.142857143,1
July,9,High,Male,0.666666667,2
July,9,High,Female,0.333333333,1
July,9,High,Transitional,0,0
July,10,Medium,Male,0.4,2
July,10,Medium,Female,0.6,3
July,10,Medium,Transitional,0,0
July,11,Low,Male,0.5,3
July,11,Low,Female,0.5,3
July,11,Low,Transitional,0,0
July,12,High,Male,0,0
July,12,High,Female,1,4
July,12,High,Transitional,0,0
July,13,Low,Male,NA,0
July,13,Low,Female,NA,0
July,13,Low,Transitional,NA,0
July,14,Medium,Male,0.6,3
July,14,Medium,Female,0.2,1
July,14,Medium,Transitional,0.2,1
July,15,High,Male,0.444444444,4
July,15,High,Female,0.333333333,3
July,15,High,Transitional,0.222222222,2
July,16,Medium,Male,0.666666667,4
July,16,Medium,Female,0.166666667,1
July,16,Medium,Transitional,0.166666667,1
July,17,Low,Male,0.8,4
July,17,Low,Female,0.2,1
July,17,Low,Transitional,0,0
July,18,High,Male,0.3,3
July,18,High,Female,0.6,6
July,18,High,Transitional,0.1,1
