"Trial","Reef","Treatment","T6.comparison","Year","Year.fact","Present","Sublethal.Threat","Lethal.Threat","avg.inhab"
2,3,"High","High",2017,"2017",0.9,0.2,0.2,11
1,4,"High","High",2017,"2017",0.4,0.2,0,14
2,5,"High","High",2017,"2017",0.9,0.3,0.3,13
1,6,"High","High",2017,"2017",0.2,0,0,13
1,9,"High","High",2017,"2017",0.5,0.2,0.3,12
2,9,"High","High",2017,"2017",0,0,0,13
3,10,"High","High",2017,"2017",0.9,0,0.3,13
2,11,"High","High",2017,"2017",0.6,0.1,0,13
1,12,"High","High",2017,"2017",0.8,0.4,0.4,12
3,14,"High","High",2017,"2017",0.7,0.2,0.2,13
1,15,"High","High",2017,"2017",0.5,0.1,0.1,11
2,15,"High","High",2017,"2017",0.1,0,0,12
2,17,"High","High",2017,"2017",0.3,0.1,0.1,13
3,17,"High","High",2017,"2017",0.636363636363636,0.181818181818182,0.272727272727273,13
1,18,"High","High",2017,"2017",0.5,0.1,0.3,12
1,1,"Low","Low",2017,"2017",0.2,0,0,12
2,2,"Low","Low",2017,"2017",0.7,0,0,11
1,3,"Low","Low",2017,"2017",0.1,0,0,14
2,6,"Low","Low",2017,"2017",0.7,0,0,11
1,8,"Low","Low",2017,"2017",0.4,0,0,13
2,8,"Low","Low",2017,"2017",0.2,0,0,14
1,10,"Low","Low",2017,"2017",0.4,0,0,11
2,10,"Low","Low",2017,"2017",0.5,0,0,13
3,11,"Low","Low",2017,"2017",0.4,0,0,13
1,13,"Low","Low",2017,"2017",1,0,0,12
2,13,"Low","Low",2017,"2017",0.3,0,0,11
3,13,"Low","Low",2017,"2017",0.4,0,0,12
3,15,"Low","Low",2017,"2017",0.6,0,0,13
1,16,"Low","Low",2017,"2017",0.6,0,0,12
2,16,"Low","Low",2017,"2017",0,0,0,11
2,1,"Medium","Medium",2017,"2017",0.7,0.2,0,11
1,2,"Medium","Medium",2017,"2017",0.3,0,0,12
2,4,"Medium","Medium",2017,"2017",0.7,0,0,12
1,5,"Medium","Medium",2017,"2017",1,0.3,0,14
1,7,"Medium","Medium",2017,"2017",0.4,0.1,0,14
2,7,"Medium","Medium",2017,"2017",0.9,0,0,11
1,11,"Medium","Medium",2017,"2017",0.8,0.3,0,10
2,12,"Medium","Medium",2017,"2017",0.8,0.1,0,14
3,12,"Medium","Medium",2017,"2017",0.6,0.3,0,12
1,14,"Medium","Medium",2017,"2017",0.5,0.1,0,12
2,14,"Medium","Medium",2017,"2017",0.3,0.1,0,10
3,16,"Medium","Medium",2017,"2017",0.363636363636364,0.0909090909090909,0,14
1,17,"Medium","Medium",2017,"2017",0.3,0.1,0,12
2,18,"Medium","Medium",2017,"2017",0.7,0.4,0,11
3,18,"Medium","Medium",2017,"2017",0.363636363636364,0.0909090909090909,0,13
5,6,"High","High",2018,"2018",1,0.2,0.1,12
5,9,"High","High",2018,"2018",0.35,0.15,0.1,12
5,12,"High","High",2018,"2018",0.6,0.1,0,10
5,15,"High","High",2018,"2018",0.5,0.1,0,15
4,18,"High","High",2018,"2018",0.705882352941177,0.235294117647059,0.0588235294117647,13
5,18,"High","High",2018,"2018",0.1,0,0,14
5,4,"Low","Low",2018,"2018",0.4,0,0,13
5,8,"Low","Low",2018,"2018",0.157894736842105,0,0,14
5,11,"Low","Low",2018,"2018",0.555555555555556,0,0,13
5,13,"Low","Low",2018,"2018",0.3125,0,0,10
4,15,"Low","Low",2018,"2018",0.5,0,0,15
5,17,"Low","Low",2018,"2018",0,0,0,13
5,5,"Medium","Medium",2018,"2018",0.684210526315789,0.263157894736842,0,14
5,7,"Medium","Medium",2018,"2018",0.555555555555556,0.0555555555555556,0,15
5,10,"Medium","Medium",2018,"2018",0.538461538461538,0.153846153846154,0,13
5,16,"Medium","Medium",2018,"2018",0.0526315789473684,0,0,13
4,17,"Medium","Medium",2018,"2018",0.2,0,0,19
