"Trial","Reef","Treatment.combo","Treatment.t6","Predator.class","Score"
2,3,"High","High","Present",0.9
1,4,"High","High","Present",0.4
2,5,"High","High","Present",0.9
1,6,"High","High","Present",0.2
5,6,"High","High","Present",1
6,7,"High","High","Present",0.733333333333333
1,9,"High","High","Present",0.5
2,9,"High","High","Present",0
5,9,"High","High","Present",0.35
3,10,"High","High","Present",0.9
6,10,"High","High","Present",0.5
2,11,"High","High","Present",0.6
1,12,"High","High","Present",0.8
5,12,"High","High","Present",0.6
3,14,"High","High","Present",0.7
1,15,"High","High","Present",0.5
2,15,"High","High","Present",0.1
5,15,"High","High","Present",0.5
2,17,"High","High","Present",0.3
3,17,"High","High","Present",0.636363636363636
6,17,"High","High","Present",0.1
1,18,"High","High","Present",0.5
4,18,"High","High","Present",0.705882352941177
5,18,"High","High","Present",0.1
6,20,"High","High","Present",0.4
1,1,"Low","Low","Present",0.2
2,2,"Low","Low","Present",0.7
1,3,"Low","Low","Present",0.1
5,4,"Low","Low","Present",0.4
2,6,"Low","Low","Present",0.7
1,8,"Low","Low","Present",0.4
2,8,"Low","Low","Present",0.2
5,8,"Low","Low","Present",0.157894736842105
1,10,"Low","Low","Present",0.4
2,10,"Low","Low","Present",0.5
3,11,"Low","Low","Present",0.4
5,11,"Low","Low","Present",0.555555555555556
1,13,"Low","Low","Present",1
2,13,"Low","Low","Present",0.3
3,13,"Low","Low","Present",0.4
5,13,"Low","Low","Present",0.3125
3,15,"Low","Low","Present",0.6
4,15,"Low","Low","Present",0.5
1,16,"Low","Low","Present",0.6
2,16,"Low","Low","Present",0
5,17,"Low","Low","Present",0
2,1,"Medium","Medium","Present",0.7
1,2,"Medium","Medium","Present",0.3
2,4,"Medium","Medium","Present",0.7
1,5,"Medium","Medium","Present",1
5,5,"Medium","Medium","Present",0.684210526315789
1,7,"Medium","Medium","Present",0.4
2,7,"Medium","Medium","Present",0.9
5,7,"Medium","Medium","Present",0.555555555555556
5,10,"Medium","Medium","Present",0.538461538461538
1,11,"Medium","Medium","Present",0.8
2,12,"Medium","Medium","Present",0.8
3,12,"Medium","Medium","Present",0.6
1,14,"Medium","Medium","Present",0.5
2,14,"Medium","Medium","Present",0.3
3,16,"Medium","Medium","Present",0.363636363636364
5,16,"Medium","Medium","Present",0.0526315789473684
1,17,"Medium","Medium","Present",0.3
4,17,"Medium","Medium","Present",0.2
2,18,"Medium","Medium","Present",0.7
3,18,"Medium","Medium","Present",0.363636363636364
6,2,"High","Uncaged","Present",0.8
6,8,"High","Uncaged","Present",0.6
6,12,"High","Uncaged","Present",0.583333333333333
6,19,"High","Uncaged","Present",0.75
2,3,"High","High","Sublethal.Threat",0.2
1,4,"High","High","Sublethal.Threat",0.2
2,5,"High","High","Sublethal.Threat",0.3
1,6,"High","High","Sublethal.Threat",0
5,6,"High","High","Sublethal.Threat",0.2
6,7,"High","High","Sublethal.Threat",0
1,9,"High","High","Sublethal.Threat",0.2
2,9,"High","High","Sublethal.Threat",0
5,9,"High","High","Sublethal.Threat",0.15
3,10,"High","High","Sublethal.Threat",0
6,10,"High","High","Sublethal.Threat",0.0714285714285714
2,11,"High","High","Sublethal.Threat",0.1
1,12,"High","High","Sublethal.Threat",0.4
5,12,"High","High","Sublethal.Threat",0.1
3,14,"High","High","Sublethal.Threat",0.2
1,15,"High","High","Sublethal.Threat",0.1
2,15,"High","High","Sublethal.Threat",0
5,15,"High","High","Sublethal.Threat",0.1
2,17,"High","High","Sublethal.Threat",0.1
3,17,"High","High","Sublethal.Threat",0.181818181818182
6,17,"High","High","Sublethal.Threat",0
1,18,"High","High","Sublethal.Threat",0.1
4,18,"High","High","Sublethal.Threat",0.235294117647059
5,18,"High","High","Sublethal.Threat",0
6,20,"High","High","Sublethal.Threat",0.1
1,1,"Low","Low","Sublethal.Threat",0
2,2,"Low","Low","Sublethal.Threat",0
1,3,"Low","Low","Sublethal.Threat",0
5,4,"Low","Low","Sublethal.Threat",0
2,6,"Low","Low","Sublethal.Threat",0
1,8,"Low","Low","Sublethal.Threat",0
2,8,"Low","Low","Sublethal.Threat",0
5,8,"Low","Low","Sublethal.Threat",0
1,10,"Low","Low","Sublethal.Threat",0
