"Trial","Reef","Treatment","T6.comparison","Year","Year.fact","avg.inhab","Predator.class","Score"
2,3,"High","High",2017,"2017",11,"Present",0.9
1,4,"High","High",2017,"2017",14,"Present",0.4
2,5,"High","High",2017,"2017",13,"Present",0.9
1,6,"High","High",2017,"2017",13,"Present",0.2
1,9,"High","High",2017,"2017",12,"Present",0.5
2,9,"High","High",2017,"2017",13,"Present",0
3,10,"High","High",2017,"2017",13,"Present",0.9
2,11,"High","High",2017,"2017",13,"Present",0.6
1,12,"High","High",2017,"2017",12,"Present",0.8
3,14,"High","High",2017,"2017",13,"Present",0.7
1,15,"High","High",2017,"2017",11,"Present",0.5
2,15,"High","High",2017,"2017",12,"Present",0.1
2,17,"High","High",2017,"2017",13,"Present",0.3
3,17,"High","High",2017,"2017",13,"Present",0.636363636363636
1,18,"High","High",2017,"2017",12,"Present",0.5
1,1,"Low","Low",2017,"2017",12,"Present",0.2
2,2,"Low","Low",2017,"2017",11,"Present",0.7
1,3,"Low","Low",2017,"2017",14,"Present",0.1
2,6,"Low","Low",2017,"2017",11,"Present",0.7
1,8,"Low","Low",2017,"2017",13,"Present",0.4
2,8,"Low","Low",2017,"2017",14,"Present",0.2
1,10,"Low","Low",2017,"2017",11,"Present",0.4
2,10,"Low","Low",2017,"2017",13,"Present",0.5
3,11,"Low","Low",2017,"2017",13,"Present",0.4
1,13,"Low","Low",2017,"2017",12,"Present",1
2,13,"Low","Low",2017,"2017",11,"Present",0.3
3,13,"Low","Low",2017,"2017",12,"Present",0.4
3,15,"Low","Low",2017,"2017",13,"Present",0.6
1,16,"Low","Low",2017,"2017",12,"Present",0.6
2,16,"Low","Low",2017,"2017",11,"Present",0
2,1,"Medium","Medium",2017,"2017",11,"Present",0.7
1,2,"Medium","Medium",2017,"2017",12,"Present",0.3
2,4,"Medium","Medium",2017,"2017",12,"Present",0.7
1,5,"Medium","Medium",2017,"2017",14,"Present",1
1,7,"Medium","Medium",2017,"2017",14,"Present",0.4
2,7,"Medium","Medium",2017,"2017",11,"Present",0.9
1,11,"Medium","Medium",2017,"2017",10,"Present",0.8
2,12,"Medium","Medium",2017,"2017",14,"Present",0.8
3,12,"Medium","Medium",2017,"2017",12,"Present",0.6
1,14,"Medium","Medium",2017,"2017",12,"Present",0.5
2,14,"Medium","Medium",2017,"2017",10,"Present",0.3
3,16,"Medium","Medium",2017,"2017",14,"Present",0.363636363636364
1,17,"Medium","Medium",2017,"2017",12,"Present",0.3
2,18,"Medium","Medium",2017,"2017",11,"Present",0.7
3,18,"Medium","Medium",2017,"2017",13,"Present",0.363636363636364
5,6,"High","High",2018,"2018",12,"Present",1
6,7,"High","High",2018,"2018",13,"Present",0.733333333333333
5,9,"High","High",2018,"2018",12,"Present",0.35
6,10,"High","High",2018,"2018",12,"Present",0.5
5,12,"High","High",2018,"2018",10,"Present",0.6
5,15,"High","High",2018,"2018",15,"Present",0.5
6,17,"High","High",2018,"2018",11,"Present",0.1
4,18,"High","High",2018,"2018",13,"Present",0.705882352941177
5,18,"High","High",2018,"2018",14,"Present",0.1
6,20,"High","High",2018,"2018",12,"Present",0.4
5,4,"Low","Low",2018,"2018",13,"Present",0.4
5,8,"Low","Low",2018,"2018",14,"Present",0.157894736842105
5,11,"Low","Low",2018,"2018",13,"Present",0.555555555555556
5,13,"Low","Low",2018,"2018",10,"Present",0.3125
4,15,"Low","Low",2018,"2018",15,"Present",0.5
5,17,"Low","Low",2018,"2018",13,"Present",0
5,5,"Medium","Medium",2018,"2018",14,"Present",0.684210526315789
5,7,"Medium","Medium",2018,"2018",15,"Present",0.555555555555556
5,10,"Medium","Medium",2018,"2018",13,"Present",0.538461538461538
5,16,"Medium","Medium",2018,"2018",13,"Present",0.0526315789473684
