"Trial","Reef","Treatment.combo","Treatment.t6","Present","Sublethal.Threat","Lethal.Threat"
2,3,"High","High",0.9,0.2,0.2
1,4,"High","High",0.4,0.2,0
2,5,"High","High",0.9,0.3,0.3
1,6,"High","High",0.2,0,0
5,6,"High","High",1,0.2,0.1
6,7,"High","High",0.733333333333333,0,0.0666666666666667
1,9,"High","High",0.5,0.2,0.3
2,9,"High","High",0,0,0
5,9,"High","High",0.35,0.15,0.1
3,10,"High","High",0.9,0,0.3
6,10,"High","High",0.5,0.0714285714285714,0
2,11,"High","High",0.6,0.1,0
1,12,"High","High",0.8,0.4,0.4
5,12,"High","High",0.6,0.1,0
3,14,"High","High",0.7,0.2,0.2
1,15,"High","High",0.5,0.1,0.1
2,15,"High","High",0.1,0,0
5,15,"High","High",0.5,0.1,0
2,17,"High","High",0.3,0.1,0.1
3,17,"High","High",0.636363636363636,0.181818181818182,0.272727272727273
6,17,"High","High",0.1,0,0.1
1,18,"High","High",0.5,0.1,0.3
4,18,"High","High",0.705882352941177,0.235294117647059,0.0588235294117647
5,18,"High","High",0.1,0,0
6,20,"High","High",0.4,0.1,0.2
1,1,"Low","Low",0.2,0,0
2,2,"Low","Low",0.7,0,0
1,3,"Low","Low",0.1,0,0
5,4,"Low","Low",0.4,0,0
2,6,"Low","Low",0.7,0,0
1,8,"Low","Low",0.4,0,0
2,8,"Low","Low",0.2,0,0
5,8,"Low","Low",0.157894736842105,0,0
1,10,"Low","Low",0.4,0,0
2,10,"Low","Low",0.5,0,0
3,11,"Low","Low",0.4,0.1,0
5,11,"Low","Low",0.555555555555556,0,0
1,13,"Low","Low",1,0,0
2,13,"Low","Low",0.3,0,0
3,13,"Low","Low",0.4,0,0
5,13,"Low","Low",0.3125,0,0
3,15,"Low","Low",0.6,0,0
4,15,"Low","Low",0.5,0,0
1,16,"Low","Low",0.6,0,0
2,16,"Low","Low",0,0,0
5,17,"Low","Low",0,0,0
2,1,"Medium","Medium",0.7,0.2,0
1,2,"Medium","Medium",0.3,0,0
2,4,"Medium","Medium",0.7,0,0
1,5,"Medium","Medium",1,0.3,0
5,5,"Medium","Medium",0.684210526315789,0.263157894736842,0
1,7,"Medium","Medium",0.4,0.1,0
2,7,"Medium","Medium",0.9,0,0
5,7,"Medium","Medium",0.555555555555556,0.0555555555555556,0
5,10,"Medium","Medium",0.538461538461538,0.153846153846154,0
1,11,"Medium","Medium",0.8,0.3,0
2,12,"Medium","Medium",0.8,0.1,0
3,12,"Medium","Medium",0.6,0.3,0
1,14,"Medium","Medium",0.5,0.1,0
2,14,"Medium","Medium",0.3,0.1,0
3,16,"Medium","Medium",0.363636363636364,0.0909090909090909,0
5,16,"Medium","Medium",0.0526315789473684,0,0
1,17,"Medium","Medium",0.3,0.1,0
4,17,"Medium","Medium",0.2,0,0
2,18,"Medium","Medium",0.7,0.4,0
3,18,"Medium","Medium",0.363636363636364,0.0909090909090909,0
6,2,"High","Uncaged",0.8,0.0666666666666667,0
6,8,"High","Uncaged",0.6,0.133333333333333,0.2
6,12,"High","Uncaged",0.583333333333333,0,0.0833333333333333
6,19,"High","Uncaged",0.75,0.25,0.0833333333333333
