"Trial","Reef","Treatment","T6.comparison","Present","Sublethal.Threat","Lethal.Threat","avg.inhab"
2,3,"High","High",0.9,0.2,0.2,11
1,4,"High","High",0.4,0.2,0,14
2,5,"High","High",0.9,0.3,0.3,13
1,6,"High","High",0.2,0,0,13
5,6,"High","High",1,0.2,0.1,12
6,7,"High","High",0.733333333333333,0,0.0666666666666667,13
1,9,"High","High",0.5,0.2,0.3,12
2,9,"High","High",0,0,0,13
5,9,"High","High",0.35,0.15,0.1,12
3,10,"High","High",0.9,0,0.3,13
6,10,"High","High",0.5,0.0714285714285714,0,12
2,11,"High","High",0.6,0.1,0,13
1,12,"High","High",0.8,0.4,0.4,12
5,12,"High","High",0.6,0.1,0,10
3,14,"High","High",0.7,0.2,0.2,13
1,15,"High","High",0.5,0.1,0.1,11
2,15,"High","High",0.1,0,0,12
5,15,"High","High",0.5,0.1,0,15
2,17,"High","High",0.3,0.1,0.1,13
3,17,"High","High",0.636363636363636,0.181818181818182,0.272727272727273,13
6,17,"High","High",0.1,0,0.1,11
1,18,"High","High",0.5,0.1,0.3,12
4,18,"High","High",0.705882352941177,0.235294117647059,0.0588235294117647,13
5,18,"High","High",0.1,0,0,14
6,20,"High","High",0.4,0.1,0.2,12
1,1,"Low","Low",0.2,0,0,12
2,2,"Low","Low",0.7,0,0,11
1,3,"Low","Low",0.1,0,0,14
5,4,"Low","Low",0.4,0,0,13
2,6,"Low","Low",0.7,0,0,11
1,8,"Low","Low",0.4,0,0,13
2,8,"Low","Low",0.2,0,0,14
5,8,"Low","Low",0.157894736842105,0,0,14
1,10,"Low","Low",0.4,0,0,11
2,10,"Low","Low",0.5,0,0,13
3,11,"Low","Low",0.4,0.1,0,13
5,11,"Low","Low",0.555555555555556,0,0,13
1,13,"Low","Low",1,0,0,12
2,13,"Low","Low",0.3,0,0,11
3,13,"Low","Low",0.4,0,0,12
5,13,"Low","Low",0.3125,0,0,10
3,15,"Low","Low",0.6,0,0,13
4,15,"Low","Low",0.5,0,0,15
1,16,"Low","Low",0.6,0,0,12
2,16,"Low","Low",0,0,0,11
5,17,"Low","Low",0,0,0,13
2,1,"Medium","Medium",0.7,0.2,0,11
1,2,"Medium","Medium",0.3,0,0,12
2,4,"Medium","Medium",0.7,0,0,12
1,5,"Medium","Medium",1,0.3,0,14
5,5,"Medium","Medium",0.684210526315789,0.263157894736842,0,14
1,7,"Medium","Medium",0.4,0.1,0,14
2,7,"Medium","Medium",0.9,0,0,11
5,7,"Medium","Medium",0.555555555555556,0.0555555555555556,0,15
5,10,"Medium","Medium",0.538461538461538,0.153846153846154,0,13
1,11,"Medium","Medium",0.8,0.3,0,10
2,12,"Medium","Medium",0.8,0.1,0,14
3,12,"Medium","Medium",0.6,0.3,0,12
1,14,"Medium","Medium",0.5,0.1,0,12
2,14,"Medium","Medium",0.3,0.1,0,10
3,16,"Medium","Medium",0.363636363636364,0.0909090909090909,0,14
5,16,"Medium","Medium",0.0526315789473684,0,0,13
1,17,"Medium","Medium",0.3,0.1,0,12
4,17,"Medium","Medium",0.2,0,0,19
2,18,"Medium","Medium",0.7,0.4,0,11
3,18,"Medium","Medium",0.363636363636364,0.0909090909090909,0,13
6,2,"High","Uncaged",0.8,0.0666666666666667,0,11
6,8,"High","Uncaged",0.6,0.133333333333333,0.2,13
6,12,"High","Uncaged",0.583333333333333,0,0.0833333333333333,11
6,19,"High","Uncaged",0.75,0.25,0.0833333333333333,12
