Trial,Reef,Treatment.combo,Treatment.t6,Predator.class,Score
1,1,Low,Low,Present,0
1,1,Low,Low,Sublethal.Threat,0
1,1,Low,Low,Lethal.Threat,0
1,2,Medium,Medium,Present,0
1,2,Medium,Medium,Sublethal.Threat,0
1,2,Medium,Medium,Lethal.Threat,0
1,3,Low,Low,Present,0
1,3,Low,Low,Sublethal.Threat,0
1,3,Low,Low,Lethal.Threat,0
1,4,High,High,Present,0
1,4,High,High,Sublethal.Threat,0
1,4,High,High,Lethal.Threat,0
1,5,Medium,Medium,Present,0
1,5,Medium,Medium,Sublethal.Threat,0
1,5,Medium,Medium,Lethal.Threat,0
1,6,High,High,Present,0
1,6,High,High,Sublethal.Threat,0
1,6,High,High,Lethal.Threat,0
1,7,Medium,Medium,Present,0.25
1,7,Medium,Medium,Sublethal.Threat,0
1,7,Medium,Medium,Lethal.Threat,0
1,8,Low,Low,Present,0
1,8,Low,Low,Sublethal.Threat,0
1,8,Low,Low,Lethal.Threat,0
1,9,High,High,Present,0.666666667
1,9,High,High,Sublethal.Threat,0.333333333
1,9,High,High,Lethal.Threat,0.333333333
1,10,Low,Low,Present,0.333333333
1,10,Low,Low,Sublethal.Threat,0
1,10,Low,Low,Lethal.Threat,0
1,11,Medium,Medium,Present,0.666666667
1,11,Medium,Medium,Sublethal.Threat,0.333333333
1,11,Medium,Medium,Lethal.Threat,0
1,12,High,High,Present,1
1,12,High,High,Sublethal.Threat,0.666666667
1,12,High,High,Lethal.Threat,0.666666667
1,13,Low,Low,Present,1
1,13,Low,Low,Sublethal.Threat,0
1,13,Low,Low,Lethal.Threat,0
1,14,Medium,Medium,Present,0.5
1,14,Medium,Medium,Sublethal.Threat,0.5
1,14,Medium,Medium,Lethal.Threat,0
1,15,High,High,Present,0.333333333
1,15,High,High,Sublethal.Threat,0.333333333
1,15,High,High,Lethal.Threat,0
1,16,Low,Low,Present,0.666666667
1,16,Low,Low,Sublethal.Threat,0
1,16,Low,Low,Lethal.Threat,0
1,17,Medium,Medium,Present,0.333333333
1,17,Medium,Medium,Sublethal.Threat,0
1,17,Medium,Medium,Lethal.Threat,0
1,18,High,High,Present,0.5
1,18,High,High,Sublethal.Threat,0
1,18,High,High,Lethal.Threat,0.5
2,1,Medium,Medium,Present,0.583333333
2,1,Medium,Medium,Sublethal.Threat,0.083333333
2,1,Medium,Medium,Lethal.Threat,0
2,2,Low,Low,Present,0.666666667
2,2,Low,Low,Sublethal.Threat,0
2,2,Low,Low,Lethal.Threat,0
2,3,High,High,Present,1
2,3,High,High,Sublethal.Threat,0.166666667
2,3,High,High,Lethal.Threat,0
2,4,Medium,Medium,Present,0.833333333
2,4,Medium,Medium,Sublethal.Threat,0
2,4,Medium,Medium,Lethal.Threat,0
2,5,High,High,Present,1
2,5,High,High,Sublethal.Threat,0.5
2,5,High,High,Lethal.Threat,0
2,6,Low,Low,Present,0.666666667
2,6,Low,Low,Sublethal.Threat,0
2,6,Low,Low,Lethal.Threat,0
2,7,Medium,Medium,Present,0.833333333
2,7,Medium,Medium,Sublethal.Threat,0
2,7,Medium,Medium,Lethal.Threat,0
2,8,Low,Low,Present,0.166666667
2,8,Low,Low,Sublethal.Threat,0
2,8,Low,Low,Lethal.Threat,0
2,9,High,High,Present,0
2,9,High,High,Sublethal.Threat,0
2,9,High,High,Lethal.Threat,0
2,10,Low,Low,Present,0.5
2,10,Low,Low,Sublethal.Threat,0
2,10,Low,Low,Lethal.Threat,0
2,11,High,High,Present,0.5
2,11,High,High,Sublethal.Threat,0.25
2,11,High,High,Lethal.Threat,0
2,12,Medium,Medium,Present,0.25
2,12,Medium,Medium,Sublethal.Threat,0
2,12,Medium,Medium,Lethal.Threat,0
2,13,Low,Low,Present,0.333333333
2,13,Low,Low,Sublethal.Threat,0
2,13,Low,Low,Lethal.Threat,0
2,14,Medium,Medium,Present,0.333333333
2,14,Medium,Medium,Sublethal.Threat,0.111111111
2,14,Medium,Medium,Lethal.Threat,0
2,15,High,High,Present,0
2,15,High,High,Sublethal.Threat,0
2,15,High,High,Lethal.Threat,0
2,16,Low,Low,Present,0
2,16,Low,Low,Sublethal.Threat,0
2,16,Low,Low,Lethal.Threat,0
2,17,High,High,Present,0.4
2,17,High,High,Sublethal.Threat,0
2,17,High,High,Lethal.Threat,0.2
2,18,Medium,Medium,Present,0.6
2,18,Medium,Medium,Sublethal.Threat,0.4
2,18,Medium,Medium,Lethal.Threat,0
3,10,High,High,Present,1
3,10,High,High,Sublethal.Threat,0
3,10,High,High,Lethal.Threat,0.2
3,11,Low,Low,Present,0
3,11,Low,Low,Sublethal.Threat,0
3,11,Low,Low,Lethal.Threat,0
3,12,Medium,Medium,Present,1
3,12,Medium,Medium,Sublethal.Threat,0.666666667
3,12,Medium,Medium,Lethal.Threat,0
3,13,Low,Low,Present,0.333333333
3,13,Low,Low,Sublethal.Threat,0
3,13,Low,Low,Lethal.Threat,0
3,14,High,High,Present,0.25
3,14,High,High,Sublethal.Threat,0.25
3,14,High,High,Lethal.Threat,0
3,15,Low,Low,Present,0
3,15,Low,Low,Sublethal.Threat,0
3,15,Low,Low,Lethal.Threat,0
3,16,Medium,Medium,Present,0.363636364
3,16,Medium,Medium,Sublethal.Threat,0.090909091
3,16,Medium,Medium,Lethal.Threat,0
3,17,High,High,Present,0.636363636
3,17,High,High,Sublethal.Threat,0.181818182
3,17,High,High,Lethal.Threat,0.272727273
3,18,Medium,Medium,Present,0.363636364
3,18,Medium,Medium,Sublethal.Threat,0.090909091
3,18,Medium,Medium,Lethal.Threat,0
4,15,Low,Low,Present,0.5
4,15,Low,Low,Sublethal.Threat,0
4,15,Low,Low,Lethal.Threat,0
4,17,Medium,Medium,Present,0.285714286
4,17,Medium,Medium,Sublethal.Threat,0
4,17,Medium,Medium,Lethal.Threat,0
4,18,High,High,Present,0.705882353
4,18,High,High,Sublethal.Threat,0.235294118
4,18,High,High,Lethal.Threat,0.058823529
5,4,Low,Low,Present,0.368421053
5,4,Low,Low,Sublethal.Threat,0
5,4,Low,Low,Lethal.Threat,0
5,5,Medium,Medium,Present,0.65
5,5,Medium,Medium,Sublethal.Threat,0.25
5,5,Medium,Medium,Lethal.Threat,0
5,6,High,High,Present,1
5,6,High,High,Sublethal.Threat,0.2
5,6,High,High,Lethal.Threat,0.1
5,7,Medium,Medium,Present,0.555555556
5,7,Medium,Medium,Sublethal.Threat,0.055555556
5,7,Medium,Medium,Lethal.Threat,0
5,8,Low,Low,Present,0.157894737
5,8,Low,Low,Sublethal.Threat,0
5,8,Low,Low,Lethal.Threat,0
5,9,High,High,Present,0.35
5,9,High,High,Sublethal.Threat,0.15
5,9,High,High,Lethal.Threat,0.1
5,10,Medium,Medium,Present,0.538461538
5,10,Medium,Medium,Sublethal.Threat,0.153846154
5,10,Medium,Medium,Lethal.Threat,0
5,11,Low,Low,Present,0.555555556
5,11,Low,Low,Sublethal.Threat,0
5,11,Low,Low,Lethal.Threat,0
5,12,High,High,Present,0.6
5,12,High,High,Sublethal.Threat,0.1
5,12,High,High,Lethal.Threat,0
5,13,Low,Low,Present,0.3125
5,13,Low,Low,Sublethal.Threat,0
5,13,Low,Low,Lethal.Threat,0
5,15,High,High,Present,0.5
5,15,High,High,Sublethal.Threat,0.1
5,15,High,High,Lethal.Threat,0
5,16,Medium,Medium,Present,0.052631579
5,16,Medium,Medium,Sublethal.Threat,0
5,16,Medium,Medium,Lethal.Threat,0
5,17,Low,Low,Present,0
5,17,Low,Low,Sublethal.Threat,0
5,17,Low,Low,Lethal.Threat,0
5,18,High,High,Present,0.111111111
5,18,High,High,Sublethal.Threat,0
5,18,High,High,Lethal.Threat,0
6,2,High,Control,Present,0.8
6,2,High,Control,Sublethal.Threat,0.066666667
6,2,High,Control,Lethal.Threat,0
6,7,High,High,Present,0.733333333
6,7,High,High,Sublethal.Threat,0
6,7,High,High,Lethal.Threat,0.066666667
6,8,High,Control,Present,0.6
6,8,High,Control,Sublethal.Threat,0.133333333
6,8,High,Control,Lethal.Threat,0.2
6,10,High,High,Present,0.5
6,10,High,High,Sublethal.Threat,0.071428571
6,10,High,High,Lethal.Threat,0
6,12,High,Control,Present,0.583333333
6,12,High,Control,Sublethal.Threat,0
6,12,High,Control,Lethal.Threat,0.083333333
6,17,High,High,Present,0.1
6,17,High,High,Sublethal.Threat,0
6,17,High,High,Lethal.Threat,0.1
6,19,High,Control,Present,0.75
6,19,High,Control,Sublethal.Threat,0.25
6,19,High,Control,Lethal.Threat,0.083333333
6,20,High,High,Present,0.4
6,20,High,High,Sublethal.Threat,0.1
6,20,High,High,Lethal.Threat,0.2
