Row Labels,Count of Read.number.every.5.min,pasted values,Need to get more data?
1,46,,
1,2,2,yes
2,2,2,yes
3,2,2,yes
4,2,2,yes
5,2,2,yes
6,2,2,yes
7,4,4,yes
8,3,3,yes
9,3,3,yes
10,3,3,yes
11,3,3,yes
12,3,3,yes
13,2,2,yes
14,2,2,yes
15,3,3,yes
16,3,3,yes
17,3,3,yes
18,2,2,yes
2,120,,
1,12,12,no
2,6,6,yes
3,6,6,yes
4,6,6,yes
5,6,6,yes
6,6,6,yes
7,6,6,yes
8,6,6,yes
9,8,8,yes
10,8,8,yes
11,4,4,yes
12,4,4,yes
13,9,9,yes
14,9,9,yes
15,9,9,yes
16,5,5,yes
17,5,5,yes
18,5,5,yes
3,57,,
10,5,5,yes
11,5,5,yes
12,3,3,yes
13,3,3,yes
14,4,4,yes
15,4,4,yes
16,11,11,no
17,11,11,no
18,11,11,no
4,42,,
15,18,18,no
17,7,7,yes
18,17,17,no
5,224,,
4,19,19,no
5,20,20,no
6,10,10,no
7,18,18,no
8,19,19,no
9,20,20,no
10,13,13,no
11,18,18,no
12,10,10,no
13,16,16,no
15,20,20,no
16,19,19,no
17,13,13,no
18,9,9,yes
6,103,,
2,15,15,no
7,15,15,no
8,15,15,no
10,14,14,no
12,12,12,no
17,10,10,no
19,12,12,no
20,10,10,no
(blank),,,
(blank),,,
Grand Total,592,,
