Interval,Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero
Five.minute,GCJ,4,15,Low,1,30,15953,CAPR,,,0,0
Five.minute,GCJ,4,15,Low,1,30,15953,FHASE,,,0,0
Five.minute,GCJ,4,15,Low,1,30,15953,FSEPU,,,0,0
Five.minute,GCJ,4,15,Low,1,30,15953,HYRU,,,0,0
Five.minute,GCJ,4,15,Low,1,30,15953,MHASE,,,0,0
Five.minute,GCJ,4,15,Low,1,30,15953,MSEPU,,,0,0
Five.minute,GCJ,4,15,Low,1,30,15953,PACL,,,0,0
Five.minute,GCJ,4,15,Low,1,30,15953,PANE,,,0,0
Five.minute,TG,4,15,Low,2,60,15983,PACL,3,3,3,3
Five.minute,TG,4,15,Low,3,90,16013,PACL,1,3,1,3
Five.minute,TG,4,15,Low,4,120,16043,PACL,1,3,1,3
Five.minute,TG,4,15,Low,6,180,16103,PACL,1,3,1,3
Five.minute,TG,4,15,Low,11,330,16253,PACL,1,3,1,3
Five.minute,TG,4,15,Low,13,390,16313,HYRU,1,3,1,3
Five.minute,TG,4,15,Low,14,420,16343,PACL,1,3,1,3
Five.minute,TG,4,15,Low,20,600,16523,PACL,1,3,1,3
Five.minute,TG,4,15,Low,22,660,16583,MHASE,1,3,1,3
Five.minute,TG,4,15,Low,2,60,15983,FSEPU,1,2,1,2
Five.minute,TG,4,15,Low,12,360,16283,FHASE,1,2,1,2
Five.minute,TG,4,15,Low,12,360,16283,MHASE,1,2,1,2
Five.minute,TG,4,15,Low,13,390,16313,FSEPU,1,2,1,2
Five.minute,TG,4,15,Low,13,390,16313,PACL,2,2,2,2
Five.minute,TG,4,15,Low,16,480,16403,PACL,1,2,1,2
Five.minute,TG,4,15,Low,20,600,16523,MHASE,1,2,1,2
Five.minute,TG,4,15,Low,21,630,16553,FHASE,1,2,1,2
Five.minute,TG,4,15,Low,21,630,16553,MHASE,1,2,1,2
Five.minute,TG,4,15,Low,3,90,16013,FHASE,1,1,1,1
Five.minute,TG,4,15,Low,5,150,16073,FHASE,1,1,1,1
Five.minute,TG,4,15,Low,10,300,16223,PACL,1,1,1,1
Five.minute,TG,4,15,Low,14,420,16343,FHASE,1,1,1,1
Five.minute,TG,4,15,Low,2,60,15983,CAPR,,,0,0
Five.minute,TG,4,15,Low,2,60,15983,FHASE,,,0,0
Five.minute,TG,4,15,Low,2,60,15983,HYRU,,,0,0
Five.minute,TG,4,15,Low,2,60,15983,MHASE,,,0,0
Five.minute,TG,4,15,Low,2,60,15983,MSEPU,,,0,0
Five.minute,TG,4,15,Low,2,60,15983,PANE,,,0,0
Five.minute,TG,4,15,Low,3,90,16013,CAPR,,,0,0
Five.minute,TG,4,15,Low,3,90,16013,FSEPU,,,0,0
Five.minute,TG,4,15,Low,3,90,16013,HYRU,,,0,0
Five.minute,TG,4,15,Low,3,90,16013,MHASE,,,0,0
Five.minute,TG,4,15,Low,3,90,16013,MSEPU,,,0,0
Five.minute,TG,4,15,Low,3,90,16013,PANE,,,0,0
Five.minute,TG,4,15,Low,4,120,16043,CAPR,,,0,0
Five.minute,TG,4,15,Low,4,120,16043,FHASE,,,0,0
Five.minute,TG,4,15,Low,4,120,16043,FSEPU,,,0,0
Five.minute,TG,4,15,Low,4,120,16043,HYRU,,,0,0
Five.minute,TG,4,15,Low,4,120,16043,MHASE,,,0,0
Five.minute,TG,4,15,Low,4,120,16043,MSEPU,,,0,0
Five.minute,TG,4,15,Low,4,120,16043,PANE,,,0,0
Five.minute,TG,4,15,Low,5,150,16073,CAPR,,,0,0
Five.minute,TG,4,15,Low,5,150,16073,FSEPU,,,0,0
Five.minute,TG,4,15,Low,5,150,16073,HYRU,,,0,0
Five.minute,TG,4,15,Low,5,150,16073,MHASE,,,0,0
Five.minute,TG,4,15,Low,5,150,16073,MSEPU,,,0,0
Five.minute,TG,4,15,Low,5,180,16103,MSEPU,,,0,0
Five.minute,TG,4,15,Low,5,150,16073,PACL,,,0,0
Five.minute,TG,4,15,Low,5,150,16073,PANE,,,0,0
Five.minute,TG,4,15,Low,6,180,16103,CAPR,,,0,0
Five.minute,TG,4,15,Low,6,180,16103,FHASE,,,0,0
Five.minute,TG,4,15,Low,6,180,16103,FSEPU,,,0,0
Five.minute,TG,4,15,Low,6,180,16103,HYRU,,,0,0
Five.minute,TG,4,15,Low,6,180,16103,MHASE,,,0,0
Five.minute,TG,4,15,Low,6,180,16103,PANE,,,0,0
Five.minute,TG,4,15,Low,7,210,16133,CAPR,,,0,0
Five.minute,TG,4,15,Low,7,210,16133,FHASE,,,0,0
Five.minute,TG,4,15,Low,7,210,16133,FSEPU,,,0,0
Five.minute,TG,4,15,Low,7,210,16133,HYRU,,,0,0
