Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero,total.num.images.for.time.lapse,total.time.min,,minimum number of images = 650,6500,108.3333333,1.805555556
GCJ,5,9,High,28,840,11543,PACL,1,5,1,5,,,,,,,
GCJ,5,9,High,34,1020,11723,PANE,1,5,1,5,,,,,,,
GCJ,5,9,High,40,1200,11903,FSEPU,2,5,2,5,,,,,,,
MB,4,18,High,2,60,16366,FSEPU,2,4,2,4,,,,,,,
MB,4,18,High,2,60,16366,PACL,2,4,2,4,,,,,,,
GCJ,5,9,High,18,540,11243,MHASE,1,4,1,4,,,,,,,
GCJ,5,9,High,20,600,11303,PACL,2,4,2,4,,,,,,,
GCJ,5,9,High,30,900,11603,FSEPU,1,4,1,4,,,,,,,
TG,4,18,High,8,240,16547,PACL,1,3,1,3,,,,,,,
GCJ,5,9,High,4,120,10823,FSEPU,1,3,1,3,,,,,,,
GCJ,5,9,High,14,420,11123,FHASE,2,3,2,3,,,,,,,
GCJ,5,9,High,14,420,11123,FSEPU,1,3,1,3,,,,,,,
TG,4,18,High,8,240,16547,FHASE,1,2,1,2,,,,,,,
TG,4,18,High,12,360,16667,FSEPU,1,2,1,2,,,,,,,
TG,4,18,High,18,540,16847,PACL,2,2,2,2,,,,,,,
MB,5,15,High,2,60,18433,FSEPU,1,2,1,2,,,,,,,
MB,5,15,High,2,60,18433,MHASE,3,2,3,2,,,,,,,
MB,5,15,High,12,360,18733,MHASE,2,2,2,2,,,,,,,
GCJ,5,9,High,14,420,11123,MHASE,3,2,3,2,,,,,,,
GCJ,5,9,High,30,900,11603,HYRU,1,2,1,2,,,,,,,
TG,4,18,High,10,300,16607,FHASE,1,1,1,1,,,,,,,
TG,4,18,High,10,300,16607,PACL,1,1,1,1,,,,,,,
TG,4,18,High,12,360,16667,PACL,1,1,1,1,,,,,,,
TG,4,18,High,16,480,16787,PACL,1,1,1,1,,,,,,,
GCJ,5,9,High,28,840,11543,FSEPU,1,1,1,1,,,,,,,
GCJ,5,9,High,30,900,11603,MHASE,1,1,1,1,,,,,,,
GCJ,5,9,High,40,1200,11903,MSEPU,1,1,1,1,,,,,,,
TG,4,18,High,2,60,16367,CAPR,,,0,0,,,,,,,
TG,4,18,High,2,60,16367,FHASE,,,0,0,,,,,,,
TG,4,18,High,2,60,16367,FSEPU,,,0,0,,,,,,,
TG,4,18,High,2,60,16367,HYRU,,,0,0,,,,,,,
TG,4,18,High,2,60,16367,MHASE,,,0,0,,,,,,,
TG,4,18,High,2,60,16367,MSEPU,,,0,0,,,,,,,
TG,4,18,High,2,60,16367,PACL,,,0,0,,,,,,,
TG,4,18,High,2,60,16367,PANE,,,0,0,,,,,,,
TG,4,18,High,4,120,16427,CAPR,,,0,0,,,,,,,
TG,4,18,High,4,120,16427,FHASE,,,0,0,,,,,,,
TG,4,18,High,4,120,16427,FSEPU,,,0,0,,,,,,,
TG,4,18,High,4,120,16427,HYRU,,,0,0,,,,,,,
TG,4,18,High,4,120,16427,MHASE,,,0,0,,,,,,,
TG,4,18,High,4,120,16427,MSEPU,,,0,0,,,,,,,
TG,4,18,High,4,120,16427,PACL,,,0,0,,,,,,,
TG,4,18,High,4,120,16427,PANE,,,0,0,,,,,,,
TG,4,18,High,6,180,16487,CAPR,,,0,0,,,,,,,
TG,4,18,High,6,180,16487,FHASE,,,0,0,,,,,,,
TG,4,18,High,6,180,16487,FSEPU,,,0,0,,,,,,,
TG,4,18,High,6,180,16487,HYRU,,,0,0,,,,,,,
TG,4,18,High,6,180,16487,MHASE,,,0,0,,,,,,,
TG,4,18,High,6,180,16487,MSEPU,,,0,0,,,,,,,
TG,4,18,High,6,180,16487,PACL,,,0,0,,,,,,,
TG,4,18,High,6,180,16487,PANE,,,0,0,,,,,,,
TG,4,18,High,8,240,16547,CAPR,,,0,0,,,,,,,
TG,4,18,High,8,240,16547,FSEPU,,,0,0,,,,,,,
TG,4,18,High,8,240,16547,HYRU,,,0,0,,,,,,,
TG,4,18,High,8,240,16547,MHASE,,,0,0,,,,,,,
TG,4,18,High,8,240,16547,MSEPU,,,0,0,,,,,,,
TG,4,18,High,8,240,16547,PANE,,,0,0,,,,,,,
TG,4,18,High,10,300,16607,CAPR,,,0,0,,,,,,,
TG,4,18,High,10,300,16607,FSEPU,,,0,0,,,,,,,
TG,4,18,High,10,300,16607,HYRU,,,0,0,,,,,,,
TG,4,18,High,10,300,16607,MHASE,,,0,0,,,,,,,
TG,4,18,High,10,300,16607,MSEPU,,,0,0,,,,,,,
TG,4,18,High,10,300,16607,PANE,,,0,0,,,,,,,
TG,4,18,High,12,360,16667,CAPR,,,0,0,,,,,,,
TG,4,18,High,12,360,16667,FHASE,,,0,0,,,,,,,
TG,4,18,High,12,360,16667,HYRU,,,0,0,,,,,,,
TG,4,18,High,12,360,16667,MHASE,,,0,0,,,,,,,
TG,4,18,High,12,360,16667,MSEPU,,,0,0,,,,,,,
TG,4,18,High,12,360,16667,PANE,,,0,0,,,,,,,
TG,4,18,High,14,420,16727,CAPR,,,0,0,,,,,,,
TG,4,18,High,14,420,16727,FHASE,,,0,0,,,,,,,
TG,4,18,High,14,420,16727,FSEPU,,,0,0,,,,,,,
TG,4,18,High,14,420,16727,HYRU,,,0,0,,,,,,,
TG,4,18,High,14,420,16727,MHASE,,,0,0,,,,,,,
TG,4,18,High,14,420,16727,MSEPU,,,0,0,,,,,,,
TG,4,18,High,14,420,16727,PACL,,,0,0,,,,,,,
