Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero,"close.on.reef(0-0.275m, 5)","just.outside.of.small.frame.or.on.top(0.276-0.45m, 4)","within.1m.of.cage.far.from.small.cage.at.cage.frame.for.lg.cage(0.46-1m, 3)","between.1and2m.of.cage(1.1-2m, 2)","beyond2m.of.cage(2.1m+, 1)",not.present(0),total.num.images.for.time.lapse,total.time.min,,minimum number of images = 650,6500,108.3333333,1.805555556
GCJ,3,10,High,1,60,35639,CAPR,,,0,0,,,,,,,369,61.5,,,,,
GCJ,1,1,Low,,16,,FHASE,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,16,,FSEPU,,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,HYRU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,16,,MHASE,,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,MSEPU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,16,,PACL,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,32,,FHASE,48,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,32,,FSEPU,48,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,HYRU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,32,,MHASE,48,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,MSEPU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,32,,PACL,48,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,48,,FHASE,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,48,,FSEPU,,,,,,,,,,,,,,,,,
TG,2,6,Low,3,48,21797,HYRU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,48,,MHASE,,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,MSEPU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,,,PACL,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,,,FHASE,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,,,FSEPU,,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,HYRU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,,,MHASE,,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,MSEPU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,,,PACL,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,,,FHASE,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,,,FSEPU,,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,HYRU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,,,MHASE,,,,,,,,,,,,,,,,,
TG,2,6,Low,3,180,21797,MSEPU,0,0,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,,,,PACL,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,,,FHASE,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,,,FSEPU,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,,,MHASE,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,,,,PACL,,,,,,,,,,,,,,,,,
GCJ,1,1,Low,1,60,22521,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,1,60,22521,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,1,60,22521,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,1,60,22521,PACL,,,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,2,120,22581,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,2,120,22581,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,2,120,22581,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,1,Low,2,120,22581,PACL,,,0,0,,,,,,,,,,,,,
GCJ,1,2,Medium,1,60,21385,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,2,Medium,1,60,21385,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,2,Medium,1,60,21385,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,2,Medium,1,60,21385,PACL,,,0,0,,,,,,,,,,,,,
GCJ,1,2,Medium,2,120,21445,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,2,Medium,2,120,21445,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,2,Medium,2,120,21445,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,2,Medium,2,120,21445,PACL,,,0,0,,,,,,,,,,,,,
GCJ,1,3,Low,1,60,20793,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,3,Low,1,60,20793,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,1,60,35639,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,1,3,Low,1,60,20793,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,1,60,35639,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,3,Low,1,60,20793,PACL,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,1,60,35639,PANE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,2,120,35699,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,1,3,Low,2,120,20853,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,3,Low,2,120,20853,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,2,120,35699,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,1,3,Low,2,120,20853,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,2,120,35699,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,3,Low,2,120,20853,PACL,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,2,120,35699,PANE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,3,180,35759,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,1,4,High,1,60,10628,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,4,High,1,60,10628,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,3,180,35759,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,1,4,High,1,60,10628,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,3,180,35759,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,4,High,1,60,10628,PACL,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,3,180,35759,PANE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,4,240,35819,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,1,4,High,2,120,10688,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,4,High,2,120,10688,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,4,240,35819,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,1,4,High,2,120,10688,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,4,240,35819,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,4,High,2,120,10688,PACL,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,4,240,35819,PANE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,5,300,35879,CAPR,,,0,0,,,,,,,,,,,,,
GCJ,1,5,Medium,1,60,11217,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,5,Medium,1,60,11217,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,5,300,35879,HYRU,,,0,0,,,,,,,,,,,,,
GCJ,1,5,Medium,1,60,11217,MHASE,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,5,300,35879,MSEPU,,,0,0,,,,,,,,,,,,,
GCJ,1,5,Medium,1,60,11217,PACL,,,0,0,,,,,,,,,,,,,
GCJ,3,10,High,5,300,35879,PANE,,,0,0,,,,,,,,,,,,,
GCJ,3,11,Low,1,60,34658,CAPR,,,0,0,,,,,,,280,46.66666667,,,,,
GCJ,1,5,Medium,2,120,11277,FHASE,,,0,0,,,,,,,,,,,,,
GCJ,1,5,Medium,2,120,11277,FSEPU,,,0,0,,,,,,,,,,,,,
GCJ,3,11,Low,1,60,34658,HYRU,,,0,0,,,,,,,,,,,,,
