Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,Count,Score,Count.zero,Score.zero,count.prop,prop.threat
GCJ,5,4,Low,2,60,22919,PACL,1,3,1,3,1,0
GCJ,5,4,Low,2,60,22919,PACL,1,3,1,3,1,0
GCJ,5,4,Low,2,60,22919,FHASE,1,1,1,1,1,0
GCJ,5,4,Low,2,60,22919,FHASE,1,1,1,1,1,0
GCJ,5,4,Low,2,60,22919,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,2,60,22919,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,2,60,22919,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,2,60,22919,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,4,120,22979,PACL,1,3,1,3,1,0
GCJ,5,4,Low,4,120,22979,PACL,1,3,1,3,1,0
GCJ,5,4,Low,4,120,22979,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,4,120,22979,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,4,120,22979,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,4,120,22979,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,4,120,22979,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,4,120,22979,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,6,180,23039,FHASE,1,2,1,2,1,0
GCJ,5,4,Low,6,180,23039,PACL,1,2,1,2,1,0
GCJ,5,4,Low,6,180,23039,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,6,180,23039,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,8,240,23099,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,8,240,23099,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,8,240,23099,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,8,240,23099,PACL,0,0,0,0,0,0
GCJ,5,4,Low,10,300,23159,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,10,300,23159,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,10,300,23159,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,10,300,23159,PACL,0,0,0,0,0,0
GCJ,5,4,Low,12,360,23219,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,12,360,23219,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,12,360,23219,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,12,360,23219,PACL,0,0,0,0,0,0
GCJ,5,4,Low,14,420,23279,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,14,420,23279,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,14,420,23279,MHASE,0,0,0,0,0,0
GCJ,5,4,Low,14,420,23279,PACL,0,0,0,0,0,0
GCJ,5,4,Low,16,480,23339,MHASE,1,2,1,2,1,0
GCJ,5,4,Low,16,480,23339,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,16,480,23339,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,16,480,23339,PACL,0,0,0,0,0,0
GCJ,5,4,Low,18,540,23399,FHASE,0,0,0,0,0,0
GCJ,5,4,Low,18,540,23399,FSEPU,0,0,0,0,0,0
GCJ,5,4,Low,18,540,23399,MHASE,0,0,0,0,0,0
