Trial,Treatment,Reef,measure,value
1,Low,1,count,0
1,Low,3,count,0
1,Low,8,count,0
1,Low,10,count,0.166666667
1,Low,13,count,0.25
1,Low,16,count,0.166666667
2,Low,2,count,0.208333333
2,Low,6,count,0.291666667
2,Low,8,count,0.041666667
2,Low,10,count,0.15625
2,Low,13,count,0.111111111
2,Low,16,count,0
3,Low,11,count,0
3,Low,13,count,0.083333333
3,Low,15,count,0
4,Low,15,count,0.180555556
4,Low,4,count,0.142857143
4,Low,8,count,0.039473684
5,Low,11,count,0.208333333
5,Low,13,count,0.078125
5,Low,17,count,0
1,Medium,2,count,0
1,Medium,5,count,0
1,Medium,7,count,0.0625
1,Medium,11,count,0.333333333
1,Medium,14,count,0.125
1,Medium,17,count,0.083333333
2,Medium,1,count,0.270833333
2,Medium,4,count,0.208333333
2,Medium,7,count,0.25
2,Medium,12,count,0.0625
2,Medium,14,count,0.111111111
2,Medium,18,count,0.15
3,Medium,12,count,0.333333333
3,Medium,16,count,0.113636364
3,Medium,18,count,0.136363636
4,Medium,17,count,0.107142857
5,Medium,5,count,0.25
5,Medium,7,count,0.222222222
5,Medium,10,count,0.173076923
5,Medium,16,count,0.039473684
1,High,4,count,0
1,High,6,count,0
1,High,9,count,0.25
1,High,12,count,0.583333333
1,High,15,count,0.083333333
1,High,18,count,0.125
2,High,3,count,0.416666667
2,High,5,count,0.458333333
2,High,9,count,0
2,High,11,count,0.125
2,High,15,count,0
2,High,17,count,0.15
3,High,10,count,0.3
3,High,14,count,0.0625
3,High,17,count,0.227272727
4,High,18,count,0.279411765
5,High,6,count,0.325
5,High,9,count,0.1375
5,High,12,count,0.175
5,High,15,count,0.1625
5,High,18,count,0.027777778
6,High,7,count,0.25
6,High,10,count,0.142857143
6,High,17,count,0.025
6,High,20,count,0.125
6,Control,2,count,0.25
6,Control,8,count,0.25
6,Control,12,count,0.166666667
6,Control,19,count,0.229166667
1,Low,1,score,0
1,Low,3,score,0
1,Low,8,score,0
1,Low,10,score,0
1,Low,13,score,0
1,Low,16,score,0
2,Low,2,score,0
2,Low,6,score,0
2,Low,8,score,0
2,Low,10,score,0
2,Low,13,score,0
2,Low,16,score,0
3,Low,11,score,0
3,Low,13,score,0
3,Low,15,score,0
4,Low,15,score,0
4,Low,4,score,0
4,Low,8,score,0
5,Low,11,score,0
5,Low,13,score,0
5,Low,17,score,0
1,Medium,2,score,0
1,Medium,5,score,0
1,Medium,7,score,0
1,Medium,11,score,0.083333333
1,Medium,14,score,0.125
1,Medium,17,score,0
2,Medium,1,score,0.020833333
2,Medium,4,score,0
2,Medium,7,score,0
2,Medium,12,score,0
2,Medium,14,score,0.027777778
2,Medium,18,score,0.1
3,Medium,12,score,0.166666667
3,Medium,16,score,0.022727273
3,Medium,18,score,0.022727273
4,Medium,17,score,0
5,Medium,5,score,0.075
5,Medium,7,score,0.027777778
5,Medium,10,score,0.038461538
5,Medium,16,score,0
1,High,4,score,0
1,High,6,score,0
1,High,9,score,0.166666667
1,High,12,score,0.333333333
1,High,15,score,0.083333333
1,High,18,score,0.125
2,High,3,score,0.041666667
2,High,5,score,0.125
2,High,9,score,0
2,High,11,score,0.0625
2,High,15,score,0
2,High,17,score,0.05
3,High,10,score,0.05
3,High,14,score,0.0625
3,High,17,score,0.136363636
4,High,18,score,0.073529412
5,High,6,score,0.075
5,High,9,score,0.0625
5,High,12,score,0.025
5,High,15,score,0.025
5,High,18,score,0
6,High,7,score,0.016666667
6,High,10,score,0.017857143
6,High,17,score,0.025
6,High,20,score,0.1
6,Control,2,score,0.016666667
6,Control,8,score,0.083333333
6,Control,12,score,0.020833333
6,Control,19,score,0.083333333
