Trial,Reef,Treatment,Species,count.prop,prop.threat,,,
5,4,Low,FHASE,1,0,,,
5,4,Low,FHASE,1,0,,,
5,4,Low,FHASE,1,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FHASE,0,0,,,
5,4,Low,FSEPU,1,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,FSEPU,0,0,,,
5,4,Low,MHASE,1,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,MHASE,0,0,,,
5,4,Low,PACL,1,0,,,
