Trial,Date,Week,Day,Reef,Treatment,TOL,#_Clutches,Egg count,Img,Notes,MB/TG notes,MG/TG count,,,,
4,6/7/2018,1,7,1,Low,1,2,6254,IMG_6930,pink yolk and eyed up. Eggs from day 4 were still there on day 7,,,,,,
4,6/7/2018,1,7,2,High,1,2,4549,IMG_6938,pink yolk and eyed up. Eggs from day 4 were still there on day 7,,,,,,
4,6/7/2018,1,7,2,High,5,2,5012,IMG_6941,pink yolk and red yolk. Eggs from day 4 were still there on day 7,,,,,,
4,6/7/2018,1,7,3,Medium,1,2,4837,IMG_6947,"pink yolk and red yolk. Eggs from day 4 were still there on day 7. there were a few eggs that were there on d4 that were not there on d7, but it was negligible",,,,,,
4,6/7/2018,1,7,3,Medium,3,1,10,IMG_6953,"only a few eggs, counted by hand",,,,,,
4,6/4/2018,1,5,4,High,1,2,5637,IMG_6831,"pink yolk and red yolk, see notes for D7 photo for this reef",,,,,,
4,6/7/2018,1,7,4,High,1,3,0,IMG_6958,"no new eggs here, just the same ones from the previous day (only going to use the count from the previous day) counted 5399 in this photo. pink yolk, red yolk, and eyed up. I compared the D4 nest to the D7 nest, and it looks there are a few eggs that were there on Day 4 and not Day 7 -- particularly in the bottom right corner of the nest. If you look at the ""1"" on Day 4, you'll see that there is a cluster of eggs that are close to the number, but they're not there on Day 7...Might just count the D4 photo",,,,,,
4,6/4/2018,1,5,5,Medium,NA,NA,0,NA,no eggs,,,,,,
4,6/7/2018,1,7,6,Low,4,3,3908,IMG_6970,"pink yolk, pink eyed up, transparent eyed up, eggs left over from d4 that are still there. NOTE: there are some eggs that were there on d4 that aren't there now -- notice the eggs that are missing by the TOL number",,,,,,
4,6/7/2018,1,7,6,Low,2,1,801,IMG_6964,all pink,,,,,,
4,6/4/2018,1,5,7,Medium,NA,NA,0,NA,no eggs,,,,,,
4,6/7/2018,1,7,7,Medium,5,1,106,IMG_6975,few eggs,,,,,,
4,6/7/2018,1,7,8,High,1,3,4857,IMG_6982,"pink yolk, pink eyed up, transparent eyed up, eggs left over from d4 that are still there. ",,,,,,
4,6/7/2018,1,7,8,High,4,1,812,IMG_6984,pink yolk ,,,,,,
4,6/7/2018,1,7,9,Low,3,4,9849,IMG_6991,"pink yolk, red yolk, red eyed-up, and transparent eyed-up. Clearly more eggs on d7 than there were on d4",,,,,,
4,6/5/2018,1,4,10,Medium,5,2,2129,IMG_6875,"pink yolk, red yolk, more eggs in this nest on d4 than d7, which leads me to believe that the eggs hatched or were eaten? Most importantly, no additional eggs laid between d4 and d7 in this nest",,,,,,
4,6/7/2018,1,6,11,Low,3,3,5904,IMG_6998,"pink yolk, red yolk, dark red yolk",,,,,,
4,6/5/2018,1,4,12,High,4,2,4776,IMG_6885,"pink yolk , eyed-up pink yolk ",,,,,,
